Cbin,n,n_peak,prop,fold,method
0,788849,9427,0.0119503225585632,0.91387716267206,EMMAX
"(0,.05]",1333,663,0.497374343585897,38.0357142390647,EMMAX
"(.05,.1]",283,197,0.696113074204947,53.2338636079318,EMMAX
"(.1,.2]",55,26,0.472727272727273,36.1508784888936,EMMAX
"(.2,.3]",23,13,0.565217391304348,43.2238764541119,EMMAX
"(.3,.5]",22,8,0.363636363636364,27.8083680683797,EMMAX
"(.5,1]",13,4,0.307692307692308,23.5301575963213,EMMAX
0,788327,10011,0.0126990449394731,0.971134218432845,LFMM
"(0,.05]",619,176,0.284329563812601,21.7435381988623,LFMM
"(.05,.1]",179,37,0.206703910614525,15.807270675741,LFMM
"(.1,.2]",265,41,0.154716981132075,11.8316735838106,LFMM
"(.2,.3]",145,15,0.103448275862069,7.91100126083215,LFMM
"(.3,.5]",261,19,0.0727969348659004,5.56700088725225,LFMM
"(.5,1]",782,39,0.0498721227621483,3.8138714518334,LFMM
