A,B,n_A,n_B,span_A_Mb,span_B_Mb,inter_Mb,overlap_coef,jaccard,hit_A,null,fold,ceiling,p
Kingman Global-spec,Kingman Pacific-spec,35,187,3.52,24.96,3.34,0.95,0.1329,0.686,0.165,4.17,6.1,0.000499750124937531
Kingman Global-sens,Kingman Pacific-sens,77,175,22.09,82.68,20.972,0.949,0.2502,0.727,0.416,1.75,2.4,0.000499750124937531
3sp EMMAX l_min=3,Kingman Global-spec,17,35,1.21,3.52,0.497,0.411,0.1176,0.294,0.016,18.83,64,0.000499750124937531
3sp EMMAX l_min=3,Kingman Pacific-spec,17,187,1.21,24.96,0.536,0.444,0.0209,0.294,0.124,2.36,8,0.0369815092453773
3sp LFMM l_min=10,Kingman Global-spec,40,35,21.13,3.52,0.476,0.135,0.0197,0.1,0.072,1.39,13.9,0.324837581209395
3sp LFMM l_min=10,Kingman Pacific-spec,40,187,21.13,24.96,3.173,0.15,0.0739,0.375,0.253,1.48,3.9,0.0279860069965018
3sp LFMM l_min=3,Kingman Global-spec,136,35,37.27,3.52,0.972,0.277,0.0244,0.066,0.036,1.86,28.1,0.0489755122438781
3sp LFMM l_min=3,Kingman Pacific-spec,136,187,37.27,24.96,4.792,0.192,0.0834,0.206,0.156,1.32,6.4,0.0459770114942529
3sp EMMAX l_min=3,3sp LFMM l_min=3,17,136,1.21,37.27,1.158,0.959,0.031,0.882,0.147,6.02,6.8,0.000499750124937531
3sp EMMAX l_min=3,3sp LFMM l_min=10,17,40,1.21,21.13,1.046,0.865,0.0491,0.706,0.099,7.1,10.1,0.000499750124937531
