seq_id	pop_name	coord_approx	gps_n	gps_e	ecotype	notes	water_type	c150_pacNW	c151_nEur	c153_calif	c154_globalsuperglacial	c155_global	joint_genotyping	river_comparisons	pilot
AKMA|X|2001#102	Alaska Marine		60.124	-149.395	M		Marine	1		1	1	1	Yes		
AKST|X|2001#03	Alaska Stream		60.141	-149.395	F		River	0					Yes		
ANSR_X_2009#01	Anser Lake, Haida Gwaii		54.114	-131.686	F		Freshwater	0					Yes		
BARW|X|2012#04	Barrow, Alaska		71.335	-156.606	M		Marine	1		1	1	1	Yes		
BHAR|X|2011#02	North Uist, Scotland, Andrew Maccoll 21 May 2011		57.567	-7.283	F		Lake						Yes		
BIGR_1_32_2007#03	Big River, CA		39.289	-123.747	M		Marine			1		1	Yes	Yes	
BIGR_52_54_2008#02	Big River, CA		39.317	-123.686	F		River			0		0	Yes	Yes	
BIGR|1_32|2007#01	Big River, CA		39.289	-123.747	M		Marine						Yes	Yes	
BIGR|1_32|2007#02	Big River, CA		39.289	-123.747	M		Marine						Yes	Yes	
BIGR|3_63|2007#08	Big River, CA		39.289	-123.747	M		Marine						Yes	Yes	
BIGR|3_63|2007#14	Big River, CA		39.289	-123.747	M		Marine						Yes	Yes	
BIGR|52_54|2007#04	Big River, CA		39.317	-123.686	F		River						Yes	Yes	
BIGR|52_54|2007#05	Big River, CA		39.317	-123.686	F		River						Yes	Yes	
BIGR|52_54|2007#12	Big River, CA		39.317	-123.686	F		River						Yes	Yes	
BIGR|52_54|2007#17	Big River, CA		39.317	-123.686	F		River						Yes	Yes	
BITJ|X|X#17	Bitrufjordur		65.457	-21.44	M		Marine		1		1	1	Yes		
BK70_X_2010#02	Banks West, lake, Haida Gwaii		53.397	-130.202	F		Freshwater	0					Yes		
BKW2_X_2010#01	Banks 70, lake, Haida Gwaii		53.359	-130.157	F		Freshwater	0					Yes		
BLAU|X|2002#08	Blautaver Lake, Iceland		64.044	-18.991	F		Lake		0		0	0	Yes		
BNMA|X|2006#01	Bonsall marine		48.885	-123.667	M		Marine	1		1	1	1	Yes	Yes	
BNMA|X|2006#02	Bonsall marine		48.885	-123.667	M		Marine						Yes	Yes	
BNMA|X|2006#03	Bonsall marine		48.885	-123.667	M		Marine						Yes	Yes	
BNMA|X|2006#05	Bonsall marine		48.885	-123.667	M		Marine						Yes	Yes	
BNMA|X|2006#07	Bonsall marine		48.885	-123.667	M		Marine						Yes	Yes	
BNST|X2006#08	Bonsall stream		48.85	-123.723	F		River	0			0	0	Yes	Yes	
BNST|X|2006#01	Bonsall stream		48.85	-123.723	F		River						Yes	Yes	
BNST|X|2006#06	Bonsall stream		48.85	-123.723	F		River						Yes	Yes	
BNST|X|2006#09	Bonsall stream		48.85	-123.723	F		River						Yes	Yes	
BNST|X|2006#10	Bonsall stream		48.85	-123.723	F		River						Yes	Yes	
BOOT|X|2011#05	Boot Lake, Alaska		61.718	-150.13	F		Lake	0					Yes		
BOUL_X_2010#01	Boulton Lake, haida Gwaii		53.783	-132.098	F		Lake	0			0	0	Yes		
BOUL_X_2010#02	Boulton Lake, haida Gwaii		53.783	-132.098	F		Lake						Yes		
BRLY|X|2012#01	Barley Lake		61.363	-150.083	F		Lake	0					Yes		
BRNT_X_2009#05	Branta Lake, Haida Gwaii		53.967	-132.016	F		Freshwater	0			0	0	Yes		
BSEA|55|2011#01	Bering Sea	Y	58.089	-166.643	M		Marine	1		1	1	1	Yes		
CERC|X|X#04	Cerrito Creek, Northern California		37.901	-122.281	F		Freshwater			0		0	Yes		
CHRU|X|2011#04	North Uist, Scotland CHRU Andrew Maccoll 20 May 2011		57.6	-7.2	F		Fresh		0		0	0	Yes		
CMCB|X|2011#02	Community Club		60.702	-151.383	F		Fresh	0					Yes		
COAT|X|2009#90234	Coates Lake, Haida Gwaii		53.669	-132.88	F		Fresh	0					Yes		
COND|X|2002#14	Connor Creek D, Washington		47.056	-124.163	F		River	0					Yes		
CORC|X|2011#01	Corcoran Lake, Alaska		61.574	-149.688	F		Lake	0					Yes		
DAIM|X|2011#03	North Uist, DAIM Andrew Maccoll 24 May 2011		57.583	-7.2	F		Fresh						Yes		
DANS|X|X#05	Daniels Lake, Alaska		60.735	-151.186	F		Lake	0					Yes		
DARW_X_2009#03	Darwin Lake, Haida Gwaii		52.568	-131.663	F		Lake	0					Yes		
DAWS_X_2009#02	Dawson Marine Pond, Haida Gwai		53.225	-132.476	M		Marine	1		1	1	1	Yes		
DNSE|X|2011#07	Denise Lake, Alaska		60.522	-150.987	F		Lake	0					Yes		
DRIZ_I_2010#01	Drizzle Lake, inlet, Haida Gwaii		53.925	-132.077	F		Lake						Yes		
DRIZ_L_2009#02	Drizzle Lake, Haida Gwaii		53.935	-132.073	F		Lake	0			0	0	Yes		
DRIZ_L_2009#15	Drizzle Lake, Haida Gwaii		53.935	-132.073	F		Lake						Yes		
DRIZ_O_2009#03	Drizzle Lake, outlet, Haida Gwaii		53.934	-132.053	F		Lake						Yes		
ECHO|X|2011#03	Echo Lake, Alaska		60.438	-151.161	F		Lake	0					Yes		
EDEN_X_2010#01	Eden Lake, Haida Gwaii		53.845	-132.746	F		Lake	0					Yes		
ERBC|X|X#8770	El Rosario Boca, Mexico	Y	30.036	-115.774	F					0		0	Yes		
ESCP|X|1993#75_8	Escarpment Lake, Haida Gwaii		52.589	-131.842	F		Lake	0			0	0	Yes		
FADA_FJ_2001#17	North Uist, Loch Fada		57.613	-7.211	F		Lake						Yes		
FRIC_X_2003#C10	Friant River		36.98	-119.731	F	Completely plated	River						Yes		
FRIL|X|X#05	Friant River		36.98	-119.731	F	Low plated	River			0		0	Yes		
GARC|X|X#711	Garrity Creek, Northern California		38.001	-122.322	F		Creek			0		0	Yes		
GIFU|X|2000#03	Japanese Marine	Y	35.405	136.701	M		Marine				1	1	Yes		
GOLD_X_2009#02	Gold Creek, Haida Gwaii		53.632	-132.053	F		Fresh	0					Yes		
GOLD|X|X#12	Gold Creek, Haida Gwaii		53.632	-132.053	F		Fresh						Yes		
HRUN|X|X#02	Hraun, Iceland		64.917	-22.167	F				0		0	0	Yes		
HSTA|X|2011#03	North Uist, Scotland HOSTA Andrew Maccoll 18 May 2011		57.617	-7.483	F		fresh						Yes		
JADE|X|2011#05	Jade Lake, Alaska		61.524	-149.869	F		Lake	0					Yes		
KALD|X|2010#03	Kaldback, Faroe Islands		62.064	-6.913	M		Marine		1		1	1	Yes		
KFSY|X|2011#05	Kalifonsky Lake		60.331	-151.264	F		Lake	0			0	0	Yes		
KODK|X|2004#04	Pacific Ocean offshore Kodiak Island	Y	56.965	-151.35	M		Marine	1		1	1	1	Yes		
LAMH|X|2001#09	Loch a'Mhuilin		56.894	-5.869	F		Lake		0		0	0	Yes		
LANO|X|2001#05	Loch an Nostarie		56.993	-5.804	F		Lake		0		0	0	Yes		
LAUR|X|1993#9_5	Laurel Pond, Haida Gwaii		53.929	-132.02	F		Lake	0					Yes		
LITC_0_05_2008#841	Little Campbell downstream		49.013	-122.779	M		Marine	1		1	1	1	Yes	Yes	
LITC_0_05_2008#842	Little Campbell downstream		49.013	-122.779	M		Marine						Yes	Yes	
LITC_0_05_2008#FL	Little Campbell downstream		49.013	-122.779	M		Marine						Yes	Yes	
LITC_0_05_2008#FO	Little Campbell downstream		49.013	-122.779	M		Marine						Yes	Yes	
LITC_0_45_2008#789	Little Campbell downstream		49.013	-122.779	M		Marine						Yes	Yes	
LITC_23_32_2008#306	Little Campbell upstream		49.012	-122.625	F		River	0			0	0	Yes	Yes	
LITC_23_32_2008#324	Little Campbell upstream		49.012	-122.625	F		River						Yes	Yes	
LITC_23_32_2008#347	Little Campbell upstream		49.012	-122.625	F		River						Yes	Yes	
LITC_23_32_2008#356	Little Campbell upstream		49.012	-122.625	F		River						Yes	Yes	
LITC_23_32_2008#744	Little Campbell upstream		49.012	-122.625	F		River						Yes	Yes	
LLYD|X|2003#03	Lloyd State Park, MA		41.53	-70.981	M		Marine				1	1	Yes		
LMCK|X|X#03	Little Meadow Creek, Alaska		61.569	-149.761	F		River	0					Yes		
LMIA|X|X#02	Limia, Spain		41.91	-8.093	F		River					0	Yes		
LMOR|X|2001#12	Loch Morar		57.567	-7.267	F		Lake						Yes		
LNEA|M|2001#03	Loch nan Eala		56.906	-5.833	F		Lake		0		0	0	Yes		
LNGH|X|2011#01	Lough Neagh, Ballyronan Bay, Ireland		54.708	-6.528	F		Very Large Lake		0		0	0	Yes		
LOBG|X|1999#09	Loberg Lake, early		61.56	-149.258	F		Lake						Yes		Yes
LOBG|X|1999#11	Loberg Lake, early		61.56	-149.258	F		Lake						Yes		Yes
LOBG|X|1999#12	Loberg Lake, early		61.56	-149.258	F		Lake						Yes		Yes
LOBG|X|1999#13	Loberg Lake, early		61.56	-149.258	F		Lake						Yes		Yes
LOBG|X|1999#32	Loberg Lake, early		61.56	-149.258	F		Lake						Yes		Yes
LOBG|X|1999#36	Loberg Lake, early		61.56	-149.258	F		Lake						Yes		Yes
