grid,analysis,tested,significant,regions,on_ecopeak,rotation_fold,rotation_p,perm_p,realised_fdr
rho=0.50_sf=8,consensus,1356,97,39,13,2.926411993787,9.99900009999e-05,0.00799200799200799,0.0358350515463918
rho=0.50_sf=8,simes,1356,74,35,10,2.62701623496033,0.0018998100189981,0.0149253731343284,0.0398648648648649
rho=0.50_sf=8,lfmm,1356,72,50,10,1.52283490946746,0.0974902509749025,,
rho=0.50_sf=4,consensus,13218,38,23,5,1.46352886078913,0.234876512348765,0.026973026973027,0.0876578947368421
rho=0.50_sf=4,simes,13218,40,28,7,1.97372131055095,0.0414958504149585,0.0149253731343284,0.047375
rho=0.50_sf=4,lfmm,13218,155,132,15,1.37470901992412,0.112688731126887,,
rho=0.50_sf=12,consensus,429,78,27,12,2.97655959320352,9.99900009999e-05,0.010989010989011,0.0432820512820513
rho=0.50_sf=12,simes,429,62,18,10,3.78830927756942,9.99900009999e-05,0.0199004975124378,0.0445161290322581
rho=0.50_sf=12,lfmm,429,43,20,8,2.56484242249367,0.0023997600239976,,
rho=0.50_sf=16,consensus,219,59,17,10,4.48189315166727,9.99900009999e-05,0.014985014985015,0.0558983050847458
rho=0.50_sf=16,simes,219,55,13,9,4.24488255824922,9.99900009999e-05,0.0149253731343284,0.0522727272727273
rho=0.50_sf=16,lfmm,219,34,10,6,3.52692217258406,0.0017998200179982,,
rho=0.50_sf=24,consensus,97,39,12,7,4.55907255438322,9.99900009999e-05,0.022977022977023,0.0771025641025641
rho=0.50_sf=24,simes,97,35,8,6,5.22420548541576,9.99900009999e-05,0.0348258706467662,0.0691428571428572
rho=0.50_sf=24,lfmm,97,34,8,6,5.16884906960717,9.99900009999e-05,,
rho=0.50_sf=48,consensus,17,10,3,3,8.06018269747448,0.0015998400159984,0.0659340659340659,0.1253
rho=0.50_sf=48,simes,17,10,3,3,8.06018269747448,0.0015998400159984,0.0497512437810945,0.0865
rho=0.50_sf=48,lfmm,17,10,3,3,8.06018269747448,0.0015998400159984,,
rho=0.30_sf=8,consensus,418,99,37,12,2.86909742976689,0.0005999400059994,0.011988011988012,0.0483838383838384
rho=0.30_sf=8,simes,418,84,29,11,3.2734198309725,0.0001999800019998,0.0248756218905473,0.0524404761904762
rho=0.30_sf=8,lfmm,418,77,34,9,2.31006160164271,0.0075992400759924,,
rho=0.70_sf=8,consensus,3134,82,41,11,2.43432845729967,0.0018998100189981,0.00799200799200799,0.0369390243902439
rho=0.70_sf=8,simes,3134,59,37,11,2.28149500145186,0.0027997200279972,0.0099502487562189,0.0356779661016949
rho=0.70_sf=8,lfmm,3134,83,68,12,1.5223982847646,0.0750924907509249,,
