rule,expr,n_adm,frac_adm,n_components,lmins_retained,contiguous_high_tau,rectangular,max_p_null_retained
P05,p_null_any <= 0.05,42,0.24,1,"15,20",TRUE,FALSE,0.045
P10,p_null_any <= 0.1,86,0.491,1,"5,10,15,20",TRUE,FALSE,0.1
P20,p_null_any <= 0.2,116,0.663,1,"3,5,10,15,20",TRUE,FALSE,0.2
U05,p_null_hi <= 0.05,0,0,0,(none),,,
U10,p_null_hi <= 0.1,61,0.349,1,"10,15,20",TRUE,FALSE,0.055
U20,p_null_hi <= 0.2,101,0.577,1,"3,5,10,15,20",TRUE,FALSE,0.14
C001,mean_null_coverage <= 0.001,107,0.611,1,"1,2,3,5,10,15,20",TRUE,FALSE,0.47
C0005,mean_null_coverage <= 5e-04,48,0.274,1,"5,10,15,20",TRUE,FALSE,0.085
M1,mean_null_regions <= 1,104,0.594,1,"3,5,10,15,20",TRUE,FALSE,0.17
M05,mean_null_regions <= 0.5,81,0.463,1,"5,10,15,20",TRUE,FALSE,0.085
