tau,lmin,n_obs,n_sig
0.02,1,134,134
0.02,2,61,61
0.02,3,39,39
0.02,5,16,16
0.02,10,8,8
0.02,15,6,6
0.02,20,5,5
0.04,1,82,82
0.04,2,27,27
0.04,3,19,19
0.04,5,9,9
0.04,10,4,4
0.04,15,3,3
0.04,20,3,3
0.06,1,55,55
0.06,2,16,16
0.06,3,13,13
0.06,5,8,8
0.06,10,3,3
0.06,15,3,3
0.06,20,3,3
0.08,1,42,42
0.08,2,13,13
0.08,3,8,8
0.08,5,3,3
0.08,10,3,3
0.08,15,1,1
0.08,20,1,1
0.1,1,35,35
0.1,2,12,12
0.1,3,8,8
0.1,5,3,3
0.1,10,2,2
0.1,15,1,1
0.1,20,1,1
0.12,1,34,34
0.12,2,12,12
0.12,3,7,7
0.12,5,3,3
0.12,10,2,2
0.12,15,1,1
0.12,20,1,1
0.14,1,30,30
0.14,2,11,11
0.14,3,6,6
0.14,5,2,2
0.14,10,1,1
0.14,15,1,1
0.14,20,1,1
0.16,1,25,25
0.16,2,10,10
0.16,3,6,6
0.16,5,2,2
0.16,10,1,1
0.16,15,1,1
0.16,20,1,1
0.18,1,25,25
0.18,2,9,9
0.18,3,5,5
0.18,5,2,2
0.18,10,1,1
0.18,15,1,1
0.18,20,1,1
0.2,1,23,23
0.2,2,9,9
0.2,3,4,4
0.2,5,2,2
0.2,10,1,1
0.2,15,1,1
0.2,20,1,1
0.22,1,23,23
0.22,2,9,9
0.22,3,4,4
0.22,5,2,2
0.22,10,1,1
0.22,15,1,1
0.22,20,0,0
0.24,1,22,22
0.24,2,9,9
0.24,3,4,4
0.24,5,2,2
0.24,10,1,1
0.24,15,0,0
0.24,20,0,0
0.26,1,21,21
0.26,2,8,8
0.26,3,3,3
0.26,5,2,2
0.26,10,1,1
0.26,15,0,0
0.26,20,0,0
0.28,1,20,20
0.28,2,8,8
0.28,3,2,2
0.28,5,2,2
0.28,10,1,1
0.28,15,0,0
0.28,20,0,0
0.3,1,18,18
0.3,2,8,8
0.3,3,2,2
0.3,5,1,1
0.3,10,0,0
0.3,15,0,0
0.3,20,0,0
0.32,1,17,17
0.32,2,8,8
0.32,3,2,2
0.32,5,1,1
0.32,10,0,0
0.32,15,0,0
0.32,20,0,0
0.34,1,16,16
0.34,2,7,7
0.34,3,2,2
0.34,5,1,1
0.34,10,0,0
0.34,15,0,0
0.34,20,0,0
0.36,1,14,14
0.36,2,6,6
0.36,3,2,2
0.36,5,1,1
0.36,10,0,0
0.36,15,0,0
0.36,20,0,0
0.38,1,12,12
0.38,2,6,6
0.38,3,2,2
0.38,5,1,1
0.38,10,0,0
0.38,15,0,0
0.38,20,0,0
0.4,1,12,12
0.4,2,5,5
0.4,3,2,2
0.4,5,1,1
0.4,10,0,0
0.4,15,0,0
0.4,20,0,0
0.42,1,11,11
0.42,2,5,5
0.42,3,2,2
0.42,5,1,1
0.42,10,0,0
0.42,15,0,0
0.42,20,0,0
0.44,1,10,10
0.44,2,5,5
0.44,3,2,2
0.44,5,1,1
0.44,10,0,0
0.44,15,0,0
0.44,20,0,0
0.46,1,10,10
0.46,2,4,4
0.46,3,2,2
0.46,5,1,1
0.46,10,0,0
0.46,15,0,0
0.46,20,0,0
0.48,1,9,9
0.48,2,3,3
0.48,3,2,2
0.48,5,1,1
0.48,10,0,0
0.48,15,0,0
0.48,20,0,0
0.5,1,8,8
0.5,2,3,3
0.5,3,1,1
0.5,5,0,0
0.5,10,0,0
0.5,15,0,0
0.5,20,0,0
