tau,lmin,p_null_any,p_null_lo,p_null_hi,k_null,mean_null_regions,q50_null_regions,q90_null_regions,q95_null_regions,q99_null_regions,max_null_regions,mean_null_markers,mean_null_coverage,n_obs_regions,n_obs_markers,obs_coverage
0.02,1,0.755,0.689360134138401,0.812915873923999,151,15.23,2,23.7,57.3999999999999,318.23,347,53.14,0.00471559144555861,134,1152,0.102227349365516
0.02,2,0.48,0.409013999638006,0.551587601339426,96,4.935,0,7,25.1,128.07,136,42.845,0.00380202324962286,61,1079,0.0957494010116248
0.02,3,0.315,0.251305325654518,0.384277697725427,63,2.78,0,3,6.54999999999981,65.2099999999998,98,38.535,0.00341955807968764,39,1035,0.0918448841955808
0.02,5,0.18,0.129368928348397,0.240381096884007,36,1.37,0,1,4.14999999999995,34.1599999999999,51,33.79,0.00299849143668471,16,956,0.0848345017304109
0.02,10,0.09,0.0542142544560964,0.138508208473822,18,0.53,0,0,2,14.02,21,28.51,0.00252994941875943,8,906,0.0803975508030881
0.02,15,0.085,0.0502959186302573,0.132605165829552,17,0.275,0,0,1,4.06999999999994,16,25.63,0.00227438104534564,6,885,0.0785340314136126
0.02,20,0.055,0.0277722545520065,0.0962776444339129,11,0.18,0,0,1,3.06999999999994,13,24.01,0.00213062383530038,5,869,0.0771142071168693
0.04,1,0.71,0.641812547837709,0.771843010636489,142,12.41,2,20.2,44.3999999999999,271.21,325,40.95,0.00363386280947733,82,475,0.0421510338095661
0.04,2,0.435,0.365217069169652,0.506738792187527,87,4.04,0,5.09999999999999,14.05,109.16,131,32.58,0.0028911172242435,27,420,0.0372703877895111
0.04,3,0.27,0.209803337466145,0.337152590687331,54,2.295,0,2.09999999999999,5.14999999999995,58.1999999999998,91,29.09,0.00258141804951637,19,404,0.0358505634927678
0.04,5,0.165,0.116383119958054,0.223843467711821,33,1.15,0,1,3.09999999999997,28.1299999999999,47,25.23,0.00223888543792706,9,368,0.0326559588250954
0.04,10,0.085,0.0502959186302573,0.132605165829552,17,0.415,0,0,2,10.0599999999999,17,20.6,0.00182802378205697,4,339,0.0300825272872482
0.04,15,0.075,0.0425828037370926,0.120684225399661,15,0.195,0,0,1,3.05999999999995,11,18.085,0.00160484515041264,3,329,0.0291951371017837
0.04,20,0.055,0.0277722545520065,0.0962776444339129,11,0.145,0,0,1,2.04999999999995,10,17.275,0.00153296654539001,3,329,0.0291951371017837
0.06,1,0.675,0.605346293695193,0.739374485246385,135,11.045,1.5,17.2,41.1999999999999,253.22,301,36.25,0.00321678942230899,55,337,0.0299050492501553
0.06,2,0.405,0.336334830054617,0.476524975283277,81,3.615,0,5,9.24999999999991,103.17,123,28.82,0.00255745851450883,16,298,0.0264442275268436
