tau,lmin,m,n_floor,min_p,n_sig,frac_floor,naive_bound_ok,tie_bound_ok
0.02,1,134,41,0.00497512437810945,134,0.305970149253731,FALSE,TRUE
0.02,2,61,14,0.00497512437810945,61,0.229508196721311,FALSE,TRUE
0.02,3,39,4,0.00497512437810945,39,0.102564102564103,FALSE,TRUE
0.02,5,16,2,0.00497512437810945,16,0.125,FALSE,TRUE
0.02,10,8,2,0.00497512437810945,8,0.25,TRUE,TRUE
0.02,15,6,3,0.00497512437810945,6,0.5,TRUE,TRUE
0.02,20,5,2,0.00497512437810945,5,0.4,TRUE,TRUE
0.04,1,82,25,0.00497512437810945,82,0.304878048780488,FALSE,TRUE
0.04,2,27,5,0.00497512437810945,27,0.185185185185185,FALSE,TRUE
0.04,3,19,4,0.00497512437810945,19,0.210526315789474,FALSE,TRUE
0.04,5,9,2,0.00497512437810945,9,0.222222222222222,TRUE,TRUE
0.04,10,4,2,0.00497512437810945,4,0.5,TRUE,TRUE
0.04,15,3,1,0.00497512437810945,3,0.333333333333333,TRUE,TRUE
0.04,20,3,1,0.00497512437810945,3,0.333333333333333,TRUE,TRUE
0.06,1,55,10,0.00497512437810945,55,0.181818181818182,FALSE,TRUE
0.06,2,16,3,0.00497512437810945,16,0.1875,FALSE,TRUE
0.06,3,13,2,0.00497512437810945,13,0.153846153846154,FALSE,TRUE
0.06,5,8,2,0.00497512437810945,8,0.25,TRUE,TRUE
0.06,10,3,1,0.00497512437810945,3,0.333333333333333,TRUE,TRUE
0.06,15,3,1,0.00497512437810945,3,0.333333333333333,TRUE,TRUE
0.06,20,3,1,0.00497512437810945,3,0.333333333333333,TRUE,TRUE
0.08,1,42,9,0.00497512437810945,42,0.214285714285714,FALSE,TRUE
0.08,2,13,3,0.00497512437810945,13,0.230769230769231,FALSE,TRUE
0.08,3,8,2,0.00497512437810945,8,0.25,TRUE,TRUE
0.08,5,3,1,0.00497512437810945,3,0.333333333333333,TRUE,TRUE
0.08,10,3,1,0.00497512437810945,3,0.333333333333333,TRUE,TRUE
0.08,15,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.08,20,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.1,1,35,9,0.00497512437810945,35,0.257142857142857,FALSE,TRUE
0.1,2,12,3,0.00497512437810945,12,0.25,FALSE,TRUE
0.1,3,8,2,0.00497512437810945,8,0.25,TRUE,TRUE
0.1,5,3,1,0.00497512437810945,3,0.333333333333333,TRUE,TRUE
0.1,10,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
0.1,15,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.1,20,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.12,1,34,9,0.00497512437810945,34,0.264705882352941,FALSE,TRUE
0.12,2,12,3,0.00497512437810945,12,0.25,FALSE,TRUE
0.12,3,7,2,0.00497512437810945,7,0.285714285714286,TRUE,TRUE
0.12,5,3,1,0.00497512437810945,3,0.333333333333333,TRUE,TRUE
0.12,10,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
0.12,15,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.12,20,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.14,1,30,7,0.00497512437810945,30,0.233333333333333,FALSE,TRUE
0.14,2,11,3,0.00497512437810945,11,0.272727272727273,FALSE,TRUE
0.14,3,6,2,0.00497512437810945,6,0.333333333333333,TRUE,TRUE
0.14,5,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
0.14,10,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.14,15,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.14,20,1,0,0.0149253731343284,1,0,TRUE,FALSE
