anchor,D,Q,env,is_true,keep,Q_over_D,size,maxC
1,0.05,0.05,1,FALSE,TRUE,1,3,0.354375
2,0.05,0.05,1,FALSE,TRUE,1,2,0.1425
3,0.1,0.1,1,FALSE,TRUE,1,3,0.43375
4,0.075,0.075,1,FALSE,TRUE,1,3,0.15375
5,0.025,0.025,1,FALSE,TRUE,1,2,0.09375
6,0.15,0.15,1,TRUE,TRUE,1,2,0.3725
7,0.1125,0.1125,1,FALSE,TRUE,1,2,0.325
8,0.05,0.05,1,FALSE,TRUE,1,17,0.169375
9,0.05,0.05,1,FALSE,TRUE,1,3,0.15375
10,0.05,0.05,1,FALSE,TRUE,1,3,0.143125
11,0.275,0.275,1,TRUE,TRUE,1,8,0.5
12,0.125,0.125,1,FALSE,TRUE,1,4,0.37875
13,0.025,0.025,1,FALSE,TRUE,1,2,0.06375
14,0.05,0.05,1,FALSE,TRUE,1,2,0.136875
15,0.2,0.2,1,FALSE,TRUE,1,2,0.415625
16,0.1125,0.1125,1,FALSE,TRUE,1,2,0.311875
17,0.075,0.075,1,FALSE,TRUE,1,2,0.164375
18,0.075,0.075,1,FALSE,TRUE,1,3,0.17375
19,0.2125,0.2125,1,FALSE,TRUE,1,2,0.48125
20,0.1875,0.1875,1,FALSE,TRUE,1,4,0.273125
21,0.0375,0.0375,1,FALSE,TRUE,1,2,0.113125
22,0.05,0.05,1,FALSE,TRUE,1,8,0.060625
23,0.1875,0.1875,1,TRUE,TRUE,1,6,0.556875
24,0.0375,0.0375,1,FALSE,TRUE,1,2,0.116875
25,0.025,0.025,1,FALSE,TRUE,1,3,0.3725
26,0.1,0.1,1,FALSE,TRUE,1,33,0.228125
27,0.1,0.1,1,FALSE,TRUE,1,2,0.22875
28,0.0375,0.0375,1,FALSE,TRUE,1,5,0.251875
29,0.1,0.1,1,FALSE,TRUE,1,3,0.28375
30,0.025,0.025,1,FALSE,TRUE,1,2,0.064375
31,0.55,0.55,1,TRUE,TRUE,1,929,0.824375
32,0.0375,0.0375,1,FALSE,TRUE,1,2,0.11125
33,0.075,0.075,1,FALSE,TRUE,1,3,0.219375
34,0.025,0.025,1,FALSE,TRUE,1,2,0.08125
35,0.1125,0.1125,1,FALSE,TRUE,1,2,0.32625
1,0.0375,0.0375,2,FALSE,TRUE,1,4,0.0975
2,0.025,0.025,2,FALSE,TRUE,1,2,0.07125
3,0.025,0.025,2,FALSE,TRUE,1,2,0.064375
4,0.175,0.175,2,FALSE,TRUE,1,2,0.366875
5,0.025,0.025,2,FALSE,TRUE,1,2,0.07
6,0.075,0.075,2,FALSE,TRUE,1,4,0.138125
7,0.025,0.025,2,FALSE,TRUE,1,2,0.095625
8,0.025,0.025,2,FALSE,TRUE,1,2,0.065625
9,0.125,0.125,2,FALSE,TRUE,1,6,0.265625
10,0.1625,0.1625,2,FALSE,TRUE,1,10,0.315
11,0.15,0.15,2,FALSE,TRUE,1,10,0.248125
12,0.15,0.15,2,FALSE,TRUE,1,10,0.4475
13,0.15,0,2,FALSE,TRUE,0,25,0.564375
14,0.025,0.025,2,FALSE,TRUE,1,3,0.118125
15,0.15,0.15,2,FALSE,TRUE,1,17,0.38125
16,0.0375,0.0375,2,FALSE,TRUE,1,2,0.129375
17,0.0875,0.0875,2,FALSE,TRUE,1,2,0.20125
18,0.0375,0.0375,2,FALSE,TRUE,1,5,0.079375
19,0.05,0.05,2,FALSE,TRUE,1,18,0.269375
20,0.95,0.95,2,TRUE,TRUE,1,566,1
21,0.075,0.075,2,FALSE,TRUE,1,2,0.224375
22,0.5,0.5,2,FALSE,TRUE,1,35,0.735625
23,0.075,0.075,2,FALSE,TRUE,1,3,0.174375
24,0.0625,0.0625,2,FALSE,TRUE,1,2,0.20125
25,0.05,0.05,2,FALSE,TRUE,1,2,0.11875
26,0.15,0.15,2,FALSE,TRUE,1,3,0.360625
27,0.05,0.05,2,FALSE,TRUE,1,2,0.145625
28,0.2,0.2,2,FALSE,TRUE,1,2,0.56625
29,0.1375,0.1375,2,FALSE,TRUE,1,2,0.3525
30,0.025,0.025,2,FALSE,TRUE,1,3,0.088125
31,0.025,0.025,2,FALSE,TRUE,1,2,0.066875
32,0.1,0.1,2,FALSE,TRUE,1,2,0.3225
33,0.5,0.5,2,TRUE,TRUE,1,39,0.948125
