grid,thr,n_cells,spearman_vs_full_rec50,top5_overlap,n_zero,mean_D
full,rec25,175,0.776,0.6,0,0.1462
full,rec50,175,1,1,0,0.0871
full,rec75,175,0.972,1,0,0.082
P20,rec25,116,0.647,0.6,4,0.0416
P20,rec50,116,0.654,0.6,4,0.0355
P20,rec75,116,0.649,0.6,4,0.034
P10,rec25,86,0.397,0.6,9,0.0287
P10,rec50,86,0.404,0.6,9,0.0267
P10,rec75,86,0.398,0.6,9,0.026
P05,rec25,42,,0.4,17,0
P05,rec50,42,,0.4,17,0
P05,rec75,42,,0.4,17,0
U10,rec25,61,0.477,0.6,12,0.0106
U10,rec50,61,0.477,0.6,12,0.0106
U10,rec75,61,0.477,0.6,12,0.0106
C001,rec25,107,0.254,0.4,14,0.0132
C001,rec50,107,,0.4,17,0
C001,rec75,107,,0.4,17,0
full,rec50recip,175,0.88,0.6,0,0.0763
