tag,cell,rep,stage,seconds,status
bgs,V0.5_c1.5,1,01_parse_nemo,3,ok
bgs,V0.5_c1.5,1,02_bundle,16,ok
bgs,V0.5_c1.5,1,03_scan,8,ok
bgs,V0.5_c1.5,10,01_parse_nemo,3,ok
bgs,V0.5_c1.5,10,02_bundle,18,ok
bgs,V0.5_c1.5,10,03_scan,9,ok
bgs,V0.5_c1.5,2,01_parse_nemo,1,FAIL
bgs,V0.5_c1.5,3,01_parse_nemo,3,ok
bgs,V0.5_c1.5,3,02_bundle,16,ok
bgs,V0.5_c1.5,3,03_scan,8,ok
bgs,V0.5_c1.5,4,01_parse_nemo,3,ok
bgs,V0.5_c1.5,4,02_bundle,17,ok
bgs,V0.5_c1.5,4,03_scan,8,ok
bgs,V0.5_c1.5,5,01_parse_nemo,3,ok
bgs,V0.5_c1.5,5,02_bundle,17,ok
bgs,V0.5_c1.5,5,03_scan,9,ok
bgs,V0.5_c1.5,6,01_parse_nemo,3,ok
bgs,V0.5_c1.5,6,02_bundle,17,ok
bgs,V0.5_c1.5,6,03_scan,10,ok
bgs,V0.5_c1.5,7,01_parse_nemo,3,ok
bgs,V0.5_c1.5,7,02_bundle,16,ok
bgs,V0.5_c1.5,7,03_scan,9,ok
bgs,V0.5_c1.5,8,01_parse_nemo,3,ok
bgs,V0.5_c1.5,8,02_bundle,17,ok
bgs,V0.5_c1.5,8,03_scan,9,ok
bgs,V0.5_c1.5,9,01_parse_nemo,3,ok
bgs,V0.5_c1.5,9,02_bundle,16,ok
bgs,V0.5_c1.5,9,03_scan,8,ok
bgs,V0.5_c1,1,01_parse_nemo,2,ok
bgs,V0.5_c1,1,02_bundle,17,ok
bgs,V0.5_c1,1,03_scan,8,ok
bgs,V0.5_c1,10,01_parse_nemo,3,ok
bgs,V0.5_c1,10,02_bundle,16,ok
bgs,V0.5_c1,10,03_scan,8,ok
bgs,V0.5_c1,2,01_parse_nemo,0,FAIL
bgs,V0.5_c1,3,01_parse_nemo,2,ok
bgs,V0.5_c1,3,02_bundle,17,ok
bgs,V0.5_c1,3,03_scan,8,ok
bgs,V0.5_c1,4,01_parse_nemo,2,ok
bgs,V0.5_c1,4,02_bundle,16,ok
bgs,V0.5_c1,4,03_scan,8,ok
bgs,V0.5_c1,5,01_parse_nemo,2,ok
bgs,V0.5_c1,5,02_bundle,14,ok
bgs,V0.5_c1,5,03_scan,7,ok
bgs,V0.5_c1,6,01_parse_nemo,3,ok
bgs,V0.5_c1,6,02_bundle,16,ok
bgs,V0.5_c1,6,03_scan,9,ok
bgs,V0.5_c1,7,01_parse_nemo,3,ok
bgs,V0.5_c1,7,02_bundle,15,ok
bgs,V0.5_c1,7,03_scan,8,ok
bgs,V0.5_c1,8,01_parse_nemo,3,ok
bgs,V0.5_c1,8,02_bundle,15,ok
bgs,V0.5_c1,8,03_scan,8,ok
bgs,V0.5_c1,9,01_parse_nemo,3,ok
bgs,V0.5_c1,9,02_bundle,14,ok
bgs,V0.5_c1,9,03_scan,8,ok
bgs,V0.5_c2,1,01_parse_nemo,3,ok
bgs,V0.5_c2,1,02_bundle,18,ok
bgs,V0.5_c2,1,03_scan,8,ok
bgs,V0.5_c2,10,01_parse_nemo,3,ok
bgs,V0.5_c2,10,02_bundle,19,ok
bgs,V0.5_c2,10,03_scan,9,ok
bgs,V0.5_c2,2,01_parse_nemo,3,ok
bgs,V0.5_c2,2,02_bundle,18,ok
bgs,V0.5_c2,2,03_scan,8,ok
bgs,V0.5_c2,3,01_parse_nemo,3,ok
bgs,V0.5_c2,3,02_bundle,17,ok
bgs,V0.5_c2,3,03_scan,9,ok
bgs,V0.5_c2,4,01_parse_nemo,3,ok
bgs,V0.5_c2,4,02_bundle,16,ok
bgs,V0.5_c2,4,03_scan,9,ok
