tag	cell	rep	env	status	seconds
nobgs	V0.5_c1.5	10	1	OK	16
nobgs	V0.5_c1.5	10	10	OK	16
nobgs	V0.5_c1.5	10	2	OK	15
nobgs	V0.5_c1.5	10	3	OK	15
nobgs	V0.5_c1.5	10	4	OK	16
nobgs	V0.5_c1.5	10	5	OK	16
nobgs	V0.5_c1.5	10	6	OK	16
nobgs	V0.5_c1.5	10	7	OK	16
nobgs	V0.5_c1.5	10	8	OK	16
nobgs	V0.5_c1.5	10	9	OK	16
nobgs	V0.5_c1.5	1	1	ALREADY_DONE	0
nobgs	V0.5_c1.5	1	10	OK	15
nobgs	V0.5_c1.5	1	2	OK	15
nobgs	V0.5_c1.5	1	3	OK	15
nobgs	V0.5_c1.5	1	4	OK	15
nobgs	V0.5_c1.5	1	5	OK	15
nobgs	V0.5_c1.5	1	6	OK	15
nobgs	V0.5_c1.5	1	7	OK	15
nobgs	V0.5_c1.5	1	8	OK	15
nobgs	V0.5_c1.5	1	9	OK	15
nobgs	V0.5_c1.5	2	1	OK	15
nobgs	V0.5_c1.5	2	10	OK	16
nobgs	V0.5_c1.5	2	2	OK	15
nobgs	V0.5_c1.5	2	3	OK	15
nobgs	V0.5_c1.5	2	4	OK	15
nobgs	V0.5_c1.5	2	5	OK	15
nobgs	V0.5_c1.5	2	6	OK	16
nobgs	V0.5_c1.5	2	7	OK	16
nobgs	V0.5_c1.5	2	8	OK	16
nobgs	V0.5_c1.5	2	9	OK	16
nobgs	V0.5_c1.5	3	1	OK	24
nobgs	V0.5_c1.5	3	10	OK	539
nobgs	V0.5_c1.5	3	2	OK	28
nobgs	V0.5_c1.5	3	3	OK	614
nobgs	V0.5_c1.5	3	4	OK	717
nobgs	V0.5_c1.5	3	5	OK	714
nobgs	V0.5_c1.5	3	6	OK	712
nobgs	V0.5_c1.5	3	7	OK	707
nobgs	V0.5_c1.5	3	8	OK	452
nobgs	V0.5_c1.5	3	9	OK	92
nobgs	V0.5_c1.5	4	1	OK	248
nobgs	V0.5_c1.5	4	10	OK	15
nobgs	V0.5_c1.5	4	2	OK	101
nobgs	V0.5_c1.5	4	3	OK	63
nobgs	V0.5_c1.5	4	4	OK	15
nobgs	V0.5_c1.5	4	5	OK	15
nobgs	V0.5_c1.5	4	6	OK	15
nobgs	V0.5_c1.5	4	7	OK	15
nobgs	V0.5_c1.5	4	8	OK	15
nobgs	V0.5_c1.5	4	9	OK	16
nobgs	V0.5_c1.5	5	1	OK	15
nobgs	V0.5_c1.5	5	10	OK	15
nobgs	V0.5_c1.5	5	2	OK	15
nobgs	V0.5_c1.5	5	3	OK	16
nobgs	V0.5_c1.5	5	4	OK	15
nobgs	V0.5_c1.5	5	5	OK	15
nobgs	V0.5_c1.5	5	6	OK	16
nobgs	V0.5_c1.5	5	7	OK	16
nobgs	V0.5_c1.5	5	8	OK	16
nobgs	V0.5_c1.5	5	9	OK	15
nobgs	V0.5_c1.5	6	1	OK	15
nobgs	V0.5_c1.5	6	10	OK	15
nobgs	V0.5_c1.5	6	2	OK	15
nobgs	V0.5_c1.5	6	3	OK	15
nobgs	V0.5_c1.5	6	4	OK	15
nobgs	V0.5_c1.5	6	5	OK	15
nobgs	V0.5_c1.5	6	6	OK	15
nobgs	V0.5_c1.5	6	7	OK	15
nobgs	V0.5_c1.5	6	8	OK	16
nobgs	V0.5_c1.5	6	9	OK	15
nobgs	V0.5_c1.5	7	1	OK	15
nobgs	V0.5_c1.5	7	10	OK	16
nobgs	V0.5_c1.5	7	2	OK	16
nobgs	V0.5_c1.5	7	3	OK	15
nobgs	V0.5_c1.5	7	4	OK	15
nobgs	V0.5_c1.5	7	5	OK	15
nobgs	V0.5_c1.5	7	6	OK	14
nobgs	V0.5_c1.5	7	7	OK	16
nobgs	V0.5_c1.5	7	8	OK	16
nobgs	V0.5_c1.5	7	9	OK	15
nobgs	V0.5_c1.5	8	1	OK	16
nobgs	V0.5_c1.5	8	10	OK	15
nobgs	V0.5_c1.5	8	2	OK	16
nobgs	V0.5_c1.5	8	3	OK	15
