cell	method	arm	floor	precision	recall	prec_x_rec	prec_x_rec_ci_lo	prec_x_rec_ci_hi
V0.5_c1	emmax	A_unrestricted_marker	1	0.378654970760234	0.566037735849057	0.214333002317114	0.1912768633387	0.243562961523513
V0.5_c1	emmax	B_floor_filtered_marker	1	0.378654970760234	0.566037735849057	0.214333002317114	0.1912768633387	0.243562961523513
V0.5_c1	emmax	C_stage1_simes	1	0.628205128205128	0.487870619946092	0.30648282535075	0.263697110241517	0.352285130724074
V0.5_c1	emmax	D_stage1_consensus	1	0.60952380952381	0.463611859838275	0.282582466949044	0.234246913580247	0.332214939529338
V0.5_c1	lfmm	A_unrestricted_marker	1	0.422604422604423	0.654986522911051	0.276800201328503	0.244731806331988	0.31100809021972
V0.5_c1	lfmm	B_floor_filtered_marker	1	0.422604422604423	0.654986522911051	0.276800201328503	0.244731806331988	0.31100809021972
V0.5_c1	lfmm	C_stage1_simes	1	0.597345132743363	0.592991913746631	0.354220833432722	0.314102578477034	0.395670751426656
V0.5_c1	emmax	A_unrestricted_marker	2	0.378654970760234	0.566037735849057	0.214333002317114	0.1912768633387	0.243562961523513
V0.5_c1	emmax	B_floor_filtered_marker	2	0.396850393700787	0.547169811320755	0.217144555043827	0.195408971413196	0.242288300373882
V0.5_c1	emmax	C_stage1_simes	2	0.589595375722543	0.493261455525606	0.290824673200069	0.248933256939258	0.336410350469822
V0.5_c1	emmax	D_stage1_consensus	2	0.558659217877095	0.485175202156334	0.271047598970019	0.236288860808981	0.312656767578747
V0.5_c1	lfmm	A_unrestricted_marker	2	0.422604422604423	0.654986522911051	0.276800201328503	0.244731806331988	0.31100809021972
V0.5_c1	lfmm	B_floor_filtered_marker	2	0.408268733850129	0.630727762803235	0.257506425123801	0.235504463432042	0.28070250850111
V0.5_c1	lfmm	C_stage1_simes	2	0.570806100217865	0.590296495956873	0.336944840829414	0.293399806425901	0.382352288160939
V0.5_c1	emmax	A_unrestricted_marker	3	0.378654970760234	0.566037735849057	0.214333002317114	0.1912768633387	0.243562961523513
V0.5_c1	emmax	B_floor_filtered_marker	3	0.418918918918919	0.539083557951483	0.225832301303999	0.197472925815345	0.258081193553391
V0.5_c1	emmax	C_stage1_simes	3	0.589887640449438	0.495956873315364	0.292558829764681	0.251551400424698	0.331843940714908
V0.5_c1	emmax	D_stage1_consensus	3	0.557377049180328	0.479784366576819	0.26742079448544	0.223266888308133	0.318422005100483
V0.5_c1	lfmm	A_unrestricted_marker	3	0.422604422604423	0.654986522911051	0.276800201328503	0.244731806331988	0.31100809021972
V0.5_c1	lfmm	B_floor_filtered_marker	3	0.415204678362573	0.606469002695418	0.251808767201021	0.225087671373102	0.280044844092711
V0.5_c1	lfmm	C_stage1_simes	3	0.571753986332574	0.574123989218329	0.328257679484739	0.288299016907007	0.37217585688828
V0.5_c1	emmax	A_unrestricted_marker	5	0.378654970760234	0.566037735849057	0.214333002317114	0.1912768633387	0.243562961523513
V0.5_c1	emmax	B_floor_filtered_marker	5	0.41407867494824	0.455525606469003	0.188623439531678	0.158171817422488	0.225973407350682
V0.5_c1	emmax	C_stage1_simes	5	0.586666666666667	0.436657681940701	0.256172506738545	0.217878938685317	0.30004633859322
V0.5_c1	emmax	D_stage1_consensus	5	0.535816618911175	0.447439353099731	0.239745441345701	0.208756927818443	0.274836806376497
V0.5_c1	lfmm	A_unrestricted_marker	5	0.422604422604423	0.654986522911051	0.276800201328503	0.244731806331988	0.31100809021972
V0.5_c1	lfmm	B_floor_filtered_marker	5	0.400742115027829	0.501347708894879	0.20091114122689	0.170007629962541	0.237722571129259
