method	floor	arm	n_tests	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi	fdp	fdp_ci_lo	fdp_ci_hi	prec_x_rec	prec_x_rec_ci_lo	prec_x_rec_ci_hi	mean_frac_markers_retained	n_tests_a	pct_of_unrestricted_tests
emmax	1	A_unrestricted_marker	21861276	0.122754038955156	0.115440311412588	0.129403918423573	0.230297157622739	0.215391780363575	0.244710379788914	0.877245961044844	0.870596081576427	0.884559688587412	0.0282699062580835	0.0260076716266306	0.0308519625148327	1	21861276	100
emmax	1	B_floor_filtered_marker	21861276	0.122754038955156	0.115440311412588	0.129403918423573	0.230297157622739	0.215391780363575	0.244710379788914	0.877245961044844	0.870596081576427	0.884559688587412	0.0282699062580835	0.0260076716266306	0.0308519625148327	1	21861276	100
emmax	1	C_stage1_simes	11497831	0.188965972910472	0.176102234162284	0.201823021845936	0.174418604651163	0.161128643550434	0.188023312187769	0.811034027089528	0.798176978154064	0.823897765837716	0.032959181321594	0.0289792615395924	0.0373425627634207	1	21861276	52.5945100368341
emmax	1	D_stage1_consensus	11497831	0.210925039872408	0.199508219414593	0.221956085255354	0.157299741602067	0.146753686329853	0.168379269933567	0.789074960127592	0.778043914744646	0.800491780585407	0.0331784542693355	0.0297449023566705	0.0369127823960058	1	21861276	52.5945100368341
emmax	2	A_unrestricted_marker	21861276	0.122754038955156	0.115440311412588	0.129403918423573	0.230297157622739	0.215391780363575	0.244710379788914	0.877245961044844	0.870596081576427	0.884559688587412	0.0282699062580835	0.0260076716266306	0.0308519625148327	1	21861276	100
emmax	2	B_floor_filtered_marker	14469511	0.124233576642336	0.119522310490288	0.128954892279008	0.237080103359173	0.220892494790378	0.253111497999607	0.875766423357664	0.871045107720992	0.880477689509712	0.0294533091910447	0.0271909370014478	0.0319277607364909	0.659532281252059	21861276	66.1878611294236
emmax	2	C_stage1_simes	4106066	0.16260162601626	0.153073100482416	0.172352104154167	0.189599483204134	0.175386661200465	0.20363654107766	0.83739837398374	0.827647895845833	0.846926899517584	0.0308291842608349	0.027568190088766	0.034412339670615	0.659532281252059	21861276	18.7823711662576
emmax	2	D_stage1_consensus	4106066	0.175072463768116	0.166566709164755	0.184170820066855	0.176356589147287	0.161829875866427	0.18965530911994	0.824927536231884	0.815829179933145	0.833433290835245	0.0308751825637569	0.0270714336894152	0.0345767829607583	0.659532281252059	21861276	18.7823711662576
emmax	3	A_unrestricted_marker	21861276	0.122754038955156	0.115440311412588	0.129403918423573	0.230297157622739	0.215391780363575	0.244710379788914	0.877245961044844	0.870596081576427	0.884559688587412	0.0282699062580835	0.0260076716266306	0.0308519625148327	1	21861276	100
emmax	3	B_floor_filtered_marker	10112399	0.126738794435858	0.12198252751543	0.131615997714749	0.232235142118863	0.217278928524916	0.246052631578947	0.873261205564142	0.868384002285252	0.87801747248457	0.0294332019377848	0.026938090782979	0.0316800530979636	0.458968437782981	21861276	46.2571306450731
