tag	cell	rep	env	method	n_pop	r2_axes	mantel_r	n_regions	n_FP	fp_prop	ratio_null_obs
bgs	V0.5_c1	2	2	emmax_consensus	80	0.91490844713297	0.446695810284165	5	2	0.4	0.062
bgs	V0.5_c1	2	2	emmax_simes	80	0.91490844713297	0.446695810284165	2	0	0	0.135
bgs	V0.5_c1	2	3	emmax_consensus	80	0.915910890404747	0.538105263163729	2	0	0	0.6
bgs	V0.5_c1	2	3	emmax_simes	80	0.915910890404747	0.538105263163729	2	0	0	0.595
bgs	V0.5_c1	2	4	emmax_consensus	80	0.881380016444424	0.49153922760812	2	1	0.5	0.2625
bgs	V0.5_c1	2	4	emmax_simes	80	0.881380016444424	0.49153922760812	1	0	0	0.64
bgs	V0.5_c1	2	5	emmax_consensus	80	0.882496557365119	0.41978357130126	1	1	1	0.445
bgs	V0.5_c1	2	5	emmax_simes	80	0.882496557365119	0.41978357130126	2	1	0.5	0.2175
bgs	V0.5_c1	2	7	emmax_consensus	80	0.85762161236537	0.346275016655581	1	0	0	0.525
bgs	V0.5_c1	2	7	emmax_simes	80	0.85762161236537	0.346275016655581	1	0	0	0.745
bgs	V0.5_c1	2	8	emmax_consensus	80	0.83161541350932	0.322108373755746	3	3	1	0.108333333333333
bgs	V0.5_c1	2	8	emmax_simes	80	0.83161541350932	0.322108373755746	3	3	1	0.0783333333333333
bgs	V0.5_c1	2	10	emmax_consensus	80	0.844692412389919	0.384388397681443	1	0	0	0.055
bgs	V0.5_c1	2	10	emmax_simes	80	0.844692412389919	0.384388397681443	2	1	0.5	0.0975
bgs	V0.5_c1	3	1	emmax_consensus	80	0.900095784386167	0.577404969377471	4	1	0.25	0.01125
bgs	V0.5_c1	3	1	emmax_simes	80	0.900095784386167	0.577404969377471	3	0	0	0.015
bgs	V0.5_c1	3	2	emmax_consensus	80	0.89279404984157	0.451319376864216	1	0	0	1.435
bgs	V0.5_c1	3	2	emmax_simes	80	0.89279404984157	0.451319376864216	1	0	0	1.305
bgs	V0.5_c1	3	3	emmax_consensus	80	0.902837391411983	0.539654277428175	1	0	0	0.275
bgs	V0.5_c1	3	3	emmax_simes	80	0.902837391411983	0.539654277428175	1	0	0	0.325
bgs	V0.5_c1	3	4	emmax_consensus	80	0.881764333974141	0.508860028809175	1	0	0	1.255
bgs	V0.5_c1	3	4	emmax_simes	80	0.881764333974141	0.508860028809175	1	0	0	1.16
bgs	V0.5_c1	3	6	emmax_consensus	80	0.879124234930153	0.374764074146204	1	0	0	0.44
bgs	V0.5_c1	3	6	emmax_simes	80	0.879124234930153	0.374764074146204	1	0	0	0.295
bgs	V0.5_c1	3	8	emmax_consensus	80	0.843264059353464	0.299090371091279	1	1	1	0.075
bgs	V0.5_c1	3	8	emmax_simes	80	0.843264059353464	0.299090371091279	2	2	1	0.0225
bgs	V0.5_c1	3	9	emmax_consensus	80	0.792547664555328	0.363793670334386	1	0	0	0.13
bgs	V0.5_c1	5	1	emmax_consensus	80	0.880214433308003	0.562951617231963	1	0	0	0.88
bgs	V0.5_c1	5	1	emmax_simes	80	0.880214433308003	0.562951617231963	1	0	0	0.775
bgs	V0.5_c1	5	5	emmax_consensus	80	0.870794110267528	0.429325455452725	3	2	0.666666666666667	0.281666666666667
bgs	V0.5_c1	5	5	emmax_simes	80	0.870794110267528	0.429325455452725	2	1	0.5	0.35
bgs	V0.5_c1	5	6	emmax_consensus	80	0.883323807986686	0.376137889003188	2	1	0.5	0.08
bgs	V0.5_c1	5	6	emmax_simes	80	0.883323807986686	0.376137889003188	1	0	0	0.16
bgs	V0.5_c1	5	7	emmax_consensus	80	0.895570945658342	0.382416661106781	2	1	0.5	0.2075
bgs	V0.5_c1	5	7	emmax_simes	80	0.895570945658342	0.382416661106781	2	1	0.5	0.0575
bgs	V0.5_c1	5	8	emmax_consensus	80	0.82526705682829	0.369745876298992	2	0	0	0.0625
bgs	V0.5_c1	5	8	emmax_simes	80	0.82526705682829	0.369745876298992	3	1	0.333333333333333	0.03
bgs	V0.5_c1	5	9	emmax_consensus	80	0.823391773680845	0.328532724810089	2	1	0.5	0.0375
bgs	V0.5_c1	5	9	emmax_simes	80	0.823391773680845	0.328532724810089	2	1	0.5	0.0125
bgs	V0.5_c1	6	2	emmax_consensus	80	0.914913834842652	0.486428236205193	2	1	0.5	0.1675
bgs	V0.5_c1	6	2	emmax_simes	80	0.914913834842652	0.486428236205193	3	2	0.666666666666667	0.131666666666667
bgs	V0.5_c1	6	3	emmax_consensus	80	0.929849749070193	0.568992575559732	3	1	0.333333333333333	0.138333333333333
bgs	V0.5_c1	6	3	emmax_simes	80	0.929849749070193	0.568992575559732	3	1	0.333333333333333	0.181666666666667
bgs	V0.5_c1	6	4	emmax_consensus	80	0.877299846625716	0.477088041442469	1	1	1	1.47
bgs	V0.5_c1	6	4	emmax_simes	80	0.877299846625716	0.477088041442469	1	1	1	1.49
bgs	V0.5_c1	6	5	emmax_consensus	80	0.888567078894022	0.439801282662062	1	0	0	0.21
bgs	V0.5_c1	6	5	emmax_simes	80	0.888567078894022	0.439801282662062	1	0	0	0.12
bgs	V0.5_c1	6	6	emmax_consensus	80	0.876923956315471	0.349068091571533	3	0	0	0.05
bgs	V0.5_c1	6	6	emmax_simes	80	0.876923956315471	0.349068091571533	3	0	0	0.0366666666666667
bgs	V0.5_c1	6	7	emmax_consensus	80	0.845041179816176	0.379643188788252	3	2	0.666666666666667	0.0583333333333333
bgs	V0.5_c1	6	7	emmax_simes	80	0.845041179816176	0.379643188788252	3	2	0.666666666666667	0.05
bgs	V0.5_c1	6	8	emmax_consensus	80	0.87459496435047	0.36742860068115	1	0	0	0.2
bgs	V0.5_c1	6	8	emmax_simes	80	0.87459496435047	0.36742860068115	1	0	0	0.155
bgs	V0.5_c1	6	10	emmax_consensus	80	0.82601857806999	0.367926389126541	1	1	1	0.2
bgs	V0.5_c1	6	10	emmax_simes	80	0.82601857806999	0.367926389126541	1	1	1	0.255
bgs	V0.5_c1	8	1	emmax_consensus	80	0.865410107086876	0.486654357987801	1	1	1	0.235
bgs	V0.5_c1	8	1	emmax_simes	80	0.865410107086876	0.486654357987801	1	1	1	0.195
bgs	V0.5_c1	8	2	emmax_consensus	80	0.910747089464121	0.483643403730845	5	3	0.6	0.093
bgs	V0.5_c1	8	2	emmax_simes	80	0.910747089464121	0.483643403730845	3	1	0.333333333333333	0.163333333333333
bgs	V0.5_c1	8	3	emmax_consensus	80	0.925853608913242	0.57423076794975	11	9	0.818181818181818	0.0131818181818182
bgs	V0.5_c1	8	3	emmax_simes	80	0.925853608913242	0.57423076794975	9	7	0.777777777777778	0.0133333333333333
bgs	V0.5_c1	8	4	emmax_consensus	80	0.891032516244555	0.495404295954252	2	1	0.5	0.0625
bgs	V0.5_c1	8	4	emmax_simes	80	0.891032516244555	0.495404295954252	4	3	0.75	0.03375
bgs	V0.5_c1	8	5	emmax_consensus	80	0.869991505191127	0.419486744309932	5	3	0.6	0.15
bgs	V0.5_c1	8	5	emmax_simes	80	0.869991505191127	0.419486744309932	5	4	0.8	0.155
bgs	V0.5_c1	8	6	emmax_consensus	80	0.864377796071724	0.395820335237423	9	6	0.666666666666667	0.025
bgs	V0.5_c1	8	6	emmax_simes	80	0.864377796071724	0.395820335237423	9	7	0.777777777777778	0.0311111111111111
bgs	V0.5_c1	8	7	emmax_consensus	80	0.863587929672345	0.39542194274949	4	3	0.75	0.02375
bgs	V0.5_c1	8	7	emmax_simes	80	0.863587929672345	0.39542194274949	3	2	0.666666666666667	0.025
bgs	V0.5_c1	8	8	emmax_consensus	80	0.87957641938082	0.358963951795783	1	0	0	0.605
bgs	V0.5_c1	8	9	emmax_consensus	80	0.820792632606069	0.349265159664693	1	0	0	0.205
bgs	V0.5_c1	8	9	emmax_simes	80	0.820792632606069	0.349265159664693	1	0	0	0.15
bgs	V0.5_c1.5	2	1	emmax_consensus	80	0.8822666674035	0.570581479340172	3	2	0.666666666666667	2.44833333333333
bgs	V0.5_c1.5	2	1	emmax_simes	80	0.8822666674035	0.570581479340172	4	3	0.75	1.38125
bgs	V0.5_c1.5	2	2	emmax_consensus	80	0.930459040571315	0.485503749140267	6	6	1	1.57083333333333
bgs	V0.5_c1.5	2	3	emmax_consensus	80	0.932430076886022	0.579900448051499	2	1	0.5	2.865
bgs	V0.5_c1.5	2	3	emmax_simes	80	0.932430076886022	0.579900448051499	2	1	0.5	2.3625
bgs	V0.5_c1.5	2	4	emmax_simes	80	0.884612411962264	0.532201413588189	2	2	1	2.875
bgs	V0.5_c1.5	2	6	emmax_consensus	80	0.886458947626463	0.365290531461251	4	4	1	3.21875
bgs	V0.5_c1.5	2	7	emmax_consensus	80	0.926523584175793	0.441355355261811	1	0	0	9.465
bgs	V0.5_c1.5	2	8	emmax_consensus	80	0.866865345592296	0.351217215604783	2	2	1	5.2175
bgs	V0.5_c1.5	2	8	emmax_simes	80	0.866865345592296	0.351217215604783	2	2	1	4.1225
bgs	V0.5_c1.5	3	2	emmax_consensus	80	0.927824399489276	0.495648066479661	4	4	1	3.37875
bgs	V0.5_c1.5	3	2	emmax_simes	80	0.927824399489276	0.495648066479661	4	4	1	2.35375
bgs	V0.5_c1.5	3	3	emmax_consensus	80	0.921901271288804	0.550231804415643	6	5	0.833333333333333	2.14416666666667
bgs	V0.5_c1.5	3	3	emmax_simes	80	0.921901271288804	0.550231804415643	1	1	1	10.085
bgs	V0.5_c1.5	3	5	emmax_consensus	80	0.910844334000874	0.439050944331032	1	1	1	9.33
bgs	V0.5_c1.5	3	6	emmax_consensus	80	0.889660576867461	0.360538649808682	10	10	1	1.222
bgs	V0.5_c1.5	3	6	emmax_simes	80	0.889660576867461	0.360538649808682	9	9	1	1.00777777777778
bgs	V0.5_c1.5	3	7	emmax_consensus	80	0.910616357830912	0.431561047485624	6	4	0.666666666666667	2.33
bgs	V0.5_c1.5	3	7	emmax_simes	80	0.910616357830912	0.431561047485624	4	2	0.5	2.78625
bgs	V0.5_c1.5	3	8	emmax_consensus	80	0.882059460260402	0.356021136253144	1	1	1	15.39
bgs	V0.5_c1.5	6	1	emmax_consensus	80	0.884623756151437	0.545915177385724	1	0	0	9.715
bgs	V0.5_c1.5	6	1	emmax_simes	80	0.884623756151437	0.545915177385724	1	0	0	7.36
bgs	V0.5_c1.5	6	2	emmax_consensus	80	0.921992166820715	0.485545262597314	10	9	0.9	1.711
bgs	V0.5_c1.5	6	2	emmax_simes	80	0.921992166820715	0.485545262597314	9	8	0.888888888888889	1.46111111111111
bgs	V0.5_c1.5	6	3	emmax_consensus	80	0.920533370523399	0.555068525121842	1	1	1	10.96
bgs	V0.5_c1.5	6	3	emmax_simes	80	0.920533370523399	0.555068525121842	2	2	1	4.4975
bgs	V0.5_c1.5	6	5	emmax_consensus	80	0.894405297966517	0.432259413039729	2	2	1	5.085
bgs	V0.5_c1.5	6	6	emmax_simes	80	0.878575915252812	0.352201326644073	3	2	0.666666666666667	2.99
bgs	V0.5_c1.5	6	7	emmax_consensus	80	0.924483526653532	0.446141637815688	1	0	0	9.61
bgs	V0.5_c1.5	6	8	emmax_consensus	80	0.858544297159516	0.3391390215337	2	1	0.5	6.695
bgs	V0.5_c1.5	6	10	emmax_simes	80	0.831190743693023	0.372838052263599	2	1	0.5	3.1725
bgs	V0.5_c1.5	8	2	emmax_consensus	80	0.931303885417511	0.509485765182003	8	7	0.875	1.565
bgs	V0.5_c1.5	8	2	emmax_simes	80	0.931303885417511	0.509485765182003	9	8	0.888888888888889	1.08055555555556
bgs	V0.5_c1.5	8	3	emmax_consensus	80	0.940540323348211	0.577855224517792	2	2	1	7.1
bgs	V0.5_c1.5	8	5	emmax_consensus	80	0.881300145297422	0.435141385023272	6	4	0.666666666666667	2.06083333333333
bgs	V0.5_c1.5	8	5	emmax_simes	80	0.881300145297422	0.435141385023272	3	1	0.333333333333333	3.235
bgs	V0.5_c1.5	8	6	emmax_consensus	80	0.890604196784423	0.366444247013432	13	12	0.923076923076923	0.783461538461539
bgs	V0.5_c1.5	8	6	emmax_simes	80	0.890604196784423	0.366444247013432	13	12	0.923076923076923	0.525
bgs	V0.5_c1.5	8	8	emmax_consensus	80	0.875803590585039	0.342110795394876	2	2	1	6.3225
bgs	V0.5_c1.5	8	8	emmax_simes	80	0.875803590585039	0.342110795394876	2	2	1	5.0075
bgs	V0.5_c1.5	10	1	emmax_simes	80	0.881132785400495	0.555645394165843	2	1	0.5	2.3725
bgs	V0.5_c1.5	10	2	emmax_consensus	80	0.916589347484886	0.486034117818851	8	7	0.875	1.61625
bgs	V0.5_c1.5	10	2	emmax_simes	80	0.916589347484886	0.486034117818851	6	5	0.833333333333333	1.81916666666667
bgs	V0.5_c1.5	10	3	emmax_consensus	80	0.927644617672432	0.56847777464785	2	2	1	4.38
bgs	V0.5_c1.5	10	3	emmax_simes	80	0.927644617672432	0.56847777464785	1	1	1	6.885
bgs	V0.5_c1.5	10	6	emmax_consensus	80	0.888759440820639	0.352375988234906	10	9	0.9	1.3485
bgs	V0.5_c1.5	10	6	emmax_simes	80	0.888759440820639	0.352375988234906	1	0	0	9.74
bgs	V0.5_c1.5	10	7	emmax_consensus	80	0.929065281570856	0.432961248384403	3	2	0.666666666666667	3.33833333333333
bgs	V0.5_c1.5	10	7	emmax_simes	80	0.929065281570856	0.432961248384403	2	1	0.5	4.1975
bgs	V0.5_c1.5	10	8	emmax_consensus	80	0.859846423777737	0.350457731665229	2	2	1	5.4575
bgs	V0.5_c1.5	10	8	emmax_simes	80	0.859846423777737	0.350457731665229	1	1	1	7.835
bgs	V0.5_c1.5	10	10	emmax_consensus	80	0.842931632101672	0.360038773126296	2	1	0.5	4.81
bgs	V0.5_c1.5	10	10	emmax_simes	80	0.842931632101672	0.360038773126296	3	2	0.666666666666667	2.25666666666667
bgs	V0.5_c2	2	2	emmax_consensus	80	0.919597329808677	0.478060304723465	14	13	0.928571428571429	2.58392857142857
bgs	V0.5_c2	2	2	emmax_simes	80	0.919597329808677	0.478060304723465	22	21	0.954545454545455	1.64590909090909
bgs	V0.5_c2	2	3	emmax_consensus	80	0.925180432349117	0.552698380600527	21	21	1	1.89595238095238
bgs	V0.5_c2	2	3	emmax_simes	80	0.925180432349117	0.552698380600527	28	27	0.964285714285714	1.51464285714286
bgs	V0.5_c2	2	4	emmax_consensus	80	0.890775215873184	0.525927891551125	2	2	1	12.935
bgs	V0.5_c2	2	4	emmax_simes	80	0.890775215873184	0.525927891551125	6	6	1	4.77916666666667
bgs	V0.5_c2	2	6	emmax_consensus	80	0.889974146606627	0.341212658654682	7	7	1	5.03857142857143
bgs	V0.5_c2	2	6	emmax_simes	80	0.889974146606627	0.341212658654682	16	16	1	2.3346875
bgs	V0.5_c2	2	7	emmax_consensus	80	0.927628256653683	0.472820387242885	3	3	1	12.4316666666667
bgs	V0.5_c2	2	7	emmax_simes	80	0.927628256653683	0.472820387242885	8	8	1	4.8225
bgs	V0.5_c2	2	8	emmax_consensus	80	0.878732626531853	0.322574179449659	14	13	0.928571428571429	2.80892857142857
bgs	V0.5_c2	2	8	emmax_simes	80	0.878732626531853	0.322574179449659	17	16	0.941176470588235	2.43558823529412
