tag	cell	rep	env	method	r2_axes	mantel_r	n_pop	n_regions	n_FP	fp_prop	any_fp	mean_null
bgs	V0.5_c1	2	1	emmax_consensus	0.871161451154444	0.483191016296714	80	0	0		0	0.15
bgs	V0.5_c1	2	1	emmax_simes	0.871161451154444	0.483191016296714	80	0	0		0	0.125
bgs	V0.5_c1	2	2	emmax_consensus	0.91490844713297	0.446695810284165	80	5	2	0.4	1	0.31
bgs	V0.5_c1	2	2	emmax_simes	0.91490844713297	0.446695810284165	80	2	0	0	0	0.27
bgs	V0.5_c1	2	3	emmax_consensus	0.915910890404747	0.538105263163729	80	2	0	0	0	1.2
bgs	V0.5_c1	2	3	emmax_simes	0.915910890404747	0.538105263163729	80	2	0	0	0	1.19
bgs	V0.5_c1	2	4	emmax_consensus	0.881380016444424	0.49153922760812	80	2	1	0.5	1	0.525
bgs	V0.5_c1	2	4	emmax_simes	0.881380016444424	0.49153922760812	80	1	0	0	0	0.64
bgs	V0.5_c1	2	5	emmax_consensus	0.882496557365119	0.41978357130126	80	1	1	1	1	0.445
bgs	V0.5_c1	2	5	emmax_simes	0.882496557365119	0.41978357130126	80	2	1	0.5	1	0.435
bgs	V0.5_c1	2	6	emmax_consensus	0.878617761383325	0.348366659392151	80	0	0		0	0.025
bgs	V0.5_c1	2	6	emmax_simes	0.878617761383325	0.348366659392151	80	0	0		0	0.04
bgs	V0.5_c1	2	7	emmax_consensus	0.85762161236537	0.346275016655581	80	1	0	0	0	0.525
bgs	V0.5_c1	2	7	emmax_simes	0.85762161236537	0.346275016655581	80	1	0	0	0	0.745
bgs	V0.5_c1	2	8	emmax_consensus	0.83161541350932	0.322108373755746	80	3	3	1	1	0.325
bgs	V0.5_c1	2	8	emmax_simes	0.83161541350932	0.322108373755746	80	3	3	1	1	0.235
bgs	V0.5_c1	2	9	emmax_consensus	0.789993187813214	0.327406291376781	80	0	0		0	0.195
bgs	V0.5_c1	2	9	emmax_simes	0.789993187813214	0.327406291376781	80	0	0		0	0.205
bgs	V0.5_c1	2	10	emmax_consensus	0.844692412389919	0.384388397681443	80	1	0	0	0	0.055
bgs	V0.5_c1	2	10	emmax_simes	0.844692412389919	0.384388397681443	80	2	1	0.5	1	0.195
bgs	V0.5_c1	3	1	emmax_consensus	0.900095784386167	0.577404969377471	80	4	1	0.25	1	0.045
bgs	V0.5_c1	3	1	emmax_simes	0.900095784386167	0.577404969377471	80	3	0	0	0	0.045
bgs	V0.5_c1	3	2	emmax_consensus	0.89279404984157	0.451319376864216	80	1	0	0	0	1.435
bgs	V0.5_c1	3	2	emmax_simes	0.89279404984157	0.451319376864216	80	1	0	0	0	1.305
bgs	V0.5_c1	3	3	emmax_consensus	0.902837391411983	0.539654277428175	80	1	0	0	0	0.275
bgs	V0.5_c1	3	3	emmax_simes	0.902837391411983	0.539654277428175	80	1	0	0	0	0.325
bgs	V0.5_c1	3	4	emmax_consensus	0.881764333974141	0.508860028809175	80	1	0	0	0	1.255
bgs	V0.5_c1	3	4	emmax_simes	0.881764333974141	0.508860028809175	80	1	0	0	0	1.16
bgs	V0.5_c1	3	5	emmax_consensus	0.863282894984398	0.399746701755594	80	0	0		0	0.1
bgs	V0.5_c1	3	5	emmax_simes	0.863282894984398	0.399746701755594	80	0	0		0	0.05
bgs	V0.5_c1	3	6	emmax_consensus	0.879124234930153	0.374764074146204	80	1	0	0	0	0.44
bgs	V0.5_c1	3	6	emmax_simes	0.879124234930153	0.374764074146204	80	1	0	0	0	0.295
bgs	V0.5_c1	3	7	emmax_consensus	0.865335788095087	0.370082062700179	80	0	0		0	0.15
bgs	V0.5_c1	3	7	emmax_simes	0.865335788095087	0.370082062700179	80	0	0		0	0.28
bgs	V0.5_c1	3	8	emmax_consensus	0.843264059353464	0.299090371091279	80	1	1	1	1	0.075
bgs	V0.5_c1	3	8	emmax_simes	0.843264059353464	0.299090371091279	80	2	2	1	1	0.045
bgs	V0.5_c1	3	9	emmax_consensus	0.792547664555328	0.363793670334386	80	1	0	0	0	0.13
bgs	V0.5_c1	3	9	emmax_simes	0.792547664555328	0.363793670334386	80	0	0		0	0.085
bgs	V0.5_c1	3	10	emmax_consensus	0.800476093737722	0.329937342389946	80	0	0		0	0.26
bgs	V0.5_c1	3	10	emmax_simes	0.800476093737722	0.329937342389946	80	0	0		0	0.37
bgs	V0.5_c1	5	1	emmax_consensus	0.880214433308003	0.562951617231963	80	1	0	0	0	0.88
bgs	V0.5_c1	5	1	emmax_simes	0.880214433308003	0.562951617231963	80	1	0	0	0	0.775
bgs	V0.5_c1	5	2	emmax_consensus	0.899803767529654	0.460269184537847	80	0	0		0	0.175
bgs	V0.5_c1	5	2	emmax_simes	0.899803767529654	0.460269184537847	80	0	0		0	0.32
bgs	V0.5_c1	5	3	emmax_consensus	0.909352800366006	0.525377612755143	80	0	0		0	0.44
bgs	V0.5_c1	5	3	emmax_simes	0.909352800366006	0.525377612755143	80	0	0		0	0.33
bgs	V0.5_c1	5	4	emmax_consensus	0.876819320231439	0.490389880198225	80	0	0		0	0.135
bgs	V0.5_c1	5	4	emmax_simes	0.876819320231439	0.490389880198225	80	0	0		0	0.13
bgs	V0.5_c1	5	5	emmax_consensus	0.870794110267528	0.429325455452725	80	3	2	0.666666666666667	1	0.845
bgs	V0.5_c1	5	5	emmax_simes	0.870794110267528	0.429325455452725	80	2	1	0.5	1	0.7
bgs	V0.5_c1	5	6	emmax_consensus	0.883323807986686	0.376137889003188	80	2	1	0.5	1	0.16
bgs	V0.5_c1	5	6	emmax_simes	0.883323807986686	0.376137889003188	80	1	0	0	0	0.16
bgs	V0.5_c1	5	7	emmax_consensus	0.895570945658342	0.382416661106781	80	2	1	0.5	1	0.415
bgs	V0.5_c1	5	7	emmax_simes	0.895570945658342	0.382416661106781	80	2	1	0.5	1	0.115
bgs	V0.5_c1	5	8	emmax_consensus	0.82526705682829	0.369745876298992	80	2	0	0	0	0.125
bgs	V0.5_c1	5	8	emmax_simes	0.82526705682829	0.369745876298992	80	3	1	0.333333333333333	1	0.09
bgs	V0.5_c1	5	9	emmax_consensus	0.823391773680845	0.328532724810089	80	2	1	0.5	1	0.075
bgs	V0.5_c1	5	9	emmax_simes	0.823391773680845	0.328532724810089	80	2	1	0.5	1	0.025
bgs	V0.5_c1	5	10	emmax_consensus	0.823193718543636	0.353959533036725	80	0	0		0	0.01
bgs	V0.5_c1	5	10	emmax_simes	0.823193718543636	0.353959533036725	80	0	0		0	0.01
