outcome	variant	cell	estimate	ci_lo	ci_hi	n	n_boot_converged
fp_prop	unconditional		12.9195340293631	8.33179763489851	16.3324144306224	884	2000
fp_prop	adjusted_cell_tag_method		-1.37088066462482	-5.52381565150829	1.8848225870497	884	2000
null_ratio_log2	unconditional		19.7603409300265	13.3770461671157	25.0784016944783	881	2000
null_ratio_log2	adjusted_cell_tag_method		-2.840250172614	-6.78202084388343	1.29388944201158	881	2000
fp_prop	within_cell	V0.5_c1	-1.03124086195733	-10.0632057971049	4.80887170972506	149	2000
null_ratio_log2	within_cell	V0.5_c1	2.03790872389565	-12.464594357177	16.3320884823341	148	2000
fp_prop	within_cell	V0.5_c1.5	0.972180833836575	-8.82813973276464	8.93139428952738	112	2000
null_ratio_log2	within_cell	V0.5_c1.5	-2.382226057152	-5.8384118146828	3.35124544668287	112	2000
fp_prop	within_cell	V0.5_c2	-0.550150595346874	-16.4937794286676	9.3561528928163	174	2000
null_ratio_log2	within_cell	V0.5_c2	-11.6955999240054	-16.9881104908564	-7.37651632853893	174	2000
fp_prop	within_cell	V1_c1	0.952441505388032	-3.83767021725321	6.51157791511876	128	2000
null_ratio_log2	within_cell	V1_c1	-3.44344358069579	-10.8547941031073	6.2585735130312	126	2000
fp_prop	within_cell	V1_c1.5	-4.36474670686443	-29.6395916939636	11.8645322640415	113	2000
null_ratio_log2	within_cell	V1_c1.5	-2.51972790463833	-11.9316660863807	3.7072405524261	113	2000
fp_prop	within_cell	V2_c1	0.397135277197093	-14.9416933480284	13.1638213227779	86	2000
null_ratio_log2	within_cell	V2_c1	-3.99647054662497	-11.6024666869377	3.31438641116693	86	2000
fp_prop	within_cell	V2_c1.5	-15.0025073366347	-51.7551269813553	-4.32229557468288	122	2000
null_ratio_log2	within_cell	V2_c1.5	2.23606114294161	-1.71261249457265	8.57537941311606	122	2000
