method	floor	arm_x	arm_z	diff_precision	diff_precision_ci_lo	diff_precision_ci_hi	diff_recall	diff_recall_ci_lo	diff_recall_ci_hi	diff_fdp	diff_fdp_ci_lo	diff_fdp_ci_hi	diff_n_tests	diff_n_tests_ci_lo	diff_n_tests_ci_hi	diff_n_regions	diff_n_regions_ci_lo	diff_n_regions_ci_hi
emmax	1	B_floor_filtered_marker	A_unrestricted_marker	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
emmax	1	C_stage1_simes	B_floor_filtered_marker	0.0662119339553161	0.0542623125977361	0.0770546555853282	-0.0558785529715762	-0.064367816091954	-0.0482158089171935	-0.0662119339553162	-0.0770546555853283	-0.0542623125977361	-10363445	-10689434.925	-10048631.4	-3596	-3936.025	-3302.975
emmax	1	C_stage1_simes	A_unrestricted_marker	0.0662119339553161	0.0542623125977361	0.0770546555853282	-0.0558785529715762	-0.064367816091954	-0.0482158089171935	-0.0662119339553162	-0.0770546555853283	-0.0542623125977361	-10363445	-10689434.925	-10048631.4	-3596	-3936.025	-3302.975
emmax	1	D_stage1_consensus	B_floor_filtered_marker	0.088171000917252	0.0775493118499583	0.0997513521879505	-0.0729974160206718	-0.0805971616361182	-0.0662774101694265	-0.0881710009172521	-0.0997513521879505	-0.0775493118499583	-10363445	-10689434.925	-10048631.4	-4115	-4506.025	-3772.975
emmax	1	D_stage1_consensus	A_unrestricted_marker	0.088171000917252	0.0775493118499583	0.0997513521879505	-0.0729974160206718	-0.0805971616361182	-0.0662774101694265	-0.0881710009172521	-0.0997513521879505	-0.0775493118499583	-10363445	-10689434.925	-10048631.4	-4115	-4506.025	-3772.975
emmax	2	B_floor_filtered_marker	A_unrestricted_marker	0.0014795376871795	-0.00234994763237729	0.00540780157127619	0.00678294573643409	0.000309229305423415	0.0132601331202762	-0.00147953768717957	-0.00540780157127624	0.00234994763237726	-7391765	-7655816.075	-7107887.15	227	74.975	376
emmax	2	C_stage1_simes	B_floor_filtered_marker	0.0383680493739244	0.0301797111667014	0.0465717284501318	-0.0474806201550388	-0.0560490370624232	-0.0399198122563105	-0.0383680493739244	-0.0465717284501319	-0.0301797111667014	-10363445	-10689434.925	-10048631.4	-2914	-3223	-2610.975
emmax	2	C_stage1_simes	A_unrestricted_marker	0.0398475870611039	0.0315671976945219	0.0498017353302642	-0.0406976744186047	-0.0466411715830436	-0.0337562745069273	-0.0398475870611039	-0.0498017353302641	-0.0315671976945218	-17755210	-17824302.5	-17690703	-2687	-3044	-2405.975
emmax	2	D_stage1_consensus	B_floor_filtered_marker	0.0508388871257802	0.0429030377265999	0.0594060526147629	-0.0607235142118863	-0.0705515268913337	-0.0503308351303897	-0.0508388871257801	-0.059406052614763	-0.0429030377265999	-10363445	-10689434.925	-10048631.4	-3400	-3777.025	-3065
emmax	2	D_stage1_consensus	A_unrestricted_marker	0.0523184248129597	0.0422193558261527	0.0629491627573986	-0.0539405684754522	-0.0617249719672133	-0.0440864666784401	-0.0523184248129597	-0.0629491627573986	-0.0422193558261527	-17755210	-17824302.5	-17690703	-3173	-3609.025	-2812
emmax	3	B_floor_filtered_marker	A_unrestricted_marker	0.00398475548070154	-0.00181153336289588	0.00953723038274056	0.00193798449612401	-0.00836680053547523	0.0115314947043294	-0.00398475548070154	-0.00953723038274055	0.00181153336289582	-11748877	-12237987.15	-11205608.45	-153	-393	57
emmax	3	C_stage1_simes	B_floor_filtered_marker	0.0294581495369775	0.0249622427951839	0.0345575977592387	-0.0400516795865633	-0.0483585278019505	-0.0331711355429752	-0.0294581495369776	-0.0345575977592388	-0.0249622427951839	-8184889	-8640523.9	-7754493.825	-2347	-2582	-2126.975
emmax	3	C_stage1_simes	A_unrestricted_marker	0.033442905017679	0.0241385223784695	0.0432198324587652	-0.0381136950904393	-0.0467169876651984	-0.0284169413772467	-0.0334429050176791	-0.0432198324587653	-0.0241385223784695	-19933766	-20012178.3	-19832709.6	-2500	-2879.275	-2184
