tag	cell	method	reference_method	diff_precision	diff_precision_ci_lo	diff_precision_ci_hi	diff_recall	diff_recall_ci_lo	diff_recall_ci_hi
nobgs	V0.5_c1	emmax_simes_region	emmax_snp_region	0.264450630424104	0.193905244336926	0.326552587413365	-0.0637254901960784	-0.0884045940723403	-0.0372291174152876
nobgs	V0.5_c1	emmax_consensus_region	emmax_snp_region	0.209032929845113	0.152924917315436	0.262557694290379	-0.0882352941176471	-0.138099078341014	-0.0407211107793371
nobgs	V0.5_c1.5	emmax_simes_region	emmax_snp_region	0.0610650254214611	0.0168773257380526	0.11108383158873	-0.0415094339622642	-0.0739371808122568	-0.0151515151515151
nobgs	V0.5_c1.5	emmax_consensus_region	emmax_snp_region	-0.000358652491353917	-0.0601224028678902	0.0460165331283357	-0.0792452830188679	-0.126027908994505	-0.0377323024542488
nobgs	V0.5_c2	emmax_simes_region	emmax_snp_region	-0.00231525632059677	-0.00731736169365527	0.00228679905073747	-0.0346820809248555	-0.0524691358024691	-0.0192281420765027
nobgs	V0.5_c2	emmax_consensus_region	emmax_snp_region	-0.0112841260836245	-0.0196458158313717	-0.00444023249428532	-0.069364161849711	-0.0857988165680473	-0.0523411973861234
nobgs	V1_c1	emmax_simes_region	emmax_snp_region	0.342701539702817	0.261670942928951	0.418450553467001	-0.0512820512820513	-0.0822784810126582	-0.0196078431372549
nobgs	V1_c1	emmax_consensus_region	emmax_snp_region	0.339508393285372	0.242130270092227	0.424432327025856	-0.0256410256410257	-0.0714285714285714	0.0254777070063694
nobgs	V1_c1.5	emmax_simes_region	emmax_snp_region	0.014019520851819	-0.0192029770058997	0.0396700788292055	-0.0291970802919708	-0.0481481481481482	-0.0135581768208887
nobgs	V1_c1.5	emmax_consensus_region	emmax_snp_region	-0.0157596371882086	-0.0552107457204973	0.0151347709764462	-0.0474452554744526	-0.079056230889701	-0.0197573740520915
nobgs	V2_c1	emmax_simes_region	emmax_snp_region	0.189112903225806	0.0454471182412359	0.274538521516681	-0.0859375	-0.137104469342526	-0.0396825396825397
nobgs	V2_c1	emmax_consensus_region	emmax_snp_region	0.212588512981904	0.112974337974338	0.275470523451671	-0.0625	-0.122810612597066	-0.00763358778625956
nobgs	V2_c1.5	emmax_simes_region	emmax_snp_region	0.0186574800463879	-0.00558354653811444	0.0506393152591157	-0.0255102040816327	-0.045461038961039	-0.00540540540540541
nobgs	V2_c1.5	emmax_consensus_region	emmax_snp_region	-0.00262522314396724	-0.0163182300234713	0.012514613397187	-0.0204081632653061	-0.04	0
bgs	V0.5_c1	emmax_simes_region	emmax_snp_region	0.155872483221477	0.0840473622458485	0.256664332187803	-0.0838323353293413	-0.121951219512195	-0.0421686746987952
bgs	V0.5_c1	emmax_consensus_region	emmax_snp_region	0.152344875859513	0.100019537476819	0.230748449310659	-0.0718562874251497	-0.105882352941177	-0.0411764705882354
bgs	V0.5_c1.5	emmax_simes_region	emmax_snp_region	0.0341435185185185	-0.0074762047018922	0.0697747052193773	-0.0462633451957296	-0.0821502176139273	-0.0141330314039715
bgs	V0.5_c1.5	emmax_consensus_region	emmax_snp_region	-0.0023148148148148	-0.0420570926389011	0.0311266636209191	-0.0462633451957296	-0.0845588235294118	-0.0133333333333333
bgs	V0.5_c2	emmax_simes_region	emmax_snp_region	-0.00163186232372921	-0.00715899819112557	0.00331972642108329	-0.051490514905149	-0.0681214391875155	-0.033512589176558
bgs	V0.5_c2	emmax_consensus_region	emmax_snp_region	-0.00308502001312135	-0.00893505725833043	0.0015216243882203	-0.0867208672086721	-0.113929210236654	-0.0623189265753005
bgs	V1_c1	emmax_simes_region	emmax_snp_region	0.168270042194093	0.0662081212516199	0.264207045124756	-0.0209790209790209	-0.0596026490066225	0.0197401097943534
bgs	V1_c1	emmax_consensus_region	emmax_snp_region	0.140989340439707	0.0560967922914213	0.190137966043001	-0.041958041958042	-0.097235275689223	0.00746408932779712
bgs	V1_c1.5	emmax_simes_region	emmax_snp_region	0.0143560295324036	-0.0191286070823909	0.0531518624836272	-0.0234375	-0.0458059138369747	-0.00689537080774682
bgs	V1_c1.5	emmax_consensus_region	emmax_snp_region	0.00566037735849057	-0.0356728133685213	0.0437355392450527	-0.0234375	-0.0522388059701493	0.00337895293252436
bgs	V2_c1	emmax_simes_region	emmax_snp_region	0.136363636363636	0.0583532676894876	0.239168845876163	-0.00826446280991736	-0.0654205607476636	0.043859649122807
bgs	V2_c1	emmax_consensus_region	emmax_snp_region	0.136363636363636	0.0690354286121544	0.208226244862901	-0.0247933884297521	-0.0695652173913043	0.016260162601626
bgs	V2_c1.5	emmax_simes_region	emmax_snp_region	0.0222414667117269	-0.000987551613447793	0.050315696078522	-0.0105263157894737	-0.0270306991774383	0
bgs	V2_c1.5	emmax_consensus_region	emmax_snp_region	0.00112225573402538	-0.0152791788430017	0.0284732648982293	-0.0157894736842105	-0.0382566204287516	0.00531914893617021
