tag	cell	rep	method	scheme	sum_E_null	sum_n_obs	sum_TP	sum_FP	n_envs	R_null_obs	FDP_truth
bgs	V0.5_c1	3	emmax_consensus	group	13.84	10	8	2	10	1.384	0.2
bgs	V0.5_c1	3	emmax_consensus	mvn	0.535	10	8	2	10	0.0535	0.2
bgs	V0.5_c1	3	emmax_consensus	spatial	4.165	10	8	2	10	0.4165	0.2
bgs	V0.5_c1	3	emmax_simes	group	12.695	9	7	2	10	1.41055555555556	0.222222222222222
bgs	V0.5_c1	3	emmax_simes	mvn	0.47	9	7	2	10	0.0522222222222222	0.222222222222222
bgs	V0.5_c1	3	emmax_simes	spatial	3.96	9	7	2	10	0.44	0.222222222222222
bgs	V0.5_c1	8	emmax_consensus	group	22.48	39	13	26	10	0.576410256410257	0.666666666666667
bgs	V0.5_c1	8	emmax_consensus	mvn	0.62	39	13	26	10	0.0158974358974359	0.666666666666667
bgs	V0.5_c1	8	emmax_consensus	spatial	3.13	39	13	26	10	0.0802564102564103	0.666666666666667
bgs	V0.5_c1	8	emmax_simes	group	22.41	35	10	25	10	0.640285714285714	0.714285714285714
bgs	V0.5_c1	8	emmax_simes	mvn	0.535	35	10	25	10	0.0152857142857143	0.714285714285714
bgs	V0.5_c1	8	emmax_simes	spatial	2.84	35	10	25	10	0.0811428571428571	0.714285714285714
bgs	V0.5_c1.5	5	emmax_consensus	group	13.69	25	2	23	10	0.5476	0.92
bgs	V0.5_c1.5	5	emmax_consensus	mvn	0.515	25	2	23	10	0.0206	0.92
bgs	V0.5_c1.5	5	emmax_consensus	spatial	102.905	25	2	23	10	4.1162	0.92
bgs	V0.5_c1.5	5	emmax_simes	group	12.845	12	2	10	10	1.07041666666667	0.833333333333333
bgs	V0.5_c1.5	5	emmax_simes	mvn	0.515	12	2	10	10	0.0429166666666667	0.833333333333333
bgs	V0.5_c1.5	5	emmax_simes	spatial	79.435	12	2	10	10	6.61958333333333	0.833333333333333
