tag	cell	rep	env	method	scheme	B	mean_null	max_null	n_obs_regions	TP	FP	ratio_null_obs	FDP_truth
bgs	V0.5_c1	2	1	emmax_consensus	group	200	0.175	3	0	0	0		
bgs	V0.5_c1	2	1	emmax_consensus	mvn	200	0.07	2	0	0	0		
bgs	V0.5_c1	2	1	emmax_consensus	spatial	200	0.15	3	0	0	0		
bgs	V0.5_c1	2	1	emmax_simes	group	200	0.145	3	0	0	0		
bgs	V0.5_c1	2	1	emmax_simes	mvn	200	0.065	2	0	0	0		
bgs	V0.5_c1	2	1	emmax_simes	spatial	200	0.125	4	0	0	0		
bgs	V0.5_c1	2	2	emmax_consensus	group	200	2.7	8	5	3	2	0.54	0.4
bgs	V0.5_c1	2	2	emmax_consensus	mvn	200	0.085	4	5	3	2	0.017	0.4
bgs	V0.5_c1	2	2	emmax_consensus	spatial	200	0.31	4	5	3	2	0.062	0.4
bgs	V0.5_c1	2	2	emmax_simes	group	200	2.35	6	2	2	0	1.175	0
bgs	V0.5_c1	2	2	emmax_simes	mvn	200	0.025	2	2	2	0	0.0125	0
bgs	V0.5_c1	2	2	emmax_simes	spatial	200	0.27	3	2	2	0	0.135	0
bgs	V0.5_c1	2	3	emmax_consensus	group	200	4.75	11	2	2	0	2.375	0
bgs	V0.5_c1	2	3	emmax_consensus	mvn	200	0.06	2	2	2	0	0.03	0
bgs	V0.5_c1	2	3	emmax_consensus	spatial	200	1.2	8	2	2	0	0.6	0
bgs	V0.5_c1	2	3	emmax_simes	group	200	4.395	10	2	2	0	2.1975	0
bgs	V0.5_c1	2	3	emmax_simes	mvn	200	0.045	1	2	2	0	0.0225	0
bgs	V0.5_c1	2	3	emmax_simes	spatial	200	1.19	7	2	2	0	0.595	0
bgs	V0.5_c1	2	4	emmax_consensus	group	200	2.355	7	2	1	1	1.1775	0.5
bgs	V0.5_c1	2	4	emmax_consensus	mvn	200	0.08	3	2	1	1	0.04	0.5
bgs	V0.5_c1	2	4	emmax_consensus	spatial	200	0.525	5	2	1	1	0.2625	0.5
bgs	V0.5_c1	2	4	emmax_simes	group	200	2.18	6	1	1	0	2.18	0
bgs	V0.5_c1	2	4	emmax_simes	mvn	200	0.075	3	1	1	0	0.075	0
bgs	V0.5_c1	2	4	emmax_simes	spatial	200	0.64	6	1	1	0	0.64	0
bgs	V0.5_c1	2	5	emmax_consensus	group	200	0.44	4	1	0	1	0.44	1
bgs	V0.5_c1	2	5	emmax_consensus	mvn	200	0.05	2	1	0	1	0.05	1
bgs	V0.5_c1	2	5	emmax_consensus	spatial	200	0.445	3	1	0	1	0.445	1
bgs	V0.5_c1	2	5	emmax_simes	group	200	0.915	4	2	1	1	0.4575	0.5
bgs	V0.5_c1	2	5	emmax_simes	mvn	200	0.05	3	2	1	1	0.025	0.5
bgs	V0.5_c1	2	5	emmax_simes	spatial	200	0.435	4	2	1	1	0.2175	0.5
bgs	V0.5_c1	2	6	emmax_consensus	group	200	0.17	3	0	0	0		
bgs	V0.5_c1	2	6	emmax_consensus	mvn	200	0.04	2	0	0	0		
bgs	V0.5_c1	2	6	emmax_consensus	spatial	200	0.025	1	0	0	0		
bgs	V0.5_c1	2	6	emmax_simes	group	200	0.19	3	0	0	0		
bgs	V0.5_c1	2	6	emmax_simes	mvn	200	0.015	1	0	0	0		
bgs	V0.5_c1	2	6	emmax_simes	spatial	200	0.04	1	0	0	0		
bgs	V0.5_c1	2	7	emmax_consensus	group	200	1.05	2	1	1	0	1.05	0
bgs	V0.5_c1	2	7	emmax_consensus	mvn	200	0.09	2	1	1	0	0.09	0
bgs	V0.5_c1	2	7	emmax_consensus	spatial	200	0.525	7	1	1	0	0.525	0
bgs	V0.5_c1	2	7	emmax_simes	group	200	1.065	2	1	1	0	1.065	0
bgs	V0.5_c1	2	7	emmax_simes	mvn	200	0.095	3	1	1	0	0.095	0
bgs	V0.5_c1	2	7	emmax_simes	spatial	200	0.745	8	1	1	0	0.745	0
bgs	V0.5_c1	2	8	emmax_consensus	group	200	0.825	4	3	0	3	0.275	1
bgs	V0.5_c1	2	8	emmax_consensus	mvn	200	0.085	2	3	0	3	0.0283333333333333	1
bgs	V0.5_c1	2	8	emmax_consensus	spatial	200	0.325	4	3	0	3	0.108333333333333	1
bgs	V0.5_c1	2	8	emmax_simes	group	200	0.635	5	3	0	3	0.211666666666667	1
bgs	V0.5_c1	2	8	emmax_simes	mvn	200	0.1	3	3	0	3	0.0333333333333333	1
bgs	V0.5_c1	2	8	emmax_simes	spatial	200	0.235	4	3	0	3	0.0783333333333333	1
bgs	V0.5_c1	2	9	emmax_consensus	group	200	0.125	2	0	0	0		
bgs	V0.5_c1	2	9	emmax_consensus	mvn	200	0.065	2	0	0	0		
bgs	V0.5_c1	2	9	emmax_consensus	spatial	200	0.195	3	0	0	0		
bgs	V0.5_c1	2	9	emmax_simes	group	200	0.05	2	0	0	0		
bgs	V0.5_c1	2	9	emmax_simes	mvn	200	0.045	1	0	0	0		
bgs	V0.5_c1	2	9	emmax_simes	spatial	200	0.205	5	0	0	0		
bgs	V0.5_c1	2	10	emmax_consensus	group	200	0.975	4	1	1	0	0.975	0
bgs	V0.5_c1	2	10	emmax_consensus	mvn	200	0.045	2	1	1	0	0.045	0
bgs	V0.5_c1	2	10	emmax_consensus	spatial	200	0.055	3	1	1	0	0.055	0
bgs	V0.5_c1	2	10	emmax_simes	group	200	0.71	4	2	1	1	0.355	0.5
bgs	V0.5_c1	2	10	emmax_simes	mvn	200	0.06	2	2	1	1	0.03	0.5
bgs	V0.5_c1	2	10	emmax_simes	spatial	200	0.195	3	2	1	1	0.0975	0.5
bgs	V0.5_c1	3	1	emmax_consensus	group	200	3.94	10	4	3	1	0.985	0.25
bgs	V0.5_c1	3	1	emmax_consensus	mvn	200	0.055	2	4	3	1	0.01375	0.25
bgs	V0.5_c1	3	1	emmax_consensus	spatial	200	0.045	2	4	3	1	0.01125	0.25
bgs	V0.5_c1	3	1	emmax_simes	group	200	3.47	11	3	3	0	1.15666666666667	0
bgs	V0.5_c1	3	1	emmax_simes	mvn	200	0.05	2	3	3	0	0.0166666666666667	0
bgs	V0.5_c1	3	1	emmax_simes	spatial	200	0.045	1	3	3	0	0.015	0
bgs	V0.5_c1	3	2	emmax_consensus	group	200	3.11	9	1	1	0	3.11	0
bgs	V0.5_c1	3	2	emmax_consensus	mvn	200	0.03	2	1	1	0	0.03	0
