tag	cell	method	n_tested	n_significant	TP	FP	FN	n_detectable_qtn	n_recovered	coverage	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi
nobgs	V0.5_c1	emmax_snp_region	1488756	394	150	244	85	204	119	0.955882352941176	0.380710659898477	0.332562675644843	0.446544025157233	0.583333333333333	0.504670753665438	0.671721117424243
nobgs	V0.5_c1	emmax_simes_region	291445	186	120	66	98	204	106	0.955882352941176	0.645161290322581	0.565420560747664	0.719518895738408	0.519607843137255	0.428571428571429	0.616666666666667
nobgs	V0.5_c1	emmax_consensus_region	291445	195	115	80	103	204	101	0.955882352941176	0.58974358974359	0.516558448337057	0.664740705465055	0.495098039215686	0.38530345800988	0.592180126918696
nobgs	V0.5_c1.5	emmax_snp_region	1518170	370	58	312	212	265	53	0.977358490566038	0.156756756756757	0.103444713593616	0.236231627296588	0.2	0.153059320743223	0.264822134387352
nobgs	V0.5_c1.5	emmax_simes_region	292375	202	44	158	223	265	42	0.977358490566038	0.217821782178218	0.146919431279621	0.321608040201005	0.158490566037736	0.115998550724638	0.221374045801527
nobgs	V0.5_c1.5	emmax_consensus_region	292375	211	33	178	233	265	32	0.977358490566038	0.156398104265403	0.111637001078749	0.206900905607802	0.120754716981132	0.0785660980810235	0.168628632175762
nobgs	V0.5_c2	emmax_snp_region	1553729	1284	35	1249	313	346	33	0.869942196531792	0.0272585669781931	0.0223762350609395	0.031390134529148	0.0953757225433526	0.0784300476947536	0.113566461141382
nobgs	V0.5_c2	emmax_simes_region	242330	882	22	860	325	346	21	0.869942196531792	0.0249433106575964	0.0189093454660477	0.0302694863376542	0.0606936416184971	0.0478869493557087	0.0749372851637095
nobgs	V0.5_c2	emmax_consensus_region	242330	626	10	616	337	346	9	0.869942196531792	0.0159744408945687	0.00521716485507246	0.0250697405937503	0.0260115606936416	0.00824175824175824	0.0467970003874038
nobgs	V1_c1	emmax_snp_region	1495690	278	84	194	85	156	71	0.980769230769231	0.302158273381295	0.248484383714445	0.388297872340426	0.455128205128205	0.374193548387097	0.524111259854232
nobgs	V1_c1	emmax_simes_region	292729	107	69	38	93	156	63	0.980769230769231	0.644859813084112	0.576923076923077	0.715789473684211	0.403846153846154	0.335351966873706	0.46875
nobgs	V1_c1	emmax_consensus_region	292729	120	77	43	89	156	67	0.980769230769231	0.641666666666667	0.579992753623188	0.710007009345794	0.429487179487179	0.369419270722011	0.487179487179487
nobgs	V1_c1.5	emmax_snp_region	1508205	245	27	218	241	274	33	0.989051094890511	0.110204081632653	0.0751144366197183	0.147300303336704	0.12043795620438	0.0646329831797383	0.195041061549101
nobgs	V1_c1.5	emmax_simes_region	290755	161	20	141	249	274	25	0.989051094890511	0.124223602484472	0.0763875636132316	0.159798969072165	0.0912408759124088	0.0365312292358804	0.170913930176288
nobgs	V1_c1.5	emmax_consensus_region	290755	180	17	163	254	274	20	0.989051094890511	0.0944444444444444	0.0705882352941176	0.117122150083044	0.072992700729927	0.0398671096345515	0.124528647453176
nobgs	V2_c1	emmax_snp_region	1488482	155	54	101	79	128	49	0.9375	0.348387096774194	0.242570507050705	0.5	0.3828125	0.305970149253731	0.465116279069768
nobgs	V2_c1	emmax_simes_region	291359	80	43	37	90	128	38	0.9375	0.5375	0.406238677536232	0.657534246575342	0.296875	0.208955223880597	0.393449077062089
nobgs	V2_c1	emmax_consensus_region	291359	82	46	36	87	128	41	0.9375	0.560975609756098	0.463141447368421	0.663245614035087	0.3203125	0.24390243902439	0.395348837209302
nobgs	V2_c1.5	emmax_snp_region	1496487	214	21	193	175	196	21	0.918367346938776	0.0981308411214953	0.0625	0.13809589581689	0.107142857142857	0.0717948717948718	0.143564991114496
nobgs	V2_c1.5	emmax_simes_region	290788	137	16	121	180	196	16	0.918367346938776	0.116788321167883	0.065690439152806	0.171428571428571	0.0816326530612245	0.0466261150579563	0.118648263131398
nobgs	V2_c1.5	emmax_consensus_region	290788	178	17	161	179	196	17	0.918367346938776	0.0955056179775281	0.0611077235772358	0.128654970760234	0.086734693877551	0.0585098606445191	0.112365877113068
bgs	V0.5_c1	emmax_snp_region	1543807	298	110	188	76	167	91	0.958083832335329	0.369127516778524	0.306762532075608	0.451612903225806	0.544910179640719	0.471698113207547	0.615396341463415
bgs	V0.5_c1	emmax_simes_region	306715	160	84	76	90	167	77	0.958083832335329	0.525	0.422409003831418	0.641666666666667	0.461077844311377	0.384615384615385	0.517246391339214
