tag	cell	method	n_tested	n_significant	TP	FP	FN	n_detectable_qtn	n_recovered	coverage	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi
nobgs	V0.5_c1	emmax_snp	1488756	3602	1285	2317	87	204	117	0.955882352941176	0.356746252082177	0.302173553137268	0.452948831934583	0.573529411764706	0.499945887445888	0.658040706920433
nobgs	V0.5_c1	emmax_snp_nonsingleton	1488756	3468	1263	2205	93	204	111	0.955882352941176	0.364186851211073	0.306663702865234	0.466091682141718	0.544117647058824	0.442451965239576	0.639790322580645
nobgs	V0.5_c1	emmax_simes	291445	341	215	126	98	204	106	0.955882352941176	0.63049853372434	0.564784119489145	0.709462493931057	0.519607843137255	0.43052337398374	0.615840395480226
nobgs	V0.5_c1	emmax_consensus	291445	374	218	156	103	204	101	0.955882352941176	0.582887700534759	0.507686567164179	0.671704034861929	0.495098039215686	0.384572072072072	0.592969134890137
nobgs	V0.5_c1.5	emmax_snp	1518170	2004	352	1652	214	265	51	0.977358490566038	0.17564870259481	0.119362584709575	0.26552522033376	0.192452830188679	0.146428571428571	0.253012048192771
nobgs	V0.5_c1.5	emmax_snp_nonsingleton	1518170	1959	352	1607	214	265	51	0.977358490566038	0.179683511995916	0.121363380183759	0.274531143202302	0.192452830188679	0.146428571428571	0.253012048192771
nobgs	V0.5_c1.5	emmax_simes	292375	232	49	183	223	265	42	0.977358490566038	0.211206896551724	0.139127510235913	0.32112424195304	0.158490566037736	0.115527691864122	0.224334600760456
nobgs	V0.5_c1.5	emmax_consensus	292375	247	37	210	233	265	32	0.977358490566038	0.149797570850202	0.103889374873831	0.203798723280781	0.120754716981132	0.0727886056971514	0.166666666666667
nobgs	V0.5_c2	emmax_snp	1553729	5091	89	5002	320	346	26	0.869942196531792	0.017481830681595	0.0101856921293296	0.0258879975401767	0.0751445086705202	0.0536723163841808	0.0977066919062724
nobgs	V0.5_c2	emmax_snp_nonsingleton	1553729	4971	85	4886	324	346	22	0.869942196531792	0.0170991752162543	0.00933734218925504	0.0261473915741418	0.0635838150289017	0.0455892511743576	0.0821124753889992
nobgs	V0.5_c2	emmax_simes	242330	1027	23	1004	325	346	21	0.869942196531792	0.0223953261927946	0.0170446489946726	0.0271971799500607	0.0606936416184971	0.0478869493557087	0.0744071070405239
nobgs	V0.5_c2	emmax_consensus	242330	744	10	734	337	346	9	0.869942196531792	0.0134408602150538	0.00458663231536174	0.021441207689586	0.0260115606936416	0.00845011077702168	0.047201131067707
nobgs	V1_c1	emmax_snp	1495690	2574	1105	1469	85	156	71	0.980769230769231	0.429292929292929	0.332368134512997	0.542154971903494	0.455128205128205	0.379730288739969	0.525332894953148
nobgs	V1_c1	emmax_snp_nonsingleton	1495690	2482	1096	1386	87	156	69	0.980769230769231	0.441579371474617	0.341731805109485	0.562816411976003	0.442307692307692	0.371776729559748	0.509554140127389
nobgs	V1_c1	emmax_simes	292729	215	127	88	93	156	63	0.980769230769231	0.590697674418605	0.496092199900794	0.68446666839728	0.403846153846154	0.339740566037736	0.468759645061728
nobgs	V1_c1	emmax_consensus	292729	223	137	86	89	156	67	0.980769230769231	0.614349775784753	0.528730169135964	0.703708198489752	0.429487179487179	0.37012987012987	0.490069471497208
nobgs	V1_c1.5	emmax_snp	1508205	896	160	736	247	274	27	0.989051094890511	0.178571428571429	0.116481667000601	0.24930019147247	0.0985401459854015	0.0572267641996558	0.152679588697733
nobgs	V1_c1.5	emmax_snp_nonsingleton	1508205	857	160	697	247	274	27	0.989051094890511	0.186697782963827	0.123227413996356	0.260377211208756	0.0985401459854015	0.0572267641996558	0.152679588697733
nobgs	V1_c1.5	emmax_simes	290755	181	24	157	249	274	25	0.989051094890511	0.132596685082873	0.0886032894170326	0.169023705071962	0.0912408759124088	0.0370339299030574	0.168595757268425
nobgs	V1_c1.5	emmax_consensus	290755	205	21	184	254	274	20	0.989051094890511	0.102439024390244	0.0773480662983425	0.125	0.072992700729927	0.0404040404040404	0.123643745143745
nobgs	V2_c1	emmax_snp	1488482	914	425	489	80	128	48	0.9375	0.464989059080963	0.328647201117281	0.677933933615138	0.375	0.298365435883764	0.456908246458166
nobgs	V2_c1	emmax_snp_nonsingleton	1488482	866	415	451	86	128	42	0.9375	0.479214780600462	0.336543695075322	0.708709404421877	0.328125	0.224801988540613	0.429780622186387
nobgs	V2_c1	emmax_simes	291359	132	69	63	90	128	38	0.9375	0.522727272727273	0.420103890362511	0.647132352941176	0.296875	0.203125	0.387096774193548
