tag	cell	method	n_tested	n_significant	TP	FP	FN	n_detectable_qtn	n_recovered	coverage	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi
nobgs	V0.5_c1	lfmm_snp_region	1488756	414	189	225	64	204	140	0.955882352941176	0.456521739130435	0.387930614371177	0.54093567251462	0.686274509803922	0.611335355721297	0.755695245364089
nobgs	V0.5_c1	lfmm_simes_region	291445	238	143	95	79	204	125	0.955882352941176	0.600840336134454	0.542849544072948	0.67027027027027	0.612745098039216	0.533009979140988	0.697916666666667
nobgs	V0.5_c1.5	lfmm_snp_region	1518170	698	96	602	180	265	85	0.977358490566038	0.137535816618911	0.110661130284728	0.166672610556348	0.320754716981132	0.257570187165775	0.407004531463748
nobgs	V0.5_c1.5	lfmm_simes_region	292375	447	78	369	190	265	75	0.977358490566038	0.174496644295302	0.145694284480276	0.205551215867409	0.283018867924528	0.228456231041996	0.351472290670944
nobgs	V0.5_c2	lfmm_snp_region	1553729	2757	95	2662	257	346	89	0.869942196531792	0.0344577439245557	0.029568934366993	0.0402906521359382	0.257225433526012	0.220333225865881	0.296977886977887
nobgs	V0.5_c2	lfmm_simes_region	242330	1971	69	1902	278	346	68	0.869942196531792	0.0350076103500761	0.0286937597338587	0.0415282845887116	0.196531791907514	0.167146974063401	0.22514817449028
nobgs	V1_c1	lfmm_snp_region	1495690	306	109	197	73	156	83	0.980769230769231	0.356209150326797	0.30030008142253	0.418413049580922	0.532051282051282	0.473684210526316	0.594963953390896
nobgs	V1_c1	lfmm_simes_region	292729	156	84	72	77	156	79	0.980769230769231	0.538461538461538	0.464082573387473	0.623188405797102	0.506410256410256	0.45	0.569642567348264
nobgs	V1_c1.5	lfmm_snp_region	1508205	586	75	511	197	274	77	0.989051094890511	0.127986348122867	0.0969960744154293	0.160157625440141	0.281021897810219	0.187267502815206	0.404879190859711
nobgs	V1_c1.5	lfmm_simes_region	290755	384	59	325	212	274	62	0.989051094890511	0.153645833333333	0.0989569024725275	0.217497914059241	0.226277372262774	0.131782291011942	0.347517730496454
nobgs	V2_c1	lfmm_snp_region	1488482	209	70	139	66	128	62	0.9375	0.334928229665072	0.278875820917244	0.397453703703704	0.484375	0.430634312601798	0.533333333333333
nobgs	V2_c1	lfmm_simes_region	291359	114	59	55	77	128	51	0.9375	0.517543859649123	0.424515094339623	0.611695357754752	0.3984375	0.29544523099851	0.481498015873016
nobgs	V2_c1.5	lfmm_snp_region	1496487	655	36	619	163	196	33	0.918367346938776	0.0549618320610687	0.0379393917845884	0.0724906345659277	0.168367346938776	0.117340094574415	0.213503210272873
nobgs	V2_c1.5	lfmm_simes_region	290788	434	31	403	166	196	30	0.918367346938776	0.0714285714285714	0.0492170022371365	0.0924584854014599	0.153061224489796	0.107692307692308	0.194594594594595
bgs	V0.5_c1	lfmm_snp_region	1543807	403	154	249	64	167	103	0.958083832335329	0.382133995037221	0.34018478106172	0.431835399449036	0.616766467065868	0.557573145245559	0.67283950617284
bgs	V0.5_c1	lfmm_simes_region	306715	221	119	102	73	167	94	0.958083832335329	0.538461538461538	0.459994252873563	0.625643274853801	0.562874251497006	0.494115896358543	0.621954764605786
bgs	V0.5_c1.5	lfmm_snp_region	1615784	673	88	585	201	281	80	1	0.13075780089153	0.111859613955876	0.154870575221239	0.284697508896797	0.230502341659233	0.349269147714848
bgs	V0.5_c1.5	lfmm_simes_region	305864	387	69	318	216	281	65	1	0.178294573643411	0.155294117647059	0.205515533758253	0.231316725978648	0.189830508474576	0.273381968582437
bgs	V0.5_c2	lfmm_snp_region	1804009	3369	101	3268	278	369	91	0.937669376693767	0.0299792223211636	0.0259850606647735	0.0342016899770695	0.246612466124661	0.205405405405405	0.292556434872859
bgs	V0.5_c2	lfmm_simes_region	267574	2453	74	2379	292	369	77	0.937669376693767	0.0301671422747656	0.0245652123073565	0.0361676633599796	0.208672086720867	0.173441734417344	0.245014245014245
bgs	V1_c1	lfmm_snp_region	1552470	326	120	206	54	143	89	0.986013986013986	0.368098159509202	0.313404822733181	0.433113420667373	0.622377622377622	0.496596260881975	0.72028743315508
bgs	V1_c1	lfmm_simes_region	307433	213	110	103	59	143	84	0.986013986013986	0.516431924882629	0.445024376771219	0.607485798057541	0.587412587412587	0.472583445880764	0.69292631760446
bgs	V1_c1.5	lfmm_snp_region	1621446	535	57	478	203	256	53	0.99609375	0.106542056074766	0.0784305882352941	0.141844783095574	0.20703125	0.176	0.237211273157272
bgs	V1_c1.5	lfmm_simes_region	307910	346	44	302	212	256	44	0.99609375	0.127167630057803	0.097086070185539	0.168318532884216	0.171875	0.143824997345227	0.201718662791817
bgs	V2_c1	lfmm_snp_region	1551174	141	55	86	80	121	41	0.966942148760331	0.390070921985816	0.318518518518519	0.466666666666667	0.338842975206612	0.267716535433071	0.428571428571429
bgs	V2_c1	lfmm_simes_region	307253	90	48	42	83	121	38	0.966942148760331	0.533333333333333	0.427083333333333	0.641321121846484	0.31404958677686	0.244094488188976	0.401709401709402
bgs	V2_c1.5	lfmm_snp_region	1623067	497	32	465	159	190	31	0.994736842105263	0.0643863179074447	0.0488698881349716	0.0894546820626384	0.163157894736842	0.126984126984127	0.205409159159159
bgs	V2_c1.5	lfmm_simes_region	311536	356	24	332	167	190	23	0.994736842105263	0.0674157303370787	0.0448713720316623	0.100630568658281	0.121052631578947	0.0837587260034904	0.160626318119093
