term	estimate	ci_lo	ci_hi	n_boot_converged	size_measure
(Intercept)	1.655383886033	1.35518562404513	1.94866514363038	2000	n_markers
log2_size	-0.627542089071151	-0.705741919574367	-0.566167801830199	2000	n_markers
methodemmax_simes_region	-0.452646887146875	-0.576216603485963	-0.330320903827551	2000	n_markers
methodemmax_consensus_region	-0.330977416690211	-0.441158530039847	-0.214041944969239	2000	n_markers
methodlfmm_snp_region	-0.129382779685723	-0.210377998527173	-0.0383190167815094	2000	n_markers
methodlfmm_simes_region	-0.377869633715324	-0.484954983749942	-0.262615490433162	2000	n_markers
cellV0.5_c1.5	2.00448284651545	1.63407071341373	2.42134909601773	2000	n_markers
cellV0.5_c2	4.39657721329628	4.09188853376196	4.75434632877103	2000	n_markers
cellV1_c1	0.00818779484595512	-0.422754191141339	0.402546274508466	2000	n_markers
cellV1_c1.5	2.25305821172794	1.91613263384917	2.67782022157547	2000	n_markers
cellV2_c1	0.0547881301492491	-0.311775307203407	0.459931816383196	2000	n_markers
cellV2_c1.5	2.70172281081125	2.35920976758637	3.10353450991519	2000	n_markers
tagbgs	0.237638444751175	0.0540976998350576	0.415399333548432	2000	n_markers
(Intercept)	0.7195743970426	0.437416170430393	0.95268050072303	2000	n_units
log2_size	-1.0898933710236	-1.23017266289876	-0.967248786570029	2000	n_units
methodemmax_simes_region	-0.579713291027731	-0.719255081162302	-0.447963472135252	2000	n_units
methodemmax_consensus_region	-0.428671420767776	-0.558827477664161	-0.28349302755156	2000	n_units
methodlfmm_snp_region	-0.0716648649028182	-0.158086940899468	0.0295749294549278	2000	n_units
methodlfmm_simes_region	-0.482558692021111	-0.608407630759642	-0.351189544744251	2000	n_units
cellV0.5_c1.5	1.45625554709154	1.15957044936008	1.77650067429178	2000	n_units
cellV0.5_c2	3.49665634579752	3.28792085567874	3.76146436228197	2000	n_units
cellV1_c1	0.0881816660138198	-0.247254299027525	0.410679040055857	2000	n_units
cellV1_c1.5	1.76799639486385	1.49510221980796	2.11397536392982	2000	n_units
cellV2_c1	0.0970345974137279	-0.20023520704709	0.433882228470105	2000	n_units
cellV2_c1.5	2.30170520635244	1.96681571760557	2.67094327617463	2000	n_units
tagbgs	0.0824148429849958	-0.0916433592568569	0.239462847833027	2000	n_units
