method	tag	bin	n_regions	n_TP	n_FP	fp_prop	fp_prop_ci_lo	fp_prop_ci_hi	median_size_TP	median_size_FP	size_measure
emmax_consensus_region	bgs	1	0	0	0						n_markers
emmax_consensus_region	bgs	2	344	34	310	0.901162790697675	0.865851612375184	0.931580071974809	2	2	n_markers
emmax_consensus_region	bgs	3-5	506	63	443	0.875494071146245	0.842421150278293	0.908241596990968	4	4	n_markers
emmax_consensus_region	bgs	6-10	365	44	321	0.879452054794521	0.850743434725109	0.907501064476886	8	8	n_markers
emmax_consensus_region	bgs	11-20	340	68	272	0.8	0.762704120015931	0.837137164389106	14	14	n_markers
emmax_consensus_region	bgs	21-50	232	55	177	0.762931034482759	0.717592592592593	0.805090370481476	31	28	n_markers
emmax_consensus_region	bgs	51+	71	25	46	0.647887323943662	0.5625	0.717948717948718	67	68.5	n_markers
emmax_consensus_region	nobgs	1	0	0	0						n_markers
emmax_consensus_region	nobgs	2	312	42	270	0.865384615384615	0.832191780821918	0.89937106918239	2	2	n_markers
emmax_consensus_region	nobgs	3-5	492	67	425	0.863821138211382	0.827253508003652	0.900975119052014	3	4	n_markers
emmax_consensus_region	nobgs	6-10	342	56	286	0.83625730994152	0.784909815263427	0.883931806418219	8	7	n_markers
emmax_consensus_region	nobgs	11-20	236	50	186	0.788135593220339	0.74879105673294	0.824819648385356	14	14	n_markers
emmax_consensus_region	nobgs	21-50	152	55	97	0.638157894736842	0.570469798657718	0.70312752016129	30	27	n_markers
emmax_consensus_region	nobgs	51+	58	45	13	0.224137931034483	0.125	0.36	94	63	n_markers
emmax_simes_region	bgs	1	0	0	0						n_markers
emmax_simes_region	bgs	2	347	37	310	0.893371757925072	0.865712053571429	0.916897506925208	2	2	n_markers
emmax_simes_region	bgs	3-5	493	60	433	0.878296146044625	0.853154384430352	0.907076058599237	4	4	n_markers
emmax_simes_region	bgs	6-10	468	64	404	0.863247863247863	0.835851540297829	0.893294688787627	8	8	n_markers
emmax_simes_region	bgs	11-20	453	67	386	0.852097130242826	0.822776987626227	0.883941468253968	15	14	n_markers
emmax_simes_region	bgs	21-50	319	51	268	0.84012539184953	0.800631969559976	0.876333627797409	29	29	n_markers
emmax_simes_region	bgs	51+	101	27	74	0.732673267326733	0.666666666666667	0.790916583416583	62	68	n_markers
emmax_simes_region	nobgs	1	0	0	0						n_markers
emmax_simes_region	nobgs	2	328	45	283	0.862804878048781	0.812924621461488	0.909348441926346	2	2	n_markers
emmax_simes_region	nobgs	3-5	473	73	400	0.845665961945032	0.802933503803288	0.881963314887037	4	4	n_markers
emmax_simes_region	nobgs	6-10	386	56	330	0.854922279792746	0.803135801206667	0.900523912064404	8	7	n_markers
emmax_simes_region	nobgs	11-20	321	59	262	0.816199376947041	0.777768817204301	0.854230263533985	14	14	n_markers
emmax_simes_region	nobgs	21-50	181	56	125	0.69060773480663	0.607142857142857	0.767441860465116	30	28	n_markers
emmax_simes_region	nobgs	51+	66	45	21	0.318181818181818	0.227272727272727	0.437527412280702	84	63	n_markers
emmax_snp_region	bgs	1	462	22	440	0.952380952380952	0.929998792270531	0.969524844720497	1	1	n_markers
emmax_snp_region	bgs	2	436	32	404	0.926605504587156	0.906976744186047	0.943206679223414	2	2	n_markers
emmax_snp_region	bgs	3-5	755	69	686	0.908609271523179	0.881174899866489	0.934335676742587	4	4	n_markers
emmax_snp_region	bgs	6-10	688	71	617	0.896802325581395	0.87372928873812	0.920054248052999	8	8	n_markers
emmax_snp_region	bgs	11-20	669	76	593	0.886397608370703	0.86890118952419	0.901538461538462	15	14	n_markers
emmax_snp_region	bgs	21-50	528	83	445	0.84280303030303	0.807245148674703	0.876388870286162	30	29	n_markers
emmax_snp_region	bgs	51+	180	41	139	0.772222222222222	0.720476896292114	0.819150438754658	78	65	n_markers
emmax_snp_region	nobgs	1	469	29	440	0.93816631130064	0.892750971689521	0.969163900170965	1	1	n_markers
emmax_snp_region	nobgs	2	402	46	356	0.885572139303483	0.849487118921643	0.921701727900757	2	2	n_markers
emmax_snp_region	nobgs	3-5	637	78	559	0.877551020408163	0.847582323688548	0.903482113501327	4	4	n_markers
emmax_snp_region	nobgs	6-10	549	67	482	0.877959927140255	0.842875860974344	0.905660377358491	8	8	n_markers
emmax_snp_region	nobgs	11-20	439	60	379	0.863325740318907	0.824053452115813	0.900946693041185	14	14	n_markers
emmax_snp_region	nobgs	21-50	322	78	244	0.75776397515528	0.704374574600418	0.794481884282498	29.5	28	n_markers
emmax_snp_region	nobgs	51+	122	71	51	0.418032786885246	0.333270676691729	0.521751207729469	92	64	n_markers
lfmm_simes_region	bgs	1	0	0	0						n_markers
lfmm_simes_region	bgs	2	496	51	445	0.897177419354839	0.874747153059255	0.921487796400711	2	2	n_markers
lfmm_simes_region	bgs	3-5	858	101	757	0.882284382284382	0.855072022454059	0.908572339456505	4	4	n_markers
lfmm_simes_region	bgs	6-10	899	89	810	0.901001112347052	0.878446645715708	0.922742227743349	8	8	n_markers
lfmm_simes_region	bgs	11-20	910	107	803	0.882417582417583	0.852813731212608	0.909478283023025	15	14	n_markers
lfmm_simes_region	bgs	21-50	709	95	614	0.866008462623413	0.838368161121511	0.893855763609198	31	29	n_markers
lfmm_simes_region	bgs	51+	194	45	149	0.768041237113402	0.668539325842697	0.856468717992489	73	68	n_markers
lfmm_simes_region	nobgs	1	0	0	0						n_markers
lfmm_simes_region	nobgs	2	627	70	557	0.888357256778309	0.855241673930806	0.922682900131354	2	2	n_markers
lfmm_simes_region	nobgs	3-5	984	89	895	0.909552845528455	0.890093666984182	0.927763549473951	4	4	n_markers
lfmm_simes_region	nobgs	6-10	896	115	781	0.871651785714286	0.847876076702215	0.89473984962406	8	8	n_markers
lfmm_simes_region	nobgs	11-20	727	96	631	0.867950481430536	0.853833973751185	0.882675827287336	15	14	n_markers
lfmm_simes_region	nobgs	21-50	400	96	304	0.76	0.730870549529301	0.79082307714172	30.5	27	n_markers
lfmm_simes_region	nobgs	51+	110	57	53	0.481818181818182	0.38605242901129	0.602957737148913	77	63	n_markers
lfmm_snp_region	bgs	1	688	35	653	0.949127906976744	0.9296	0.962645265764908	1	1	n_markers
lfmm_snp_region	bgs	2	609	49	560	0.919540229885057	0.90225533786389	0.939290966386555	2	2	n_markers
lfmm_snp_region	bgs	3-5	1150	114	1036	0.900869565217391	0.878087511339775	0.922325493998312	4	4	n_markers
lfmm_snp_region	bgs	6-10	1120	97	1023	0.913392857142857	0.891418940831381	0.932505236829053	8	8	n_markers
lfmm_snp_region	bgs	11-20	1103	125	978	0.886672710788758	0.863591622302396	0.908149052342848	15	14	n_markers
lfmm_snp_region	bgs	21-50	980	119	861	0.878571428571429	0.857437661002625	0.901590457256461	33	30	n_markers
lfmm_snp_region	bgs	51+	294	68	226	0.768707482993197	0.694232239208633	0.834441543555782	72	66.5	n_markers
lfmm_snp_region	nobgs	1	915	61	854	0.933333333333333	0.905588849601827	0.951580171358629	1	1	n_markers
lfmm_snp_region	nobgs	2	722	73	649	0.898891966759003	0.866666666666667	0.932883174906878	2	2	n_markers
lfmm_snp_region	nobgs	3-5	1263	112	1151	0.91132224861441	0.893597870296237	0.928975680855577	4	4	n_markers
lfmm_snp_region	nobgs	6-10	1100	123	977	0.888181818181818	0.868088069367012	0.904391805059052	8	8	n_markers
lfmm_snp_region	nobgs	11-20	885	106	779	0.880225988700565	0.867676098171398	0.892602935064188	14	14	n_markers
lfmm_snp_region	nobgs	21-50	588	125	463	0.787414965986395	0.76173731884058	0.809527649769585	31	28	n_markers
lfmm_snp_region	nobgs	51+	152	70	82	0.539473684210526	0.459014413558248	0.638689075630252	85.5	63	n_markers
emmax_consensus_region	bgs	1	1546	180	1366	0.883570504527814	0.866618256281543	0.901163306729049	1	1	n_units
emmax_consensus_region	bgs	2	205	46	159	0.775609756097561	0.735445845004669	0.820177965073975	2	2	n_units
emmax_consensus_region	bgs	3-4	90	52	38	0.422222222222222	0.307608695652174	0.532626811594203	3	3	n_units
emmax_consensus_region	bgs	5-9	16	10	6	0.375	0.166666666666667	0.555555555555556	5	5.5	n_units
emmax_consensus_region	bgs	10+	1	1	0	0	0	0	11		n_units
emmax_consensus_region	nobgs	1	1295	169	1126	0.869498069498069	0.854909526975684	0.884844333719257	1	1	n_units
emmax_consensus_region	nobgs	2	195	70	125	0.641025641025641	0.572146539027982	0.707696629213483	2	2	n_units
emmax_consensus_region	nobgs	3-4	74	53	21	0.283783783783784	0.2	0.378787878787879	3	3	n_units
emmax_consensus_region	nobgs	5-9	22	17	5	0.227272727272727	0.125	0.357142857142857	6	5	n_units
emmax_consensus_region	nobgs	10+	6	6	0	0	0	0	10.5		n_units
emmax_simes_region	bgs	1	1812	194	1618	0.892935982339956	0.878483065097286	0.907857615410775	1	1	n_units
emmax_simes_region	bgs	2	258	55	203	0.786821705426357	0.735926776475557	0.835770700273723	2	2	n_units
emmax_simes_region	bgs	3-4	93	47	46	0.494623655913979	0.387096774193548	0.60496632996633	3	3	n_units
emmax_simes_region	bgs	5-9	18	10	8	0.444444444444444	0.285714285714286	0.6	5.5	5	n_units
emmax_simes_region	bgs	10+	0	0	0						n_units
emmax_simes_region	nobgs	1	1452	189	1263	0.869834710743802	0.846959807996961	0.889903948319096	1	1	n_units
emmax_simes_region	nobgs	2	210	82	128	0.60952380952381	0.546720541477984	0.676779701779702	2	2	n_units
emmax_simes_region	nobgs	3-4	67	40	27	0.402985074626866	0.302631578947368	0.535256911841419	3	3	n_units
emmax_simes_region	nobgs	5-9	22	19	3	0.136363636363636	0	0.214285714285714	7	5	n_units
emmax_simes_region	nobgs	10+	4	4	0	0	0	0	10.5		n_units
emmax_snp_region	bgs	1	3089	249	2840	0.919391388798964	0.911217941772516	0.927594449653273	1	1	n_units
emmax_snp_region	bgs	2	414	64	350	0.845410628019324	0.816753926701571	0.871740523968785	2	2	n_units
emmax_snp_region	bgs	3-4	175	56	119	0.68	0.60414402173913	0.755952380952381	3	3	n_units
emmax_snp_region	bgs	5-9	39	24	15	0.384615384615385	0.25	0.487209302325581	5.5	5	n_units
emmax_snp_region	bgs	10+	1	1	0	0	0	0	11		n_units
emmax_snp_region	nobgs	1	2437	245	2192	0.899466557242511	0.884393152302243	0.916240421036831	1	1	n_units
emmax_snp_region	nobgs	2	326	81	245	0.751533742331288	0.698166605864777	0.811447811447811	2	2	n_units
emmax_snp_region	nobgs	3-4	118	56	62	0.525423728813559	0.435882352941176	0.60626469017094	3	3	n_units
emmax_snp_region	nobgs	5-9	51	39	12	0.235294117647059	0.131129722024234	0.348837209302326	5	5	n_units
emmax_snp_region	nobgs	10+	8	8	0	0	0	0	10		n_units
lfmm_simes_region	bgs	1	3334	314	3020	0.905818836232753	0.894428099079725	0.916880103278701	1	1	n_units
lfmm_simes_region	bgs	2	510	88	422	0.827450980392157	0.807510279065699	0.844204383464006	2	2	n_units
lfmm_simes_region	bgs	3-4	182	62	120	0.659340659340659	0.568031547104581	0.759053747457362	3	3	n_units
lfmm_simes_region	bgs	5-9	39	23	16	0.41025641025641	0.263157894736842	0.575	6	5.5	n_units
lfmm_simes_region	bgs	10+	1	1	0	0	0	0	10		n_units
lfmm_simes_region	nobgs	1	3083	337	2746	0.890690885501135	0.877400126228236	0.903607347319032	1	1	n_units
lfmm_simes_region	nobgs	2	447	90	357	0.798657718120805	0.756316232127839	0.835472972972973	2	2	n_units
lfmm_simes_region	nobgs	3-4	172	67	105	0.61046511627907	0.533323353293413	0.685916666666667	3	3	n_units
lfmm_simes_region	nobgs	5-9	39	26	13	0.333333333333333	0.181818181818182	0.488372093023256	5	6	n_units
lfmm_simes_region	nobgs	10+	3	3	0	0	0	0	10		n_units
lfmm_snp_region	bgs	1	4766	371	4395	0.922156945027277	0.91080414541029	0.931202489966028	1	1	n_units
lfmm_snp_region	bgs	2	800	118	682	0.8525	0.830591525084025	0.871959242591052	2	2	n_units
lfmm_snp_region	bgs	3-4	302	78	224	0.741721854304636	0.694439448441247	0.784453784012088	3	3	n_units
lfmm_snp_region	bgs	5-9	74	38	36	0.486486486486487	0.370357686453577	0.633802816901409	5	5	n_units
lfmm_snp_region	bgs	10+	2	2	0	0	0	0	10.5		n_units
lfmm_snp_region	nobgs	1	4658	432	4226	0.90725633319021	0.894925710387414	0.920442843290761	1	1	n_units
lfmm_snp_region	nobgs	2	643	102	541	0.841368584758943	0.818181818181818	0.862385688073395	2	2	n_units
lfmm_snp_region	nobgs	3-4	245	83	162	0.661224489795918	0.601731601731602	0.716101694915254	3	3	n_units
lfmm_snp_region	nobgs	5-9	75	49	26	0.346666666666667	0.246376811594203	0.455716840946615	6	5	n_units
lfmm_snp_region	nobgs	10+	4	4	0	0	0	0	10.5		n_units
