method	va_share_threshold	TP	FP	n_detectable_qtn	n_recovered	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi
emmax_consensus_region	0.01	629	2821	3625	573	0.18231884057971	0.173601862861673	0.19200769555204	0.158068965517241	0.145037146859773	0.170308575613749
emmax_consensus_region	0.02	623	2827	3428	567	0.180579710144928	0.172083384127217	0.190335922888793	0.165402567094516	0.15200621067395	0.1781680032855
emmax_consensus_region	0.05	604	2846	3096	546	0.175072463768116	0.166566709164755	0.184170820066855	0.176356589147287	0.161829875866427	0.18965530911994
emmax_consensus_region	0.1	565	2885	2685	508	0.163768115942029	0.154411092999928	0.172454834994647	0.189199255121043	0.174363051554853	0.202733745624757
emmax_consensus_region	0.2	522	2928	2105	466	0.151304347826087	0.142083855371567	0.160023546967315	0.221377672209026	0.205854579792257	0.235105243325592
emmax_simes_region	0.01	667	3269	3625	615	0.169461382113821	0.160839738215366	0.178766624411834	0.169655172413793	0.157136996350153	0.181738968349277
emmax_simes_region	0.02	658	3278	3428	606	0.167174796747968	0.157766546740435	0.177072608680039	0.176779463243874	0.163028000680868	0.189858238536644
emmax_simes_region	0.05	640	3296	3096	587	0.16260162601626	0.153073100482416	0.172352104154167	0.189599483204134	0.175386661200465	0.20363654107766
emmax_simes_region	0.1	596	3340	2685	539	0.151422764227642	0.14339151684022	0.159941112208962	0.200744878957169	0.185926390781301	0.216017292301829
emmax_simes_region	0.2	556	3380	2105	494	0.141260162601626	0.132945938261159	0.150178100707528	0.234679334916865	0.220532137898491	0.247575502476246
emmax_snp_region	0.01	861	5797	3625	754	0.129318113547612	0.122728508401868	0.136086558975922	0.208	0.194434359634461	0.221575978186857
emmax_snp_region	0.02	847	5811	3428	742	0.127215379993992	0.121252714098523	0.13351972823011	0.216452742123687	0.201662525678752	0.230839159594617
emmax_snp_region	0.05	823	5835	3096	713	0.123610693902073	0.116982792453927	0.130206897770819	0.230297157622739	0.215391780363575	0.244710379788914
emmax_snp_region	0.1	762	5896	2685	653	0.114448783418444	0.107362095321364	0.122439485596015	0.243202979515829	0.227924209993889	0.258497037193799
emmax_snp_region	0.2	703	5955	2105	593	0.105587263442475	0.0980409477866061	0.114547570682987	0.281710213776722	0.267144498249728	0.295923380613691
lfmm_simes_region	0.01	1065	6745	3625	977	0.136363636363636	0.129813235883976	0.142896554304169	0.26951724137931	0.254263120778763	0.284365649550381
lfmm_simes_region	0.02	1045	6765	3428	958	0.133802816901408	0.127868738313005	0.139772433410913	0.279463243873979	0.263081480609038	0.295083162418905
lfmm_simes_region	0.05	1011	6799	3096	915	0.129449423815621	0.124219451012386	0.134762696506722	0.295542635658915	0.279837791550919	0.310784757628795
lfmm_simes_region	0.1	939	6871	2685	836	0.120230473751601	0.114496014651996	0.126382366900695	0.311359404096834	0.293212369341561	0.329297121124896
lfmm_simes_region	0.2	851	6959	2105	747	0.108962868117798	0.103579222090827	0.114750530413778	0.354869358669834	0.339283590458067	0.370849013953716
lfmm_snp_region	0.01	1349	10220	3625	1136	0.116604719509033	0.112094746266468	0.120948835918378	0.313379310344828	0.30070034647745	0.326695218722214
lfmm_snp_region	0.02	1328	10241	3428	1115	0.114789523727202	0.110647193973784	0.118501186478122	0.325262543757293	0.311237560658066	0.339171945038074
lfmm_snp_region	0.05	1277	10292	3096	1057	0.110381191114184	0.106288367341809	0.114251369710578	0.34140826873385	0.329548688235538	0.354829311460022
lfmm_snp_region	0.1	1185	10384	2685	965	0.102428904831878	0.0977307700763067	0.106687671877042	0.359404096834264	0.345678560288593	0.375277495475339
lfmm_snp_region	0.2	1064	10505	2105	853	0.0919699196127582	0.0861228962593486	0.0975761826403915	0.405225653206651	0.391177693325117	0.420412514018494
