cell,tag,engine,l_min,n_true,n_markers,n_Cgt0,n_BH05,PR_AUC_C,PR_AUC_alpha
V0.5_c1_env1,bgs,emmax,1,22,230475,3306,1657,0.257731692516048,0.290473584699848
V0.5_c1_env1,bgs,emmax,3,22,230475,3306,1657,0.282242316872475,0.343237447423852
V0.5_c1_env1,bgs,lfmm,1,22,230475,3373,1035,0.28579100823419,0.343196824617087
V0.5_c1_env1,bgs,lfmm,3,22,230475,3373,1035,0.328118727429776,0.336882768993255
V0.5_c1_env1,nobgs,emmax,1,19,291388,2320,732,0.591775626221013,0.667010537798752
V0.5_c1_env1,nobgs,emmax,3,19,291388,2320,732,0.647094005066141,0.67822966507177
V0.5_c1_env1,nobgs,lfmm,1,19,291388,2782,695,0.60927242542534,0.717026164048325
V0.5_c1_env1,nobgs,lfmm,3,19,291388,2782,695,0.695112781954887,0.713349282296651
V0.5_c1_env2,bgs,emmax,1,20,229687,1267,386,0.542629156816144,0.464442866571328
V0.5_c1_env2,bgs,emmax,3,20,229687,1267,386,0.492919775260201,0.43123868855203
V0.5_c1_env2,bgs,lfmm,1,20,229687,1610,437,0.681894841269841,0.570974569902838
V0.5_c1_env2,bgs,lfmm,3,20,229687,1610,437,0.581708592333592,0.555602364109076
V0.5_c1_env2,nobgs,emmax,1,20,298741,2094,815,0.522808631316083,0.467590802812879
V0.5_c1_env2,nobgs,emmax,3,20,298741,2094,815,0.523611111111111,0.526588255049302
V0.5_c1_env2,nobgs,lfmm,1,20,298741,1711,836,0.594166666666667,0.506586235733963
V0.5_c1_env2,nobgs,lfmm,3,20,298741,1711,836,0.615633116883117,0.574102474323063
V0.5_c1_env3,bgs,emmax,1,19,228643,1069,345,0.711046757604845,0.659037286093494
V0.5_c1_env3,bgs,emmax,3,19,228643,1069,345,0.742595963977543,0.731765280392776
V0.5_c1_env3,bgs,lfmm,1,19,228643,1424,534,0.738552969046175,0.739570433436532
V0.5_c1_env3,bgs,lfmm,3,19,228643,1424,534,0.728869947636481,0.727169312124719
V0.5_c1_env3,nobgs,emmax,1,21,294609,6305,2467,0.537167735513853,0.537788590310087
V0.5_c1_env3,nobgs,emmax,3,21,294609,6305,2467,0.588552287157199,0.605477348535441
V0.5_c1_env3,nobgs,lfmm,1,21,294609,3760,1160,0.470930761193366,0.625712045061098
V0.5_c1_env3,nobgs,lfmm,3,21,294609,3760,1160,0.612943952419636,0.617908504838093
V0.5_c1_env4,bgs,emmax,1,15,230441,497,152,0.572037037037037,0.642045454545455
V0.5_c1_env4,bgs,emmax,3,15,230441,497,152,0.508809523809524,0.533472222222222
V0.5_c1_env4,bgs,lfmm,1,15,230441,536,180,0.713010303536619,0.775925925925926
V0.5_c1_env4,bgs,lfmm,3,15,230441,536,180,0.589265364265364,0.643068783068783
V0.5_c1_env4,nobgs,emmax,1,19,298132,2711,1135,0.417193833453675,0.632330247506205
V0.5_c1_env4,nobgs,emmax,3,19,298132,2711,1135,0.493908684755367,0.646778523012076
V0.5_c1_env4,nobgs,lfmm,1,19,298132,2940,1257,0.54796888053467,0.786711778117508
V0.5_c1_env4,nobgs,lfmm,3,19,298132,2940,1257,0.585250787224472,0.780948308657287
V0.5_c1_env5,bgs,emmax,1,14,223170,1075,344,0.431907588210109,0.702028203625948
