cell,tag,engine,l_min,n_true,n_markers,n_Cgt0,n_BH05,PR_AUC_C,PR_AUC_alpha
V2_c1_env1,bgs,emmax,1,12,231486,544,317,0.412667698658411,0.209917592102944
V2_c1_env1,bgs,emmax,3,12,231486,544,317,0.306818181818182,0.368055555555556
V2_c1_env1,bgs,lfmm,1,12,231486,611,340,0.541914682539683,0.354245283018868
V2_c1_env1,bgs,lfmm,3,12,231486,611,340,0.564814814814815,0.604166666666667
V2_c1_env1,nobgs,emmax,1,10,299673,1896,515,0.432675438596491,0.341786719654397
V2_c1_env1,nobgs,emmax,3,10,299673,1896,515,0.377211538461538,0.348333333333333
V2_c1_env1,nobgs,lfmm,1,10,299673,801,114,0.424761904761905,0.484090909090909
V2_c1_env1,nobgs,lfmm,3,10,299673,801,114,0.407380952380952,0.446825396825397
V2_c1_env2,bgs,emmax,1,13,233274,423,250,0.394230769230769,0.367762282826385
V2_c1_env2,bgs,emmax,3,13,233274,423,250,0.28021978021978,0.213055824855043
V2_c1_env2,bgs,lfmm,1,13,233274,937,405,0.408304414883362,0.500993974500001
V2_c1_env2,bgs,lfmm,3,13,233274,937,405,0.343589743589744,0.298289629163198
V2_c1_env2,nobgs,emmax,1,11,304684,826,275,0.529524996280316,0.215201630471002
V2_c1_env2,nobgs,emmax,3,11,304684,826,275,0.495571095571096,0.253488574917146
V2_c1_env2,nobgs,lfmm,1,11,304684,1400,336,0.654748522926245,0.538558714743105
V2_c1_env2,nobgs,lfmm,3,11,304684,1400,336,0.7549669628617,0.640442667380466
V2_c1_env3,bgs,emmax,1,14,235796,339,84,0.298547880690738,0.312082087474545
V2_c1_env3,bgs,emmax,3,14,235796,339,84,0.278571428571429,0.387445887445888
V2_c1_env3,bgs,lfmm,1,14,235796,1440,571,0.405311949954807,0.410985968827584
V2_c1_env3,bgs,lfmm,3,14,235796,1440,571,0.449525012025012,0.394013605442177
V2_c1_env3,nobgs,emmax,1,16,298956,2192,1042,0.481263665942915,0.566964061265532
V2_c1_env3,nobgs,emmax,3,16,298956,2192,1042,0.529538690476191,0.557450305270427
V2_c1_env3,nobgs,lfmm,1,16,298956,3056,1028,0.658699971421591,0.596058153534706
V2_c1_env3,nobgs,lfmm,3,16,298956,3056,1028,0.693751466164376,0.589448556584496
V2_c1_env4,bgs,emmax,1,10,234231,285,53,0.617559523809524,0.716410488245931
V2_c1_env4,bgs,emmax,3,10,234231,285,53,0.7,0.68125
V2_c1_env4,bgs,lfmm,1,10,234231,424,69,0.736825396825397,0.759577922077922
V2_c1_env4,bgs,lfmm,3,10,234231,424,69,0.672222222222222,0.670714285714286
V2_c1_env4,nobgs,emmax,1,10,304694,1042,427,0.489591291061879,0.669843842573
V2_c1_env4,nobgs,emmax,3,10,304694,1042,427,0.674166666666667,0.695183982683983
