cell,tag,engine,l_min,n_true,n_markers,n_Cgt0,n_BH05,PR_AUC_C,PR_AUC_alpha
V0.5_c2_env1,bgs,emmax,1,33,309524,2946,1236,0.0574939716377706,0.0351262958185154
V0.5_c2_env1,bgs,emmax,3,33,309524,2946,1236,0.0603038881601191,0.0588956658723795
V0.5_c2_env1,bgs,lfmm,1,33,309524,4717,2985,0.0516434939302733,0.0358259176510302
V0.5_c2_env1,bgs,lfmm,3,33,309524,4717,2985,0.061919721177003,0.0417287090832322
V0.5_c2_env1,nobgs,emmax,1,34,371421,1652,279,0.0435157658936152,0.0230964977568614
V0.5_c2_env1,nobgs,emmax,3,34,371421,1652,279,0.0278526595584266,0.0190473720096813
V0.5_c2_env1,nobgs,lfmm,1,34,371421,5174,2720,0.0568668948262413,0.0266731772919263
V0.5_c2_env1,nobgs,lfmm,3,34,371421,5174,2720,0.0479941962064223,0.0292977576464795
V0.5_c2_env2,bgs,emmax,1,35,316016,4422,2685,0.0225575897056435,0.0367310338683545
V0.5_c2_env2,bgs,emmax,3,35,316016,4422,2685,0.0309251257194291,0.0493303001336372
V0.5_c2_env2,bgs,lfmm,1,35,316016,15249,12090,0.016423817196422,0.0204233507937343
V0.5_c2_env2,bgs,lfmm,3,35,316016,15249,12090,0.0174104868688944,0.02488306101071
V0.5_c2_env2,nobgs,emmax,1,38,370792,5584,2957,0.0164443308417426,0.0119105460206596
V0.5_c2_env2,nobgs,emmax,3,38,370792,5584,2957,0.00720199103230121,0.0119983321640474
V0.5_c2_env2,nobgs,lfmm,1,38,370792,18568,14032,0.0158460727813775,0.0158544788663484
V0.5_c2_env2,nobgs,lfmm,3,38,370792,18568,14032,0.0415493969397694,0.0172481818824416
V0.5_c2_env3,bgs,emmax,1,38,312201,4433,2478,0.00922315886370968,0.0354287987755534
V0.5_c2_env3,bgs,emmax,3,38,312201,4433,2478,0.012525963238725,0.0223814519139613
V0.5_c2_env3,bgs,lfmm,1,38,312201,8161,5368,0.0202319377550681,0.0223833620509499
V0.5_c2_env3,bgs,lfmm,3,38,312201,8161,5368,0.018728416361207,0.0276714691298895
V0.5_c2_env3,nobgs,emmax,1,35,373584,2389,1022,0.0502786103711406,0.0235088645132739
V0.5_c2_env3,nobgs,emmax,3,35,373584,2389,1022,0.0315386317128477,0.0289716085915837
V0.5_c2_env3,nobgs,lfmm,1,35,373584,6720,3196,0.0540478606874673,0.0382799145959175
V0.5_c2_env3,nobgs,lfmm,3,35,373584,6720,3196,0.0727271396173929,0.0406663665501002
V0.5_c2_env4,bgs,emmax,1,37,314074,3411,1559,0.0188859537387791,0.0157219427800461
V0.5_c2_env4,bgs,emmax,3,37,314074,3411,1559,0.0175670064895563,0.0190608082961303
V0.5_c2_env4,bgs,lfmm,1,37,314074,5240,3836,0.0431151333831956,0.0273736827464828
V0.5_c2_env4,bgs,lfmm,3,37,314074,5240,3836,0.0256983349765785,0.0404020022857371
