cell,tag,engine,l_min,n_true,n_markers,n_Cgt0,n_BH05,recall_cap,max_recall_C,max_recall_alpha,PR_AUC_C,PR_AUC_alpha,PR_AUC_C_cs,PR_AUC_alpha_cs
V0.5_c1_env1,bgs,emmax,1,22,230475,3306,1657,0.681818181818182,0.681818181818182,0.727272727272727,0.257731692516048,0.290473584699848,0.257731692516048,0.286059572785836
V0.5_c1_env1,bgs,emmax,3,22,230475,3306,1657,0.590909090909091,0.590909090909091,0.636363636363636,0.282242316872475,0.343237447423852,0.282242316872475,0.333255322099716
V0.5_c1_env1,bgs,lfmm,1,22,230475,3373,1035,0.590909090909091,0.590909090909091,0.636363636363636,0.28579100823419,0.343196824617087,0.28579100823419,0.339005698698212
V0.5_c1_env1,bgs,lfmm,3,22,230475,3373,1035,0.545454545454545,0.545454545454545,0.545454545454545,0.328118727429776,0.336882768993255,0.328118727429776,0.336882768993255
V0.5_c1_env1,nobgs,emmax,1,19,291388,2320,732,0.789473684210526,0.789473684210526,0.789473684210526,0.591775626221013,0.667010537798752,0.591775626221013,0.667010537798752
V0.5_c1_env1,nobgs,emmax,3,19,291388,2320,732,0.68421052631579,0.68421052631579,0.736842105263158,0.647094005066141,0.67822966507177,0.647094005066141,0.666666666666667
V0.5_c1_env1,nobgs,lfmm,1,19,291388,2782,695,0.789473684210526,0.789473684210526,0.789473684210526,0.60927242542534,0.717026164048325,0.60927242542534,0.717026164048325
V0.5_c1_env1,nobgs,lfmm,3,19,291388,2782,695,0.789473684210526,0.789473684210526,0.789473684210526,0.695112781954887,0.713349282296651,0.695112781954887,0.713349282296651
V0.5_c1_env2,bgs,emmax,1,20,229687,1267,386,0.7,0.7,0.7,0.542629156816144,0.464442866571328,0.542629156816144,0.464442866571328
V0.5_c1_env2,bgs,emmax,3,20,229687,1267,386,0.6,0.6,0.65,0.492919775260201,0.43123868855203,0.492919775260201,0.422361359570662
V0.5_c1_env2,bgs,lfmm,1,20,229687,1610,437,0.75,0.75,0.75,0.681894841269841,0.570974569902838,0.681894841269841,0.570974569902838
V0.5_c1_env2,bgs,lfmm,3,20,229687,1610,437,0.7,0.7,0.75,0.581708592333592,0.555602364109076,0.581708592333592,0.543626126126126
V0.5_c1_env2,nobgs,emmax,1,20,298741,2094,815,0.7,0.7,0.75,0.522808631316083,0.467590802812879,0.522808631316083,0.464515257252326
V0.5_c1_env2,nobgs,emmax,3,20,298741,2094,815,0.6,0.6,0.7,0.523611111111111,0.526588255049302,0.523611111111111,0.507737241237959
V0.5_c1_env2,nobgs,lfmm,1,20,298741,1711,836,0.65,0.65,0.7,0.594166666666667,0.506586235733963,0.594166666666667,0.497738095238095
V0.5_c1_env2,nobgs,lfmm,3,20,298741,1711,836,0.65,0.65,0.7,0.615633116883117,0.574102474323063,0.615633116883117,0.558501984126984
V0.5_c1_env3,bgs,emmax,1,19,228643,1069,345,0.894736842105263,0.894736842105263,0.894736842105263,0.711046757604845,0.659037286093494,0.711046757604845,0.659037286093494
V0.5_c1_env3,bgs,emmax,3,19,228643,1069,345,0.894736842105263,0.894736842105263,0.894736842105263,0.742595963977543,0.731765280392776,0.742595963977543,0.731765280392776
V0.5_c1_env3,bgs,lfmm,1,19,228643,1424,534,0.894736842105263,0.894736842105263,0.894736842105263,0.738552969046175,0.739570433436532,0.738552969046175,0.739570433436532
V0.5_c1_env3,bgs,lfmm,3,19,228643,1424,534,0.894736842105263,0.894736842105263,0.894736842105263,0.728869947636481,0.727169312124719,0.728869947636481,0.727169312124719
V0.5_c1_env3,nobgs,emmax,1,21,294609,6305,2467,0.761904761904762,0.761904761904762,0.761904761904762,0.537167735513853,0.537788590310087,0.537167735513853,0.537788590310087
V0.5_c1_env3,nobgs,emmax,3,21,294609,6305,2467,0.714285714285714,0.761904761904762,0.714285714285714,0.588552287157199,0.605477348535441,0.577016506249916,0.605477348535441
V0.5_c1_env3,nobgs,lfmm,1,21,294609,3760,1160,0.80952380952381,0.80952380952381,0.80952380952381,0.470930761193366,0.625712045061098,0.470930761193366,0.625712045061098
V0.5_c1_env3,nobgs,lfmm,3,21,294609,3760,1160,0.80952380952381,0.80952380952381,0.80952380952381,0.612943952419636,0.617908504838093,0.612943952419636,0.617908504838093
V0.5_c1_env4,bgs,emmax,1,15,230441,497,152,0.666666666666667,0.666666666666667,0.666666666666667,0.572037037037037,0.642045454545455,0.572037037037037,0.642045454545455
V0.5_c1_env4,bgs,emmax,3,15,230441,497,152,0.533333333333333,0.533333333333333,0.6,0.508809523809524,0.533472222222222,0.508809523809524,0.509444444444445
V0.5_c1_env4,bgs,lfmm,1,15,230441,536,180,0.8,0.8,0.8,0.713010303536619,0.775925925925926,0.713010303536619,0.775925925925926
V0.5_c1_env4,bgs,lfmm,3,15,230441,536,180,0.666666666666667,0.666666666666667,0.666666666666667,0.589265364265364,0.643068783068783,0.589265364265364,0.643068783068783
V0.5_c1_env4,nobgs,emmax,1,19,298132,2711,1135,0.842105263157895,0.842105263157895,0.894736842105263,0.417193833453675,0.632330247506205,0.417193833453675,0.630238329832785
V0.5_c1_env4,nobgs,emmax,3,19,298132,2711,1135,0.789473684210526,0.789473684210526,0.842105263157895,0.493908684755367,0.646778523012076,0.493908684755367,0.638104494190021
V0.5_c1_env4,nobgs,lfmm,1,19,298132,2940,1257,0.947368421052632,0.947368421052632,0.947368421052632,0.54796888053467,0.786711778117508,0.54796888053467,0.786711778117508
V0.5_c1_env4,nobgs,lfmm,3,19,298132,2940,1257,0.894736842105263,0.894736842105263,0.894736842105263,0.585250787224472,0.780948308657287,0.585250787224472,0.780948308657287
V0.5_c1_env5,bgs,emmax,1,14,223170,1075,344,0.785714285714286,0.785714285714286,0.785714285714286,0.431907588210109,0.702028203625948,0.431907588210109,0.702028203625948
V0.5_c1_env5,bgs,emmax,3,14,223170,1075,344,0.785714285714286,0.785714285714286,0.785714285714286,0.404315525744097,0.714437441643324,0.404315525744097,0.714437441643324
V0.5_c1_env5,bgs,lfmm,1,14,223170,1222,559,0.785714285714286,0.785714285714286,0.857142857142857,0.520251177394035,0.819481530930129,0.520251177394035,0.782738095238095
V0.5_c1_env5,bgs,lfmm,3,14,223170,1222,559,0.785714285714286,0.785714285714286,0.785714285714286,0.545494981209267,0.785714285714286,0.545494981209267,0.785714285714286
V0.5_c1_env5,nobgs,emmax,1,17,294251,3765,1571,0.764705882352941,0.764705882352941,0.764705882352941,0.383899268458092,0.523350845260748,0.383899268458092,0.523350845260748
V0.5_c1_env5,nobgs,emmax,3,17,294251,3765,1571,0.764705882352941,0.764705882352941,0.764705882352941,0.393361540420364,0.531530730651539,0.393361540420364,0.531530730651539
V0.5_c1_env5,nobgs,lfmm,1,17,294251,787,294,0.647058823529412,0.647058823529412,0.647058823529412,0.403750089779502,0.542429884000903,0.403750089779502,0.542429884000903
V0.5_c1_env5,nobgs,lfmm,3,17,294251,787,294,0.588235294117647,0.588235294117647,0.647058823529412,0.409698879551821,0.516687254777561,0.409698879551821,0.493265324147677
V0.5_c1_env6,bgs,emmax,1,17,228467,499,260,0.529411764705882,0.529411764705882,0.588235294117647,0.366946778711485,0.47119097053937,0.366946778711485,0.460761775974758
V0.5_c1_env6,bgs,emmax,3,17,228467,499,260,0.470588235294118,0.470588235294118,0.529411764705882,0.421483745013157,0.461974349488223,0.421483745013157,0.443790849673203
V0.5_c1_env6,bgs,lfmm,1,17,228467,886,396,0.647058823529412,0.647058823529412,0.647058823529412,0.398391431942535,0.59687235841082,0.398391431942535,0.59687235841082
V0.5_c1_env6,bgs,lfmm,3,17,228467,886,396,0.529411764705882,0.529411764705882,0.529411764705882,0.460137901314372,0.524064171122995,0.460137901314372,0.524064171122995
V0.5_c1_env6,nobgs,emmax,1,16,297429,4262,2960,0.5625,0.5625,0.5625,0.552884615384615,0.267762077861163,0.552884615384615,0.267762077861163
V0.5_c1_env6,nobgs,emmax,3,16,297429,4262,2960,0.5625,0.5625,0.5625,0.493147840531561,0.352705479452055,0.493147840531561,0.352705479452055
V0.5_c1_env6,nobgs,lfmm,1,16,297429,4026,2253,0.5625,0.5625,0.5625,0.552884615384615,0.397194361615614,0.552884615384615,0.397194361615614
V0.5_c1_env6,nobgs,lfmm,3,16,297429,4026,2253,0.5625,0.5625,0.5625,0.530697601010101,0.455093099671413,0.530697601010101,0.455093099671413
V0.5_c1_env7,bgs,emmax,1,19,228676,815,264,0.789473684210526,0.789473684210526,0.789473684210526,0.745743034055728,0.660252679403279,0.745743034055728,0.660252679403279
V0.5_c1_env7,bgs,emmax,3,19,228676,815,264,0.68421052631579,0.68421052631579,0.736842105263158,0.640250977093082,0.618425069082964,0.640250977093082,0.5971218109376
V0.5_c1_env7,bgs,lfmm,1,19,228676,850,282,0.789473684210526,0.789473684210526,0.789473684210526,0.716971464228286,0.680100669883952,0.716971464228286,0.680100669883952
V0.5_c1_env7,bgs,lfmm,3,19,228676,850,282,0.736842105263158,0.736842105263158,0.736842105263158,0.629190125950084,0.580703429697238,0.629190125950084,0.580703429697238
V0.5_c1_env7,nobgs,emmax,1,17,288782,4346,1724,0.588235294117647,0.588235294117647,0.647058823529412,0.358092552089329,0.407941250227626,0.358092552089329,0.406451554980967
V0.5_c1_env7,nobgs,emmax,3,17,288782,4346,1724,0.588235294117647,0.588235294117647,0.647058823529412,0.470517804823079,0.433839533884914,0.470517804823079,0.428188334157192
V0.5_c1_env7,nobgs,lfmm,1,17,288782,2437,885,0.588235294117647,0.588235294117647,0.647058823529412,0.407602105698992,0.432274992919553,0.407602105698992,0.430179217490582
V0.5_c1_env7,nobgs,lfmm,3,17,288782,2437,885,0.588235294117647,0.588235294117647,0.588235294117647,0.493746857717446,0.520740081228428,0.493746857717446,0.520740081228428
V0.5_c1_env8,bgs,emmax,1,20,230567,1599,592,0.7,0.75,0.7,0.495110997692908,0.485946442476345,0.4559335839599,0.485946442476345
V0.5_c1_env8,bgs,emmax,3,20,230567,1599,592,0.7,0.7,0.7,0.465880610617453,0.480253251152641,0.465880610617453,0.480253251152641
V0.5_c1_env8,bgs,lfmm,1,20,230567,2400,967,0.7,0.7,0.7,0.513958333333333,0.556938111858081,0.513958333333333,0.556938111858081
V0.5_c1_env8,bgs,lfmm,3,20,230567,2400,967,0.7,0.7,0.7,0.496063311688312,0.544536889040282,0.496063311688312,0.544536889040282
V0.5_c1_env8,nobgs,emmax,1,23,297425,5028,2857,0.652173913043478,0.652173913043478,0.652173913043478,0.369685157590541,0.450475516123713,0.369685157590541,0.450475516123713
V0.5_c1_env8,nobgs,emmax,3,23,297425,5028,2857,0.608695652173913,0.608695652173913,0.608695652173913,0.410920204709025,0.521622761160673,0.410920204709025,0.521622761160673
V0.5_c1_env8,nobgs,lfmm,1,23,297425,3433,1377,0.695652173913044,0.695652173913044,0.695652173913044,0.41279541933294,0.480894761983864,0.41279541933294,0.480894761983864
V0.5_c1_env8,nobgs,lfmm,3,23,297425,3433,1377,0.695652173913044,0.695652173913044,0.695652173913044,0.534250532076619,0.504342281746665,0.534250532076619,0.504342281746665
V0.5_c1_env9,bgs,emmax,1,20,231231,416,71,0.5,0.5,0.5,0.445805860805861,0.38750815394651,0.445805860805861,0.38750815394651
V0.5_c1_env9,bgs,emmax,3,20,231231,416,71,0.45,0.45,0.45,0.419286881419234,0.338095238095238,0.419286881419234,0.338095238095238
V0.5_c1_env9,bgs,lfmm,1,20,231231,370,75,0.55,0.55,0.6,0.446311858076564,0.355312110834371,0.446311858076564,0.332272727272727
V0.5_c1_env9,bgs,lfmm,3,20,231231,370,75,0.45,0.45,0.45,0.398629148629149,0.366018907563025,0.398629148629149,0.366018907563025
V0.5_c1_env9,nobgs,emmax,1,19,295558,3658,2267,0.631578947368421,0.631578947368421,0.631578947368421,0.513040935672515,0.487441897867415,0.513040935672515,0.487441897867415
V0.5_c1_env9,nobgs,emmax,3,19,295558,3658,2267,0.631578947368421,0.631578947368421,0.631578947368421,0.504318181818182,0.501980199903359,0.504318181818182,0.501980199903359
V0.5_c1_env9,nobgs,lfmm,1,19,295558,1946,901,0.526315789473684,0.526315789473684,0.526315789473684,0.48452380952381,0.482118339326577,0.48452380952381,0.482118339326577
V0.5_c1_env9,nobgs,lfmm,3,19,295558,1946,901,0.526315789473684,0.526315789473684,0.526315789473684,0.526315789473684,0.488181237407244,0.526315789473684,0.488181237407244
V0.5_c1_env10,bgs,emmax,1,17,231847,581,303,0.588235294117647,0.588235294117647,0.705882352941177,0.476508785332315,0.500667184796867,0.476508785332315,0.490432839802588
V0.5_c1_env10,bgs,emmax,3,17,231847,581,303,0.588235294117647,0.588235294117647,0.588235294117647,0.564253393665158,0.554575163398693,0.564253393665158,0.554575163398693
