cell,tag,engine,l_min,n_true,n_markers,n_Cgt0,n_BH05,recall_cap,max_recall_C,max_recall_alpha,PR_AUC_C,PR_AUC_alpha,PR_AUC_C_cs,PR_AUC_alpha_cs
V0.5_c1_env1,bgs,emmax,1,22,230475,3306,1657,0.681818181818182,0.681818181818182,0.727272727272727,0.130057407017302,0.255892019394429,0.130057407017302,0.252052455858982
V0.5_c1_env1,bgs,emmax,3,22,230475,3306,1657,0.590909090909091,0.590909090909091,0.590909090909091,0.158736824780108,0.286461084889909,0.158736824780108,0.286461084889909
V0.5_c1_env1,bgs,lfmm,1,22,230475,3373,1035,0.636363636363636,0.636363636363636,0.681818181818182,0.2157635780429,0.220075158860319,0.2157635780429,0.217151304312081
V0.5_c1_env1,bgs,lfmm,3,22,230475,3373,1035,0.590909090909091,0.590909090909091,0.590909090909091,0.272470777635951,0.271107547958721,0.272470777635951,0.271107547958721
V0.5_c1_env1,nobgs,emmax,1,19,291388,2320,732,0.789473684210526,0.789473684210526,0.789473684210526,0.262739495598949,0.57325331385737,0.262739495598949,0.57325331385737
V0.5_c1_env1,nobgs,emmax,3,19,291388,2320,732,0.736842105263158,0.736842105263158,0.789473684210526,0.32630186577555,0.613009033161527,0.32630186577555,0.593485879200165
V0.5_c1_env1,nobgs,lfmm,1,19,291388,2782,695,0.842105263157895,0.842105263157895,0.842105263157895,0.299228545364378,0.610934056302823,0.299228545364378,0.610934056302823
V0.5_c1_env1,nobgs,lfmm,3,19,291388,2782,695,0.842105263157895,0.842105263157895,0.842105263157895,0.386609802808909,0.680783253842759,0.386609802808909,0.680783253842759
V0.5_c1_env2,bgs,emmax,1,20,229687,1267,386,0.65,0.65,0.75,0.382021359779512,0.32531950805306,0.382021359779512,0.318569489924732
V0.5_c1_env2,bgs,emmax,3,20,229687,1267,386,0.55,0.55,0.65,0.421309523809524,0.387118113505844,0.421309523809524,0.374150076976164
V0.5_c1_env2,bgs,lfmm,1,20,229687,1610,437,0.75,0.75,0.8,0.432837579087579,0.447677208075637,0.432837579087579,0.441131726729153
V0.5_c1_env2,bgs,lfmm,3,20,229687,1610,437,0.75,0.75,0.75,0.512026888341544,0.504020602114628,0.512026888341544,0.504020602114628
V0.5_c1_env2,nobgs,emmax,1,20,298741,2094,815,0.65,0.65,0.65,0.311843773873186,0.295944316715593,0.311843773873186,0.295944316715593
V0.5_c1_env2,nobgs,emmax,3,20,298741,2094,815,0.6,0.6,0.6,0.414052075375605,0.458157894736842,0.414052075375605,0.458157894736842
V0.5_c1_env2,nobgs,lfmm,1,20,298741,1711,836,0.6,0.65,0.6,0.301481625258799,0.367558590834453,0.272961956521739,0.367558590834453
V0.5_c1_env2,nobgs,lfmm,3,20,298741,1711,836,0.6,0.65,0.6,0.482436211664153,0.497956296154826,0.446733597285068,0.497956296154826
V0.5_c1_env3,bgs,emmax,1,19,228643,1069,345,0.894736842105263,0.894736842105263,0.894736842105263,0.597958442169783,0.643050263565439,0.597958442169783,0.643050263565439
V0.5_c1_env3,bgs,emmax,3,19,228643,1069,345,0.842105263157895,0.842105263157895,0.842105263157895,0.576992786845162,0.655218784351229,0.576992786845162,0.655218784351229
V0.5_c1_env3,bgs,lfmm,1,19,228643,1424,534,0.894736842105263,0.894736842105263,0.894736842105263,0.492506043513296,0.701625839413205,0.492506043513296,0.701625839413205
V0.5_c1_env3,bgs,lfmm,3,19,228643,1424,534,0.894736842105263,0.894736842105263,0.894736842105263,0.615339964744397,0.676975292397787,0.615339964744397,0.676975292397787
V0.5_c1_env3,nobgs,emmax,1,21,294609,6305,2467,0.666666666666667,0.714285714285714,0.666666666666667,0.274658932529945,0.437053986318692,0.270319858712716,0.437053986318692
V0.5_c1_env3,nobgs,emmax,3,21,294609,6305,2467,0.666666666666667,0.714285714285714,0.666666666666667,0.334549194552213,0.47961482961483,0.321793679122901,0.47961482961483
V0.5_c1_env3,nobgs,lfmm,1,21,294609,3760,1160,0.761904761904762,0.761904761904762,0.761904761904762,0.220300384246203,0.534803923043706,0.220300384246203,0.534803923043706
V0.5_c1_env3,nobgs,lfmm,3,21,294609,3760,1160,0.761904761904762,0.761904761904762,0.761904761904762,0.356726959962254,0.579251693093257,0.356726959962254,0.579251693093257
V0.5_c1_env4,bgs,emmax,1,15,230441,497,152,0.666666666666667,0.666666666666667,0.733333333333333,0.38543956043956,0.651788617886179,0.38543956043956,0.633333333333333
V0.5_c1_env4,bgs,emmax,3,15,230441,497,152,0.533333333333333,0.533333333333333,0.666666666666667,0.343687423687424,0.552058823529412,0.343687423687424,0.507352941176471
V0.5_c1_env4,bgs,lfmm,1,15,230441,536,180,0.8,0.8,0.8,0.683341465297987,0.706439393939394,0.683341465297987,0.706439393939394
