cell,tag,env,engine,l_min,n_qtn,n_rho_all,n_rho_high,a_PR,Call_PR,Call_n,Chigh_PR,Chigh_n,Call_TP,Chigh_TP
V0.5_c1,bgs,1,emmax,2,22,20,11,0.0909090909090909,0.0763888888888889,72,0.0797101449275362,69,11,11
V0.5_c1,bgs,1,emmax,3,22,20,11,0.0494071146245059,0.134146341463415,41,0.119565217391304,46,11,11
V0.5_c1,bgs,1,emmax,5,22,20,11,0.0710227272727273,0.162337662337662,28,0.151515151515152,30,10,10
V0.5_c1,bgs,1,emmax,10,22,20,11,0.0946969696969697,0.184090909090909,20,0.175324675324675,21,9,9
V0.5_c1,bgs,1,lfmm,2,22,20,11,0.096969696969697,0.0705128205128205,78,0.0654761904761905,84,11,11
V0.5_c1,bgs,1,lfmm,3,22,20,11,0.132231404958678,0.0932203389830508,59,0.0859375,64,11,11
V0.5_c1,bgs,1,lfmm,5,22,20,11,0.181818181818182,0.116550116550117,39,0.110864745011086,41,10,10
V0.5_c1,bgs,1,lfmm,10,22,20,11,0.202479338842975,0.175324675324675,21,0.153409090909091,24,9,9
V0.5_c1,bgs,2,emmax,2,20,20,11,0.192307692307692,0.131521739130435,46,0.114150943396226,53,11,11
V0.5_c1,bgs,2,emmax,3,20,20,11,0.192857142857143,0.15921052631579,38,0.15125,40,11,11
V0.5_c1,bgs,2,emmax,5,20,20,11,0.27,0.155769230769231,26,0.178571428571429,28,9,10
V0.5_c1,bgs,2,emmax,10,20,20,11,0.32,0.3375,12,0.253125,16,9,9
V0.5_c1,bgs,2,lfmm,2,20,20,11,0.228378378378378,0.16304347826087,69,0.144230769230769,78,15,15
V0.5_c1,bgs,2,lfmm,3,20,20,11,0.232692307692308,0.196,50,0.171929824561404,57,14,14
V0.5_c1,bgs,2,lfmm,5,20,20,11,0.25,0.196511627906977,43,0.183695652173913,46,13,13
V0.5_c1,bgs,2,lfmm,10,20,20,11,0.246153846153846,0.3025,20,0.275,22,11,11
V0.5_c1,bgs,3,emmax,2,19,20,11,0.494152046783626,0.370988446726573,41,0.338011695906433,45,17,17
