cell,tag,env,engine,l_min,n_qtn,n_markers,alpha_n,alpha_tp,C_n,C_tp
V0.5_c1,bgs,1,emmax,2,22,230475,18,7,57,12
V0.5_c1,bgs,1,emmax,3,22,230475,12,5,35,12
V0.5_c1,bgs,1,emmax,5,22,230475,10,5,24,11
V0.5_c1,bgs,1,emmax,10,22,230475,9,5,17,9
V0.5_c1,bgs,1,emmax,20,22,230475,8,5,10,8
V0.5_c1,bgs,1,lfmm,2,22,230475,19,8,47,13
V0.5_c1,bgs,1,lfmm,3,22,230475,16,8,41,13
V0.5_c1,bgs,1,lfmm,5,22,230475,13,8,30,12
V0.5_c1,bgs,1,lfmm,10,22,230475,10,7,19,10
V0.5_c1,bgs,1,lfmm,20,22,230475,8,6,13,7
V0.5_c1,bgs,2,emmax,2,20,229687,24,11,35,11
V0.5_c1,bgs,2,emmax,3,20,229687,20,9,29,11
V0.5_c1,bgs,2,emmax,5,20,229687,17,9,21,9
V0.5_c1,bgs,2,emmax,10,20,229687,10,8,15,9
V0.5_c1,bgs,2,emmax,20,20,229687,5,4,6,6
V0.5_c1,bgs,2,lfmm,2,20,229687,27,13,52,15
V0.5_c1,bgs,2,lfmm,3,20,229687,20,11,40,14
V0.5_c1,bgs,2,lfmm,5,20,229687,17,10,33,13
V0.5_c1,bgs,2,lfmm,10,20,229687,13,8,20,11
V0.5_c1,bgs,2,lfmm,20,20,229687,7,5,17,9
V0.5_c1,bgs,3,emmax,2,19,228643,17,13,35,17
V0.5_c1,bgs,3,emmax,3,19,228643,15,12,27,15
V0.5_c1,bgs,3,emmax,5,19,228643,13,11,24,14
V0.5_c1,bgs,3,emmax,10,19,228643,13,11,17,12
V0.5_c1,bgs,3,emmax,20,19,228643,8,7,13,10
V0.5_c1,bgs,3,lfmm,2,19,228643,30,17,52,17
V0.5_c1,bgs,3,lfmm,3,19,228643,27,16,39,17
V0.5_c1,bgs,3,lfmm,5,19,228643,21,15,31,17
V0.5_c1,bgs,3,lfmm,10,19,228643,18,13,23,14
V0.5_c1,bgs,3,lfmm,20,19,228643,9,8,18,13
