cell,tag,env,engine,rho_ld,l_min,n_qtn,a_n,a_TP,a_PR,C_n,C_TP,C_PR
V0.5_c1,bgs,1,emmax,0.5,2,22,25,7,0.0890909090909091,68,12,0.0962566844919786
V0.5_c1,bgs,1,emmax,0.5,3,22,18,5,0.0631313131313131,44,11,0.125
V0.5_c1,bgs,1,emmax,0.5,5,22,15,5,0.0757575757575757,33,10,0.137741046831956
V0.5_c1,bgs,1,emmax,0.5,10,22,12,5,0.0946969696969697,20,8,0.145454545454545
V0.5_c1,bgs,1,lfmm,0.5,2,22,28,8,0.103896103896104,65,10,0.0699300699300699
V0.5_c1,bgs,1,lfmm,0.5,3,22,22,8,0.132231404958678,47,10,0.0967117988394584
V0.5_c1,bgs,1,lfmm,0.5,5,22,20,8,0.145454545454545,38,9,0.09688995215311
V0.5_c1,bgs,1,lfmm,0.5,10,22,14,7,0.159090909090909,25,8,0.116363636363636
V0.5_c1,bgs,1,emmax,0.6,2,22,20,7,0.111363636363636,63,12,0.103896103896104
V0.5_c1,bgs,1,emmax,0.6,3,22,13,5,0.0874125874125874,40,11,0.1375
V0.5_c1,bgs,1,emmax,0.6,5,22,11,5,0.103305785123967,30,10,0.151515151515152
V0.5_c1,bgs,1,emmax,0.6,10,22,9,5,0.126262626262626,18,8,0.161616161616162
V0.5_c1,bgs,1,lfmm,0.6,2,22,20,8,0.145454545454545,52,10,0.0874125874125874
V0.5_c1,bgs,1,lfmm,0.6,3,22,17,8,0.171122994652406,40,10,0.113636363636364
V0.5_c1,bgs,1,lfmm,0.6,5,22,15,8,0.193939393939394,31,9,0.118768328445748
V0.5_c1,bgs,1,lfmm,0.6,10,22,11,7,0.202479338842975,20,8,0.145454545454545
V0.5_c1,bgs,1,emmax,0.75,2,22,18,7,0.123737373737374,57,11,0.0964912280701754
V0.5_c1,bgs,1,emmax,0.75,3,22,12,5,0.0946969696969697,35,11,0.157142857142857
V0.5_c1,bgs,1,emmax,0.75,5,22,10,5,0.113636363636364,24,10,0.189393939393939
V0.5_c1,bgs,1,emmax,0.75,10,22,9,5,0.126262626262626,17,9,0.216577540106952
V0.5_c1,bgs,1,lfmm,0.75,2,22,19,8,0.15311004784689,47,10,0.0967117988394584
V0.5_c1,bgs,1,lfmm,0.75,3,22,16,8,0.181818181818182,41,10,0.110864745011086
V0.5_c1,bgs,1,lfmm,0.75,5,22,13,8,0.223776223776224,30,9,0.122727272727273
V0.5_c1,bgs,1,lfmm,0.75,10,22,10,7,0.222727272727273,19,8,0.15311004784689
V0.5_c1,bgs,1,emmax,0.85,2,22,18,7,0.123737373737374,54,11,0.101851851851852
V0.5_c1,bgs,1,emmax,0.85,3,22,13,6,0.125874125874126,34,11,0.161764705882353
V0.5_c1,bgs,1,emmax,0.85,5,22,11,6,0.148760330578512,23,10,0.197628458498024
V0.5_c1,bgs,1,emmax,0.85,10,22,9,5,0.126262626262626,18,9,0.204545454545455
V0.5_c1,bgs,1,lfmm,0.85,2,22,19,8,0.15311004784689,42,11,0.130952380952381
V0.5_c1,bgs,1,lfmm,0.85,3,22,16,8,0.181818181818182,34,10,0.133689839572193
V0.5_c1,bgs,1,lfmm,0.85,5,22,13,8,0.223776223776224,25,9,0.147272727272727
