cell,tag,env,engine,l_min,n_qtn,n_rho_all,n_rho_high,a_PR,Call_PR,Call_n,Chigh_PR,Chigh_n,Call_TP,Chigh_TP
V0.5_c1,bgs,1,emmax,2,22,20,11,0.0674931129476584,0.0753424657534247,73,0.0785714285714286,70,11,11
V0.5_c1,bgs,1,emmax,3,22,20,11,0.0473484848484848,0.130952380952381,42,0.117021276595745,47,11,11
V0.5_c1,bgs,1,emmax,5,22,20,11,0.0710227272727273,0.156739811912226,29,0.146627565982405,31,10,10
V0.5_c1,bgs,1,emmax,10,22,20,11,0.0946969696969697,0.175324675324675,21,0.167355371900826,22,9,9
V0.5_c1,bgs,1,lfmm,2,22,20,11,0.093841642228739,0.0705128205128205,78,0.0654761904761905,84,11,11
V0.5_c1,bgs,1,lfmm,3,22,20,11,0.132231404958678,0.0932203389830508,59,0.0859375,64,11,11
V0.5_c1,bgs,1,lfmm,5,22,20,11,0.181818181818182,0.116550116550117,39,0.110864745011086,41,10,10
V0.5_c1,bgs,1,lfmm,10,22,20,11,0.202479338842975,0.175324675324675,21,0.153409090909091,24,9,9
V0.5_c1,bgs,2,emmax,2,20,20,11,0.172413793103448,0.121,50,0.104310344827586,58,11,11
V0.5_c1,bgs,2,emmax,3,20,20,11,0.176086956521739,0.144047619047619,42,0.134444444444444,45,11,11
V0.5_c1,bgs,2,emmax,5,20,20,11,0.27,0.139655172413793,29,0.15625,32,9,10
V0.5_c1,bgs,2,emmax,10,20,20,11,0.32,0.311538461538462,13,0.225,18,9,9
V0.5_c1,bgs,2,lfmm,2,20,20,11,0.21125,0.158450704225352,71,0.140625,80,15,15
V0.5_c1,bgs,2,lfmm,3,20,20,11,0.208620689655172,0.188461538461538,52,0.166101694915254,59,14,14
V0.5_c1,bgs,2,lfmm,5,20,20,11,0.238095238095238,0.192045454545455,44,0.179787234042553,47,13,13
V0.5_c1,bgs,2,lfmm,10,20,20,11,0.228571428571429,0.3025,20,0.275,22,11,11
V0.5_c1,bgs,3,emmax,2,19,20,11,0.494152046783626,0.338011695906433,45,0.310418904403867,49,17,17
V0.5_c1,bgs,3,emmax,3,19,20,11,0.505263157894737,0.294736842105263,35,0.278805120910384,37,14,14
V0.5_c1,bgs,3,emmax,5,19,20,11,0.489878542510122,0.303157894736842,25,0.280701754385965,27,12,12
V0.5_c1,bgs,3,emmax,10,19,20,11,0.489878542510122,0.353801169590643,18,0.335180055401662,19,11,11
V0.5_c1,bgs,3,lfmm,2,19,20,11,0.345479082321188,0.217293233082707,70,0.208363374188897,73,17,17
V0.5_c1,bgs,3,lfmm,3,19,20,11,0.358851674641148,0.29251012145749,52,0.2668513388735,57,17,17
V0.5_c1,bgs,3,lfmm,5,19,20,11,0.315789473684211,0.320056899004267,37,0.345479082321188,39,15,16
V0.5_c1,bgs,3,lfmm,10,19,20,11,0.398026315789474,0.355789473684211,25,0.368421052631579,28,13,14
V0.5_c1,bgs,4,emmax,2,15,20,11,0.304761904761905,0.289855072463768,23,0.289855072463768,23,10,10
V0.5_c1,bgs,4,emmax,3,15,20,11,0.272222222222222,0.224561403508772,19,0.213333333333333,20,8,8
V0.5_c1,bgs,4,emmax,5,15,20,11,0.362962962962963,0.304761904761905,14,0.304761904761905,14,8,8
V0.5_c1,bgs,4,emmax,10,15,20,11,0.333333333333333,0.24,10,0.24,10,6,6
V0.5_c1,bgs,4,lfmm,2,15,20,11,0.555555555555556,0.436363636363636,22,0.417391304347826,23,12,12
V0.5_c1,bgs,4,lfmm,3,15,20,11,0.490909090909091,0.504166666666667,16,0.448148148148148,18,11,11
V0.5_c1,bgs,4,lfmm,5,15,20,11,0.426666666666667,0.512820512820513,13,0.476190476190476,14,10,10
V0.5_c1,bgs,4,lfmm,10,15,20,11,0.342857142857143,0.426666666666667,10,0.387878787878788,11,8,8
V0.5_c1,bgs,5,emmax,2,14,20,11,0.308673469387755,0.257142857142857,40,0.250871080139373,41,12,12
V0.5_c1,bgs,5,emmax,3,14,20,11,0.375776397515528,0.321428571428571,32,0.285714285714286,36,12,12
V0.5_c1,bgs,5,emmax,5,14,20,11,0.26890756302521,0.380952380952381,27,0.354679802955665,29,12,12
V0.5_c1,bgs,5,emmax,10,14,20,11,0.351648351648352,0.392857142857143,22,0.375776397515528,23,11,11
V0.5_c1,bgs,5,lfmm,2,14,20,11,0.380952380952381,0.257142857142857,40,0.233766233766234,44,12,12
V0.5_c1,bgs,5,lfmm,3,14,20,11,0.428571428571429,0.354679802955665,29,0.311688311688312,33,12,12
V0.5_c1,bgs,5,lfmm,5,14,20,11,0.489795918367347,0.411428571428571,25,0.395604395604396,26,12,12
