cell,tag,env,engine,l_min,tau,n_qtn,a_n,a_TP,a_PR,C_n,C_TP,C_PR
V0.5_c1,bgs,1,emmax,2,0.01,22,18,7,0.123737373737374,73,12,0.0896637608966376
V0.5_c1,bgs,1,emmax,2,0.02,22,18,7,0.123737373737374,70,12,0.0935064935064935
V0.5_c1,bgs,1,emmax,2,0.05,22,18,7,0.123737373737374,54,11,0.101851851851852
V0.5_c1,bgs,1,emmax,2,0.1,22,18,7,0.123737373737374,44,9,0.0836776859504132
V0.5_c1,bgs,1,emmax,2,0.15,22,18,7,0.123737373737374,37,9,0.0995085995085995
V0.5_c1,bgs,1,emmax,2,0.2,22,18,7,0.123737373737374,29,9,0.126959247648903
V0.5_c1,bgs,1,emmax,2,0.3,22,18,7,0.123737373737374,22,9,0.167355371900826
V0.5_c1,bgs,1,emmax,2,0.4,22,18,7,0.123737373737374,19,9,0.19377990430622
V0.5_c1,bgs,1,emmax,2,0.5,22,18,7,0.123737373737374,15,7,0.148484848484848
V0.5_c1,bgs,1,emmax,2,0.7,22,18,7,0.123737373737374,11,7,0.202479338842975
V0.5_c1,bgs,1,emmax,3,0.01,22,13,6,0.125874125874126,52,11,0.105769230769231
V0.5_c1,bgs,1,emmax,3,0.02,22,13,6,0.125874125874126,45,11,0.122222222222222
V0.5_c1,bgs,1,emmax,3,0.05,22,13,6,0.125874125874126,35,11,0.157142857142857
V0.5_c1,bgs,1,emmax,3,0.1,22,13,6,0.125874125874126,31,9,0.118768328445748
V0.5_c1,bgs,1,emmax,3,0.15,22,13,6,0.125874125874126,25,9,0.147272727272727
V0.5_c1,bgs,1,emmax,3,0.2,22,13,6,0.125874125874126,22,9,0.167355371900826
V0.5_c1,bgs,1,emmax,3,0.3,22,13,6,0.125874125874126,19,9,0.19377990430622
V0.5_c1,bgs,1,emmax,3,0.4,22,13,6,0.125874125874126,17,9,0.216577540106952
V0.5_c1,bgs,1,emmax,3,0.5,22,13,6,0.125874125874126,13,7,0.171328671328671
V0.5_c1,bgs,1,emmax,3,0.7,22,13,6,0.125874125874126,11,7,0.202479338842975
V0.5_c1,bgs,1,emmax,5,0.01,22,11,6,0.148760330578512,35,11,0.157142857142857
V0.5_c1,bgs,1,emmax,5,0.02,22,11,6,0.148760330578512,29,11,0.189655172413793
V0.5_c1,bgs,1,emmax,5,0.05,22,11,6,0.148760330578512,23,10,0.197628458498024
V0.5_c1,bgs,1,emmax,5,0.1,22,11,6,0.148760330578512,19,8,0.15311004784689
V0.5_c1,bgs,1,emmax,5,0.15,22,11,6,0.148760330578512,18,8,0.161616161616162
V0.5_c1,bgs,1,emmax,5,0.2,22,11,6,0.148760330578512,16,8,0.181818181818182
V0.5_c1,bgs,1,emmax,5,0.3,22,11,6,0.148760330578512,15,8,0.193939393939394
V0.5_c1,bgs,1,emmax,5,0.4,22,11,6,0.148760330578512,14,8,0.207792207792208
V0.5_c1,bgs,1,emmax,5,0.5,22,11,6,0.148760330578512,12,7,0.185606060606061
V0.5_c1,bgs,1,emmax,5,0.7,22,11,6,0.148760330578512,9,6,0.181818181818182
V0.5_c1,bgs,1,emmax,10,0.01,22,9,5,0.126262626262626,24,10,0.189393939393939
V0.5_c1,bgs,1,emmax,10,0.02,22,9,5,0.126262626262626,21,10,0.216450216450216
V0.5_c1,bgs,1,emmax,10,0.05,22,9,5,0.126262626262626,19,9,0.19377990430622
V0.5_c1,bgs,1,emmax,10,0.1,22,9,5,0.126262626262626,15,8,0.193939393939394
V0.5_c1,bgs,1,emmax,10,0.15,22,9,5,0.126262626262626,13,8,0.223776223776224
V0.5_c1,bgs,1,emmax,10,0.2,22,9,5,0.126262626262626,13,8,0.223776223776224
V0.5_c1,bgs,1,emmax,10,0.3,22,9,5,0.126262626262626,12,8,0.242424242424242
V0.5_c1,bgs,1,emmax,10,0.4,22,9,5,0.126262626262626,13,8,0.223776223776224
V0.5_c1,bgs,1,emmax,10,0.5,22,9,5,0.126262626262626,10,6,0.163636363636364
V0.5_c1,bgs,1,emmax,10,0.7,22,9,5,0.126262626262626,8,5,0.142045454545455
V0.5_c1,bgs,1,lfmm,2,0.01,22,19,8,0.15311004784689,50,13,0.153636363636364
V0.5_c1,bgs,1,lfmm,2,0.02,22,19,8,0.15311004784689,46,11,0.119565217391304
V0.5_c1,bgs,1,lfmm,2,0.05,22,19,8,0.15311004784689,43,11,0.127906976744186
V0.5_c1,bgs,1,lfmm,2,0.1,22,19,8,0.15311004784689,38,11,0.144736842105263
V0.5_c1,bgs,1,lfmm,2,0.15,22,19,8,0.15311004784689,36,10,0.126262626262626
V0.5_c1,bgs,1,lfmm,2,0.2,22,19,8,0.15311004784689,32,9,0.115056818181818
V0.5_c1,bgs,1,lfmm,2,0.3,22,19,8,0.15311004784689,24,9,0.153409090909091
V0.5_c1,bgs,1,lfmm,2,0.4,22,19,8,0.15311004784689,20,8,0.145454545454545
V0.5_c1,bgs,1,lfmm,2,0.5,22,19,8,0.15311004784689,19,8,0.15311004784689
V0.5_c1,bgs,1,lfmm,2,0.7,22,19,8,0.15311004784689,14,8,0.207792207792208
V0.5_c1,bgs,1,lfmm,3,0.01,22,16,8,0.181818181818182,40,11,0.1375
V0.5_c1,bgs,1,lfmm,3,0.02,22,16,8,0.181818181818182,37,10,0.122850122850123
V0.5_c1,bgs,1,lfmm,3,0.05,22,16,8,0.181818181818182,34,10,0.133689839572193
V0.5_c1,bgs,1,lfmm,3,0.1,22,16,8,0.181818181818182,30,10,0.151515151515152
V0.5_c1,bgs,1,lfmm,3,0.15,22,16,8,0.181818181818182,28,8,0.103896103896104
V0.5_c1,bgs,1,lfmm,3,0.2,22,16,8,0.181818181818182,26,8,0.111888111888112
V0.5_c1,bgs,1,lfmm,3,0.3,22,16,8,0.181818181818182,20,8,0.145454545454545
V0.5_c1,bgs,1,lfmm,3,0.4,22,16,8,0.181818181818182,17,8,0.171122994652406
V0.5_c1,bgs,1,lfmm,3,0.5,22,16,8,0.181818181818182,17,8,0.171122994652406
V0.5_c1,bgs,1,lfmm,3,0.7,22,16,8,0.181818181818182,14,8,0.207792207792208
V0.5_c1,bgs,1,lfmm,5,0.01,22,13,8,0.223776223776224,32,10,0.142045454545455
V0.5_c1,bgs,1,lfmm,5,0.02,22,13,8,0.223776223776224,31,10,0.146627565982405
V0.5_c1,bgs,1,lfmm,5,0.05,22,13,8,0.223776223776224,25,9,0.147272727272727
V0.5_c1,bgs,1,lfmm,5,0.1,22,13,8,0.223776223776224,20,9,0.184090909090909
V0.5_c1,bgs,1,lfmm,5,0.15,22,13,8,0.223776223776224,19,8,0.15311004784689
V0.5_c1,bgs,1,lfmm,5,0.2,22,13,8,0.223776223776224,19,8,0.15311004784689
V0.5_c1,bgs,1,lfmm,5,0.3,22,13,8,0.223776223776224,17,8,0.171122994652406
V0.5_c1,bgs,1,lfmm,5,0.4,22,13,8,0.223776223776224,17,8,0.171122994652406
V0.5_c1,bgs,1,lfmm,5,0.5,22,13,8,0.223776223776224,16,8,0.181818181818182
V0.5_c1,bgs,1,lfmm,5,0.7,22,13,8,0.223776223776224,12,8,0.242424242424242
V0.5_c1,bgs,1,lfmm,10,0.01,22,10,7,0.222727272727273,23,9,0.160079051383399
V0.5_c1,bgs,1,lfmm,10,0.02,22,10,7,0.222727272727273,21,8,0.138528138528139
V0.5_c1,bgs,1,lfmm,10,0.05,22,10,7,0.222727272727273,16,8,0.181818181818182
V0.5_c1,bgs,1,lfmm,10,0.1,22,10,7,0.222727272727273,14,8,0.207792207792208
V0.5_c1,bgs,1,lfmm,10,0.15,22,10,7,0.222727272727273,15,8,0.193939393939394
V0.5_c1,bgs,1,lfmm,10,0.2,22,10,7,0.222727272727273,16,8,0.181818181818182
V0.5_c1,bgs,1,lfmm,10,0.3,22,10,7,0.222727272727273,12,8,0.242424242424242
V0.5_c1,bgs,1,lfmm,10,0.4,22,10,7,0.222727272727273,12,8,0.242424242424242
V0.5_c1,bgs,1,lfmm,10,0.5,22,10,7,0.222727272727273,12,8,0.242424242424242
V0.5_c1,bgs,1,lfmm,10,0.7,22,10,7,0.222727272727273,11,8,0.264462809917355
V0.5_c1,bgs,2,emmax,2,0.01,20,23,11,0.26304347826087,53,11,0.114150943396226
V0.5_c1,bgs,2,emmax,2,0.02,20,23,11,0.26304347826087,44,11,0.1375
V0.5_c1,bgs,2,emmax,2,0.05,20,23,11,0.26304347826087,33,11,0.183333333333333
V0.5_c1,bgs,2,emmax,2,0.1,20,23,11,0.26304347826087,31,11,0.195161290322581
V0.5_c1,bgs,2,emmax,2,0.15,20,23,11,0.26304347826087,28,11,0.216071428571429
V0.5_c1,bgs,2,emmax,2,0.2,20,23,11,0.26304347826087,27,11,0.224074074074074
V0.5_c1,bgs,2,emmax,2,0.3,20,23,11,0.26304347826087,27,11,0.224074074074074
V0.5_c1,bgs,2,emmax,2,0.4,20,23,11,0.26304347826087,26,11,0.232692307692308
V0.5_c1,bgs,2,emmax,2,0.5,20,23,11,0.26304347826087,26,11,0.232692307692308
V0.5_c1,bgs,2,emmax,2,0.7,20,23,11,0.26304347826087,16,10,0.3125
V0.5_c1,bgs,2,emmax,3,0.01,20,20,9,0.2025,39,11,0.155128205128205
V0.5_c1,bgs,2,emmax,3,0.02,20,20,9,0.2025,33,11,0.183333333333333
