cell,tag,env,dcap,n_units,regions,precision,recall,med_span_kb,max_span_Mb,widest_q_precision,pct_over_1Mb,n_qtn
V0.5_c1,nobgs,1,10000,100080,19,0.578947368421053,0.631578947368421,206.8745,4.032368,0.6,22.7272727272727,19
V0.5_c1,nobgs,1,30000,99970,20,0.6,0.631578947368421,227.8145,4.032368,0.4,18.1818181818182,19
V0.5_c1,nobgs,1,1e+05,99835,16,0.75,0.631578947368421,260.355,4.616341,0.5,27.7777777777778,19
V0.5_c1,nobgs,1,3e+05,99706,15,0.8,0.631578947368421,212.989,4.876643,0.75,23.5294117647059,19
V0.5_c1,nobgs,2,10000,101747,17,0.470588235294118,0.45,87.309,2.982866,0.4,13.6363636363636,20
V0.5_c1,nobgs,2,30000,101688,17,0.470588235294118,0.45,87.309,3.712512,0.4,13.6363636363636,20
V0.5_c1,nobgs,2,1e+05,101569,15,0.533333333333333,0.45,87.309,3.922539,0.5,15,20
V0.5_c1,nobgs,2,3e+05,101439,15,0.533333333333333,0.45,87.309,3.922539,0.5,15,20
V0.5_c1,nobgs,3,10000,100009,29,0.413793103448276,0.571428571428571,139.579,4.522464,0.25,20.5128205128205,21
V0.5_c1,nobgs,3,30000,99911,28,0.428571428571429,0.571428571428571,262.984,4.522464,0.285714285714286,25.7142857142857,21
V0.5_c1,nobgs,3,1e+05,99787,22,0.545454545454545,0.571428571428571,252.829,4.613534,0.333333333333333,32.1428571428572,21
V0.5_c1,nobgs,3,3e+05,99670,19,0.631578947368421,0.571428571428571,95.5475,4.613534,1,22.7272727272727,21
V0.5_c1,nobgs,4,10000,102102,17,0.529411764705882,0.473684210526316,106.819,2.252229,0.4,21.7391304347826,19
V0.5_c1,nobgs,4,30000,101998,15,0.6,0.473684210526316,112.275,2.694905,0.6,28.5714285714286,19
V0.5_c1,nobgs,4,1e+05,101870,13,0.692307692307692,0.473684210526316,112.994,3.256729,0.75,31.5789473684211,19
V0.5_c1,nobgs,4,3e+05,101719,10,0.8,0.421052631578947,112.994,3.690588,1,30.7692307692308,19
V0.5_c1,nobgs,5,10000,99543,8,0.75,0.411764705882353,120.366,3.26996,1,33.3333333333333,17
V0.5_c1,nobgs,5,30000,99447,8,0.75,0.411764705882353,120.366,3.26996,1,33.3333333333333,17
V0.5_c1,nobgs,5,1e+05,99328,8,0.75,0.411764705882353,228.463,3.26996,1,33.3333333333333,17
V0.5_c1,nobgs,5,3e+05,99197,7,0.857142857142857,0.411764705882353,373.78,3.924922,0.5,37.5,17
V0.5_c1,bgs,1,10000,84958,11,0.363636363636364,0.227272727272727,351.116,1.701685,0.25,31.25,22
V0.5_c1,bgs,1,30000,84837,9,0.444444444444444,0.227272727272727,288.14,2.44002,1,22.2222222222222,22
V0.5_c1,bgs,1,1e+05,84732,7,0.571428571428571,0.227272727272727,673.2765,2.44002,0.5,37.5,22
V0.5_c1,bgs,1,3e+05,84671,6,0.666666666666667,0.227272727272727,647.228,2.44002,1,33.3333333333333,22
V0.5_c1,bgs,2,10000,84440,23,0.347826086956522,0.4,135.484,1.961284,0.166666666666667,3.7037037037037,20
