cell,env,partition,statistic,engine,n_test,regions,tp,precision,recall,widest_Mb,med_occupancy,n_qtn
V0.5_c1,1,stage 2,Simes,EMMAX,99835,16,12,0.75,0.631578947368421,4.616341,0.282197818616465,19
V0.5_c1,1,stage 1,Simes,EMMAX,100330,19,12,0.631578947368421,0.631578947368421,4.616341,0.282608695652174,19
V0.5_c1,1,stage 2,consensus,EMMAX,99835,18,11,0.611111111111111,0.578947368421053,4.616341,0.281786941580756,19
V0.5_c1,1,stage 2,Simes,LFMM,99835,18,10,0.555555555555556,0.526315789473684,4.616341,0.306946688206785,19
V0.5_c1,1,stage 1,Simes,LFMM,100330,19,10,0.526315789473684,0.526315789473684,4.616341,0.29477769192948,19
V0.5_c1,1,stage 2,consensus,LFMM,99835,38,13,0.342105263157895,0.68421052631579,4.616341,0.302083333333333,19
V0.5_c1,2,stage 2,Simes,EMMAX,101569,15,8,0.533333333333333,0.45,3.922539,0.15835970464135,20
V0.5_c1,2,stage 1,Simes,EMMAX,101983,15,8,0.533333333333333,0.45,3.922539,0.15835970464135,20
V0.5_c1,2,stage 2,consensus,EMMAX,101569,18,9,0.5,0.5,3.922539,0.170886075949367,20
V0.5_c1,2,stage 2,Simes,LFMM,101569,30,12,0.4,0.65,3.922539,0.299223127865512,20
V0.5_c1,2,stage 1,Simes,LFMM,101983,30,12,0.4,0.65,3.922539,0.299223127865512,20
V0.5_c1,2,stage 2,consensus,LFMM,101569,55,13,0.236363636363636,0.7,3.922539,0.194444444444444,20
V0.5_c1,3,stage 2,Simes,EMMAX,99787,22,12,0.545454545454545,0.571428571428571,4.613534,0.244567149022595,21
V0.5_c1,3,stage 1,Simes,EMMAX,100302,25,12,0.48,0.571428571428571,4.613534,0.244567149022595,21
V0.5_c1,3,stage 2,consensus,EMMAX,99787,29,13,0.448275862068966,0.619047619047619,4.613534,0.244567149022595,21
V0.5_c1,3,stage 2,Simes,LFMM,99787,22,13,0.590909090909091,0.619047619047619,3.361435,0.263157894736842,21
V0.5_c1,3,stage 1,Simes,LFMM,100302,24,13,0.541666666666667,0.619047619047619,3.361435,0.27046783625731,21
V0.5_c1,3,stage 2,consensus,LFMM,99787,49,14,0.285714285714286,0.666666666666667,4.613534,0.247772277227723,21
V0.5_c1,4,stage 2,Simes,EMMAX,101870,13,9,0.692307692307692,0.473684210526316,3.256729,0.26530612244898,19
