cell,tag,env,partition,statistic,engine,n_test,regions,tp,precision,recall,widest_Mb,med_occupancy,occ_all_units,widest_all_Mb,n_qtn
V0.5_c1,bgs,1,stage 2,Simes,EMMAX,84732,7,4,0.571428571428571,0.227272727272727,2.44002,0.29221305543494,1,4.78207,22
V0.5_c1,bgs,1,stage 1,Simes,EMMAX,85192,9,4,0.444444444444444,0.227272727272727,2.44002,0.260873802176385,1,4.78207,22
V0.5_c1,bgs,1,stage 2,consensus,EMMAX,84732,10,5,0.5,0.272727272727273,2.44002,0.285106382978723,1,4.78207,22
V0.5_c1,bgs,1,stage 2,Simes,LFMM,84732,7,4,0.571428571428571,0.227272727272727,3.335938,0.231528157856834,1,4.78207,22
V0.5_c1,bgs,1,stage 1,Simes,LFMM,85192,11,5,0.454545454545455,0.272727272727273,3.335938,0.231528157856834,1,4.78207,22
V0.5_c1,bgs,1,stage 2,consensus,LFMM,84732,22,7,0.318181818181818,0.363636363636364,2.44002,0.243320610687023,1,4.78207,22
V0.5_c1,bgs,2,stage 2,Simes,EMMAX,84185,20,8,0.4,0.4,2.27113,0.16576332429991,1,5.489423,20
V0.5_c1,bgs,2,stage 1,Simes,EMMAX,84745,22,8,0.363636363636364,0.4,2.27113,0.192592592592593,1,5.489423,20
V0.5_c1,bgs,2,stage 2,consensus,EMMAX,84185,18,8,0.444444444444444,0.4,2.27113,0.146341463414634,1,5.489423,20
V0.5_c1,bgs,2,stage 2,Simes,LFMM,84185,16,8,0.5,0.4,2.27113,0.21078431372549,1,5.489423,20
V0.5_c1,bgs,2,stage 1,Simes,LFMM,84745,20,10,0.5,0.5,2.27113,0.21078431372549,1,5.489423,20
V0.5_c1,bgs,2,stage 2,consensus,LFMM,84185,40,11,0.275,0.55,2.27113,0.215686274509804,1,5.489423,20
V0.5_c1,bgs,3,stage 2,Simes,EMMAX,84217,12,10,0.833333333333333,0.578947368421053,1.60208,0.305291005291005,1,5.075601,19
V0.5_c1,bgs,3,stage 1,Simes,EMMAX,84650,15,12,0.8,0.68421052631579,3.177484,0.291460250058976,1,5.075601,19
V0.5_c1,bgs,3,stage 2,consensus,EMMAX,84217,14,11,0.785714285714286,0.631578947368421,1.60208,0.291460250058976,1,5.075601,19
V0.5_c1,bgs,3,stage 2,Simes,LFMM,84217,19,13,0.68421052631579,0.736842105263158,3.177484,0.291460250058976,1,5.075601,19
V0.5_c1,bgs,3,stage 1,Simes,LFMM,84650,22,15,0.681818181818182,0.842105263157895,3.177484,0.292478045055365,1,5.075601,19
V0.5_c1,bgs,3,stage 2,consensus,LFMM,84217,31,14,0.451612903225806,0.789473684210526,2.15303,0.305291005291005,1,5.075601,19
V0.5_c1,bgs,4,stage 2,Simes,EMMAX,85153,7,6,0.857142857142857,0.466666666666667,0.97428,0.434532733633183,1,5.436853,15
V0.5_c1,bgs,4,stage 1,Simes,EMMAX,85617,9,7,0.777777777777778,0.6,0.97428,0.287994891443167,1,5.436853,15
V0.5_c1,bgs,4,stage 2,consensus,EMMAX,85153,8,6,0.75,0.466666666666667,0.97428,0.287994891443167,1,5.436853,15
V0.5_c1,bgs,4,stage 2,Simes,LFMM,85153,10,8,0.8,0.666666666666667,0.97428,0.390804597701149,1,5.436853,15
V0.5_c1,bgs,4,stage 1,Simes,LFMM,85617,10,8,0.8,0.666666666666667,0.97428,0.390804597701149,1,5.436853,15
V0.5_c1,bgs,4,stage 2,consensus,LFMM,85153,12,8,0.666666666666667,0.666666666666667,1.84534,0.29874213836478,1,5.436853,15
V0.5_c1,bgs,5,stage 2,Simes,EMMAX,83084,12,8,0.666666666666667,0.642857142857143,3.950536,0.262267510882469,1,6.2048,14
V0.5_c1,bgs,5,stage 1,Simes,EMMAX,83437,13,8,0.615384615384615,0.642857142857143,3.950536,0.214285714285714,1,6.2048,14
V0.5_c1,bgs,5,stage 2,consensus,EMMAX,83084,10,8,0.8,0.642857142857143,3.950536,0.262267510882469,1,6.2048,14
V0.5_c1,bgs,5,stage 2,Simes,LFMM,83084,12,9,0.75,0.714285714285714,3.950536,0.375,1,6.2048,14
V0.5_c1,bgs,5,stage 1,Simes,LFMM,83437,13,10,0.769230769230769,0.785714285714286,3.950536,0.375,1,6.2048,14
V0.5_c1,bgs,5,stage 2,consensus,LFMM,83084,19,11,0.578947368421053,0.857142857142857,3.950536,0.231788749494132,1,6.2048,14
V0.5_c2,bgs,1,stage 2,Simes,EMMAX,60984,1,0,0,0,6.210313,0.000882223202470225,1,29.479301,33
V0.5_c2,bgs,1,stage 1,Simes,EMMAX,67898,2,0,0,0,14.229583,0.00907591271434691,1,29.479301,33
V0.5_c2,bgs,1,stage 2,consensus,EMMAX,60984,21,5,0.238095238095238,0.181818181818182,20.790041,0.020145170531033,1,29.479301,33
V0.5_c2,bgs,1,stage 2,Simes,LFMM,60984,61,7,0.114754098360656,0.242424242424242,26.95255,0.0123901671633392,1,29.479301,33
V0.5_c2,bgs,1,stage 1,Simes,LFMM,67898,102,11,0.107843137254902,0.363636363636364,29.479301,0.0135378318861689,1,29.479301,33
V0.5_c2,bgs,1,stage 2,consensus,LFMM,60984,179,14,0.0782122905027933,0.454545454545455,26.95255,0.0147432142159734,1,29.479301,33
V0.5_c2,bgs,2,stage 2,Simes,EMMAX,60739,63,8,0.126984126984127,0.285714285714286,26.944263,0.0183210281651627,1,29.849104,35
V0.5_c2,bgs,2,stage 1,Simes,EMMAX,67449,88,9,0.102272727272727,0.314285714285714,26.944263,0.0186465515203904,1,29.849104,35
V0.5_c2,bgs,2,stage 2,consensus,EMMAX,60739,91,6,0.0659340659340659,0.2,27.004792,0.0187983675739784,1,29.849104,35
V0.5_c2,bgs,2,stage 2,Simes,LFMM,60739,428,12,0.0280373831775701,0.4,28.64476,0.0478723404255319,1,29.849104,35
V0.5_c2,bgs,2,stage 1,Simes,LFMM,67449,576,14,0.0243055555555556,0.457142857142857,28.64476,0.0508725229222124,1,29.849104,35
V0.5_c2,bgs,2,stage 2,consensus,LFMM,60739,1797,17,0.00946021146355036,0.542857142857143,28.64476,0.107334869431644,1,29.849104,35
V0.5_c2,bgs,3,stage 2,Simes,EMMAX,59940,66,6,0.0909090909090909,0.157894736842105,27.316195,0.0192972702358046,1,30.330174,38
V0.5_c2,bgs,3,stage 1,Simes,EMMAX,66912,103,7,0.0679611650485437,0.210526315789474,28.157421,0.0178229785520089,1,30.330174,38
V0.5_c2,bgs,3,stage 2,consensus,EMMAX,59940,95,4,0.0421052631578947,0.105263157894737,29.487785,0.0224227029867741,1,30.330174,38
V0.5_c2,bgs,3,stage 2,Simes,LFMM,59940,164,11,0.0670731707317073,0.315789473684211,28.157421,0.0162305867624098,1,30.330174,38
V0.5_c2,bgs,3,stage 1,Simes,LFMM,66912,193,12,0.0621761658031088,0.342105263157895,29.487785,0.0152671755725191,1,30.330174,38
V0.5_c2,bgs,3,stage 2,consensus,LFMM,59940,296,18,0.0608108108108108,0.5,30.330174,0.0178916827852998,1,30.330174,38
V0.5_c2,bgs,4,stage 2,Simes,EMMAX,61123,3,0,0,0,7.943608,0.00847457627118644,1,28.056541,37
V0.5_c2,bgs,4,stage 1,Simes,EMMAX,68085,3,0,0,0,7.943608,0.00847457627118644,1,28.056541,37
V0.5_c2,bgs,4,stage 2,consensus,EMMAX,61123,10,1,0.1,0.0810810810810811,16.302338,0.0134851766191143,1,28.056541,37
V0.5_c2,bgs,4,stage 2,Simes,LFMM,61123,113,10,0.0884955752212389,0.351351351351351,28.056541,0.0145511962082542,1,28.056541,37
V0.5_c2,bgs,4,stage 1,Simes,LFMM,68085,150,12,0.08,0.432432432432432,28.056541,0.0158316633266533,1,28.056541,37
V0.5_c2,bgs,4,stage 2,consensus,LFMM,61123,176,14,0.0795454545454545,0.486486486486487,28.056541,0.0164619718759194,1,28.056541,37
V0.5_c2,bgs,5,stage 2,Simes,EMMAX,61060,1,0,0,0,0.006824,0.294117647058824,1,28.739048,30
V0.5_c2,bgs,5,stage 1,Simes,EMMAX,68096,7,0,0,0,16.509716,0.0229200773924691,1,28.739048,30
V0.5_c2,bgs,5,stage 2,consensus,EMMAX,61060,6,0,0,0,14.34354,0.02253966647587,1,28.739048,30
