set,n,med_pctile,env
shared,1084,0.727087576374745,1
gcta_only,32,0.454684317718941,1
shared,0,,5
gcta_only,0,,5
shared,1288,0.715742793791574,3
gcta_only,61,0.432815964523282,3
shared,4562,0.6903436099416,2
gcta_only,258,0.376612793698221,2
shared,1562,0.686688311688312,4
gcta_only,41,0.359983766233766,4
shared,744,0.741295264623956,10
gcta_only,45,0.474930362116992,10
shared,29,0.97956204379562,6
gcta_only,239,0.817518248175183,6
shared,797,0.768959435626102,8
gcta_only,246,0.463844797178131,8
shared,716,0.741316931982634,7
gcta_only,25,0.475397973950796,7
