cell,tag,env,partition,statistic,engine,n_test,regions,tp,precision,recall,widest_Mb,med_occupancy,occ_all_units,widest_all_Mb,n_qtn
V0.5_c1,nobgs,1,stage 2,Simes,EMMAX,99835,16,12,0.75,0.631578947368421,4.616341,0.282197818616465,1,4.616341,19
V0.5_c1,nobgs,1,stage 1,Simes,EMMAX,100330,19,12,0.631578947368421,0.631578947368421,4.616341,0.282608695652174,1,4.616341,19
V0.5_c1,nobgs,1,stage 2,consensus,EMMAX,99835,18,11,0.611111111111111,0.578947368421053,4.616341,0.281786941580756,1,4.616341,19
V0.5_c1,nobgs,1,stage 2,Simes,LFMM,99835,18,10,0.555555555555556,0.526315789473684,4.616341,0.306946688206785,1,4.616341,19
V0.5_c1,nobgs,1,stage 1,Simes,LFMM,100330,19,10,0.526315789473684,0.526315789473684,4.616341,0.29477769192948,1,4.616341,19
V0.5_c1,nobgs,1,stage 2,consensus,LFMM,99835,38,13,0.342105263157895,0.68421052631579,4.616341,0.302083333333333,1,4.616341,19
V0.5_c1,nobgs,2,stage 2,Simes,EMMAX,101569,15,8,0.533333333333333,0.45,3.922539,0.15835970464135,1,3.922539,20
V0.5_c1,nobgs,2,stage 1,Simes,EMMAX,101983,15,8,0.533333333333333,0.45,3.922539,0.15835970464135,1,3.922539,20
V0.5_c1,nobgs,2,stage 2,consensus,EMMAX,101569,18,9,0.5,0.5,3.922539,0.170886075949367,1,3.922539,20
V0.5_c1,nobgs,2,stage 2,Simes,LFMM,101569,30,12,0.4,0.65,3.922539,0.299223127865512,1,3.922539,20
V0.5_c1,nobgs,2,stage 1,Simes,LFMM,101983,30,12,0.4,0.65,3.922539,0.299223127865512,1,3.922539,20
V0.5_c1,nobgs,2,stage 2,consensus,LFMM,101569,55,13,0.236363636363636,0.7,3.922539,0.194444444444444,1,3.922539,20
V0.5_c1,nobgs,3,stage 2,Simes,EMMAX,99787,22,12,0.545454545454545,0.571428571428571,4.613534,0.244567149022595,1,4.613534,21
V0.5_c1,nobgs,3,stage 1,Simes,EMMAX,100302,25,12,0.48,0.571428571428571,4.613534,0.244567149022595,1,4.613534,21
V0.5_c1,nobgs,3,stage 2,consensus,EMMAX,99787,29,13,0.448275862068966,0.619047619047619,4.613534,0.244567149022595,1,4.613534,21
V0.5_c1,nobgs,3,stage 2,Simes,LFMM,99787,22,13,0.590909090909091,0.619047619047619,3.361435,0.263157894736842,1,4.613534,21
V0.5_c1,nobgs,3,stage 1,Simes,LFMM,100302,24,13,0.541666666666667,0.619047619047619,3.361435,0.27046783625731,1,4.613534,21
V0.5_c1,nobgs,3,stage 2,consensus,LFMM,99787,49,14,0.285714285714286,0.666666666666667,4.613534,0.247772277227723,1,4.613534,21
V0.5_c1,nobgs,4,stage 2,Simes,EMMAX,101870,13,9,0.692307692307692,0.473684210526316,3.256729,0.26530612244898,1,4.345807,19
V0.5_c1,nobgs,4,stage 1,Simes,EMMAX,102330,17,11,0.647058823529412,0.578947368421053,4.345807,0.259587020648968,1,4.345807,19
V0.5_c1,nobgs,4,stage 2,consensus,EMMAX,101870,12,8,0.666666666666667,0.421052631578947,3.256729,0.28265306122449,1,4.345807,19
V0.5_c1,nobgs,4,stage 2,Simes,LFMM,101870,15,12,0.8,0.631578947368421,4.345807,0.3,1,4.345807,19
V0.5_c1,nobgs,4,stage 1,Simes,LFMM,102330,16,12,0.75,0.631578947368421,4.345807,0.28265306122449,1,4.345807,19
V0.5_c1,nobgs,4,stage 2,consensus,LFMM,101870,33,14,0.424242424242424,0.736842105263158,4.345807,0.285714285714286,1,4.345807,19
V0.5_c1,nobgs,5,stage 2,Simes,EMMAX,99328,8,6,0.75,0.411764705882353,3.26996,0.25,1,3.729649,17
V0.5_c1,nobgs,5,stage 1,Simes,EMMAX,99778,9,6,0.666666666666667,0.411764705882353,3.26996,0.269444444444444,1,3.729649,17
V0.5_c1,nobgs,5,stage 2,consensus,EMMAX,99328,9,6,0.666666666666667,0.411764705882353,3.26996,0.269444444444444,1,3.729649,17
V0.5_c1,nobgs,5,stage 2,Simes,LFMM,99328,10,8,0.8,0.470588235294118,3.26996,0.288888888888889,1,3.729649,17
V0.5_c1,nobgs,5,stage 1,Simes,LFMM,99778,11,8,0.727272727272727,0.470588235294118,3.26996,0.269444444444444,1,3.729649,17
V0.5_c1,nobgs,5,stage 2,consensus,LFMM,99328,32,10,0.3125,0.647058823529412,3.26996,0.475845410628019,1,3.729649,17
V0.5_c1,nobgs,6,stage 2,Simes,EMMAX,102214,22,6,0.272727272727273,0.4375,3.774244,0.4,1,3.776049,16
V0.5_c1,nobgs,6,stage 1,Simes,EMMAX,102649,23,6,0.260869565217391,0.4375,3.774244,0.39047619047619,1,3.776049,16
V0.5_c1,nobgs,6,stage 2,consensus,EMMAX,102214,34,7,0.205882352941176,0.5,3.774244,0.4,1,3.776049,16
V0.5_c1,nobgs,6,stage 2,Simes,LFMM,102214,27,5,0.185185185185185,0.375,3.774244,0.240183792815372,1,3.776049,16
V0.5_c1,nobgs,6,stage 1,Simes,LFMM,102649,29,5,0.172413793103448,0.375,3.774244,0.196695095948827,1,3.776049,16
V0.5_c1,nobgs,6,stage 2,consensus,LFMM,102214,103,8,0.0776699029126214,0.5625,3.774244,0.285714285714286,1,3.776049,16
V0.5_c1,nobgs,7,stage 2,Simes,EMMAX,97081,15,8,0.533333333333333,0.529411764705882,3.95002,0.213768115942029,1,4.050968,17
V0.5_c1,nobgs,7,stage 1,Simes,EMMAX,97587,22,8,0.363636363636364,0.529411764705882,3.95002,0.257142857142857,1,4.050968,17
V0.5_c1,nobgs,7,stage 2,consensus,EMMAX,97081,14,7,0.5,0.470588235294118,3.95002,0.212510908908823,1,4.050968,17
V0.5_c1,nobgs,7,stage 2,Simes,LFMM,97081,18,7,0.388888888888889,0.411764705882353,2.502031,0.234198279509237,1,4.050968,17
V0.5_c1,nobgs,7,stage 1,Simes,LFMM,97587,21,7,0.333333333333333,0.411764705882353,2.502031,0.257142857142857,1,4.050968,17
V0.5_c1,nobgs,7,stage 2,consensus,LFMM,97081,34,9,0.264705882352941,0.588235294117647,3.95002,0.257142857142857,1,4.050968,17
V0.5_c1,nobgs,8,stage 2,Simes,EMMAX,100746,51,12,0.235294117647059,0.608695652173913,4.111196,0.24390243902439,1,4.111196,23
V0.5_c1,nobgs,8,stage 1,Simes,EMMAX,101230,52,12,0.230769230769231,0.608695652173913,4.111196,0.24390243902439,1,4.111196,23
V0.5_c1,nobgs,8,stage 2,consensus,EMMAX,100746,49,12,0.244897959183673,0.608695652173913,4.111196,0.232394366197183,1,4.111196,23
V0.5_c1,nobgs,8,stage 2,Simes,LFMM,100746,40,10,0.25,0.521739130434783,4.111196,0.232323232323232,1,4.111196,23
V0.5_c1,nobgs,8,stage 1,Simes,LFMM,101230,43,10,0.232558139534884,0.521739130434783,4.111196,0.221424774056353,1,4.111196,23
V0.5_c1,nobgs,8,stage 2,consensus,LFMM,100746,120,13,0.108333333333333,0.652173913043478,4.111196,0.231546231546232,1,4.111196,23
V0.5_c1,nobgs,9,stage 2,Simes,EMMAX,100958,8,6,0.75,0.421052631578947,4.206382,0.285041224970554,1,4.206382,19
V0.5_c1,nobgs,9,stage 1,Simes,EMMAX,101448,9,7,0.777777777777778,0.473684210526316,4.206382,0.316225027072609,1,4.206382,19
V0.5_c1,nobgs,9,stage 2,consensus,EMMAX,100958,9,7,0.777777777777778,0.473684210526316,4.206382,0.316225027072609,1,4.206382,19
V0.5_c1,nobgs,9,stage 2,Simes,LFMM,100958,6,6,1,0.315789473684211,3.26726,0.304347826086957,1,4.206382,19
V0.5_c1,nobgs,9,stage 1,Simes,LFMM,101448,7,6,0.857142857142857,0.315789473684211,3.26726,0.292038777908343,1,4.206382,19
V0.5_c1,nobgs,9,stage 2,consensus,LFMM,100958,17,9,0.529411764705882,0.578947368421053,4.206382,0.294694525528755,1,4.206382,19
V0.5_c1,nobgs,10,stage 2,Simes,EMMAX,103749,21,9,0.428571428571429,0.476190476190476,4.807848,0.132262412296633,1,4.807848,21
V0.5_c1,nobgs,10,stage 1,Simes,EMMAX,104204,33,10,0.303030303030303,0.523809523809524,4.807848,0.133139605279089,1,4.807848,21
V0.5_c1,nobgs,10,stage 2,consensus,EMMAX,103749,23,8,0.347826086956522,0.380952380952381,4.807848,0.12987012987013,1,4.807848,21
