metric,base,alt,win,loss,tie,sign_p
rec,simes_floor1,simes_floor2,20,7,53,0.0191572904586792
rec,simes_floor2,simes_floor5,26,19,35,0.371298034471012
rec,simes_floor2,simes_floor8,35,22,23,0.111161119103994
rec,snp,simes_floor2,0,63,17,2.16840434497101e-19
rec,snp,simes_floor8,2,65,13,3.08862093886808e-17
prec,simes_floor1,simes_floor2,16,38,26,0.0038382658803261
prec,simes_floor2,simes_floor5,36,30,14,0.538582775245947
prec,simes_floor2,simes_floor8,38,30,12,0.39612484029703
prec,snp,simes_floor2,60,11,9,2.63332853450443e-09
prec,snp,simes_floor8,66,4,10,1.65022516322462e-15
dedup_regions,simes_floor1,simes_floor2,48,10,22,4.51661916311962e-07
dedup_regions,simes_floor2,simes_floor5,39,27,14,0.175285794443036
dedup_regions,simes_floor2,simes_floor8,43,26,11,0.0532893638165138
dedup_regions,snp,simes_floor2,2,72,6,2.93920432697242e-19
dedup_regions,snp,simes_floor8,3,71,6,7.15742840429884e-18
