arm,n_test,flagged,dedup_regions,dedup_tp,prec,rec,cell,tag,env,n_qtn,n_clusters
simes_floor1,99835,18,16,12,0.75,0.631578947368421,V0.5_c1,nobgs,1,19,99835
simes_floor2,45912,22,20,12,0.6,0.631578947368421,V0.5_c1,nobgs,1,19,99835
simes_floor3,26273,23,19,12,0.631578947368421,0.631578947368421,V0.5_c1,nobgs,1,19,99835
simes_floor5,12061,23,19,12,0.631578947368421,0.631578947368421,V0.5_c1,nobgs,1,19,99835
simes_floor8,5771,21,19,11,0.578947368421053,0.578947368421053,V0.5_c1,nobgs,1,19,99835
simes_floor12,3011,17,16,10,0.625,0.526315789473684,V0.5_c1,nobgs,1,19,99835
snp,291388,59,52,12,0.230769230769231,0.631578947368421,V0.5_c1,nobgs,1,19,99835
simes_floor1,101569,20,15,8,0.533333333333333,0.473684210526316,V0.5_c1,nobgs,2,19,101569
simes_floor2,46755,22,15,8,0.533333333333333,0.473684210526316,V0.5_c1,nobgs,2,19,101569
simes_floor3,26826,24,16,8,0.5,0.473684210526316,V0.5_c1,nobgs,2,19,101569
simes_floor5,12608,22,14,8,0.571428571428571,0.473684210526316,V0.5_c1,nobgs,2,19,101569
simes_floor8,5975,18,12,9,0.75,0.526315789473684,V0.5_c1,nobgs,2,19,101569
simes_floor12,3173,18,12,9,0.75,0.526315789473684,V0.5_c1,nobgs,2,19,101569
snp,298741,86,69,13,0.188405797101449,0.736842105263158,V0.5_c1,nobgs,2,19,101569
simes_floor1,99787,28,22,12,0.545454545454545,0.571428571428571,V0.5_c1,nobgs,3,21,99787
simes_floor2,45839,26,22,12,0.545454545454545,0.571428571428571,V0.5_c1,nobgs,3,21,99787
simes_floor3,26318,27,24,12,0.5,0.571428571428571,V0.5_c1,nobgs,3,21,99787
simes_floor5,12231,27,24,12,0.5,0.571428571428571,V0.5_c1,nobgs,3,21,99787
simes_floor8,5830,27,22,12,0.545454545454545,0.571428571428571,V0.5_c1,nobgs,3,21,99787
simes_floor12,3076,25,22,12,0.545454545454545,0.571428571428571,V0.5_c1,nobgs,3,21,99787
snp,294609,132,106,14,0.132075471698113,0.666666666666667,V0.5_c1,nobgs,3,21,99787
simes_floor1,101870,19,13,9,0.692307692307692,0.473684210526316,V0.5_c1,nobgs,4,19,101870
simes_floor2,47046,23,16,11,0.6875,0.578947368421053,V0.5_c1,nobgs,4,19,101870
simes_floor3,26815,22,16,11,0.6875,0.578947368421053,V0.5_c1,nobgs,4,19,101870
simes_floor5,12500,21,16,10,0.625,0.526315789473684,V0.5_c1,nobgs,4,19,101870
simes_floor8,5905,21,18,11,0.611111111111111,0.578947368421053,V0.5_c1,nobgs,4,19,101870
simes_floor12,3148,20,17,10,0.588235294117647,0.526315789473684,V0.5_c1,nobgs,4,19,101870
snp,298132,71,57,13,0.228070175438597,0.68421052631579,V0.5_c1,nobgs,4,19,101870
simes_floor1,99328,9,8,6,0.75,0.4375,V0.5_c1,nobgs,5,16,99328
simes_floor2,45808,9,8,6,0.75,0.4375,V0.5_c1,nobgs,5,16,99328
simes_floor3,26321,11,10,7,0.7,0.5,V0.5_c1,nobgs,5,16,99328
simes_floor5,12225,10,10,6,0.6,0.4375,V0.5_c1,nobgs,5,16,99328
simes_floor8,5795,10,10,5,0.5,0.375,V0.5_c1,nobgs,5,16,99328
simes_floor12,3112,7,7,4,0.571428571428571,0.3125,V0.5_c1,nobgs,5,16,99328
snp,294251,74,71,11,0.154929577464789,0.75,V0.5_c1,nobgs,5,16,99328
simes_floor1,102214,23,22,6,0.272727272727273,0.466666666666667,V0.5_c1,nobgs,6,15,102214
simes_floor2,46949,28,27,6,0.222222222222222,0.466666666666667,V0.5_c1,nobgs,6,15,102214
simes_floor3,26802,23,22,6,0.272727272727273,0.466666666666667,V0.5_c1,nobgs,6,15,102214
simes_floor5,12593,30,29,6,0.206896551724138,0.466666666666667,V0.5_c1,nobgs,6,15,102214
simes_floor8,5900,25,24,6,0.25,0.466666666666667,V0.5_c1,nobgs,6,15,102214
simes_floor12,3057,21,21,6,0.285714285714286,0.466666666666667,V0.5_c1,nobgs,6,15,102214
snp,297429,185,180,9,0.05,0.666666666666667,V0.5_c1,nobgs,6,15,102214
simes_floor1,97081,17,15,8,0.533333333333333,0.5625,V0.5_c1,nobgs,7,16,97081
simes_floor2,44856,20,18,8,0.444444444444444,0.5625,V0.5_c1,nobgs,7,16,97081
simes_floor3,25764,26,22,9,0.409090909090909,0.625,V0.5_c1,nobgs,7,16,97081
simes_floor5,12013,23,19,9,0.473684210526316,0.625,V0.5_c1,nobgs,7,16,97081
simes_floor8,5750,23,18,9,0.5,0.625,V0.5_c1,nobgs,7,16,97081
simes_floor12,3086,22,17,9,0.529411764705882,0.625,V0.5_c1,nobgs,7,16,97081
snp,288782,100,88,9,0.102272727272727,0.625,V0.5_c1,nobgs,7,16,97081
simes_floor1,100746,67,51,12,0.235294117647059,0.666666666666667,V0.5_c1,nobgs,8,21,100746
simes_floor2,46403,54,42,12,0.285714285714286,0.666666666666667,V0.5_c1,nobgs,8,21,100746
simes_floor3,26616,54,42,12,0.285714285714286,0.666666666666667,V0.5_c1,nobgs,8,21,100746
simes_floor5,12248,47,38,12,0.315789473684211,0.666666666666667,V0.5_c1,nobgs,8,21,100746
simes_floor8,5761,40,33,10,0.303030303030303,0.571428571428571,V0.5_c1,nobgs,8,21,100746
simes_floor12,3038,30,24,9,0.375,0.523809523809524,V0.5_c1,nobgs,8,21,100746
snp,297425,226,199,12,0.0603015075376884,0.666666666666667,V0.5_c1,nobgs,8,21,100746
simes_floor1,100958,9,8,6,0.75,0.470588235294118,V0.5_c1,nobgs,9,17,100958
simes_floor2,46805,10,9,7,0.777777777777778,0.529411764705882,V0.5_c1,nobgs,9,17,100958
simes_floor3,26767,10,9,7,0.777777777777778,0.529411764705882,V0.5_c1,nobgs,9,17,100958
simes_floor5,12497,7,6,5,0.833333333333333,0.411764705882353,V0.5_c1,nobgs,9,17,100958
simes_floor8,5884,8,6,5,0.833333333333333,0.411764705882353,V0.5_c1,nobgs,9,17,100958
simes_floor12,3081,10,8,6,0.75,0.470588235294118,V0.5_c1,nobgs,9,17,100958
snp,295558,73,65,10,0.153846153846154,0.705882352941177,V0.5_c1,nobgs,9,17,100958
simes_floor1,103749,26,21,9,0.428571428571429,0.5,V0.5_c1,nobgs,10,20,103749
simes_floor2,47430,35,29,10,0.344827586206897,0.55,V0.5_c1,nobgs,10,20,103749
simes_floor3,27307,34,26,9,0.346153846153846,0.5,V0.5_c1,nobgs,10,20,103749
simes_floor5,12612,29,22,8,0.363636363636364,0.45,V0.5_c1,nobgs,10,20,103749
simes_floor8,5987,26,20,8,0.4,0.45,V0.5_c1,nobgs,10,20,103749
simes_floor12,3221,22,17,8,0.470588235294118,0.45,V0.5_c1,nobgs,10,20,103749
snp,302905,134,118,11,0.0932203389830508,0.6,V0.5_c1,nobgs,10,20,103749
simes_floor1,84732,8,7,4,0.571428571428571,0.238095238095238,V0.5_c1,bgs,1,21,84732
simes_floor2,39535,7,6,4,0.666666666666667,0.238095238095238,V0.5_c1,bgs,1,21,84732
simes_floor3,22493,9,8,4,0.5,0.238095238095238,V0.5_c1,bgs,1,21,84732
simes_floor5,9920,12,10,5,0.5,0.285714285714286,V0.5_c1,bgs,1,21,84732
simes_floor8,4383,20,18,5,0.277777777777778,0.285714285714286,V0.5_c1,bgs,1,21,84732
simes_floor12,2159,23,20,5,0.25,0.285714285714286,V0.5_c1,bgs,1,21,84732
snp,230475,75,69,7,0.101449275362319,0.380952380952381,V0.5_c1,bgs,1,21,84732
simes_floor1,84185,20,20,8,0.4,0.4,V0.5_c1,bgs,2,20,84185
simes_floor2,39624,25,24,8,0.333333333333333,0.4,V0.5_c1,bgs,2,20,84185
simes_floor3,22480,18,18,7,0.388888888888889,0.35,V0.5_c1,bgs,2,20,84185
simes_floor5,9802,17,17,8,0.470588235294118,0.4,V0.5_c1,bgs,2,20,84185
simes_floor8,4380,17,17,9,0.529411764705882,0.45,V0.5_c1,bgs,2,20,84185
simes_floor12,2114,14,13,7,0.538461538461538,0.35,V0.5_c1,bgs,2,20,84185
snp,229687,64,58,11,0.189655172413793,0.55,V0.5_c1,bgs,2,20,84185
simes_floor1,84217,12,12,10,0.833333333333333,0.578947368421053,V0.5_c1,bgs,3,19,84217
simes_floor2,39520,17,15,12,0.8,0.68421052631579,V0.5_c1,bgs,3,19,84217
simes_floor3,22342,16,14,12,0.857142857142857,0.68421052631579,V0.5_c1,bgs,3,19,84217
simes_floor5,9862,18,16,12,0.75,0.68421052631579,V0.5_c1,bgs,3,19,84217
simes_floor8,4371,18,16,13,0.8125,0.736842105263158,V0.5_c1,bgs,3,19,84217
simes_floor12,2113,15,14,11,0.785714285714286,0.631578947368421,V0.5_c1,bgs,3,19,84217
snp,228643,29,25,14,0.56,0.789473684210526,V0.5_c1,bgs,3,19,84217
simes_floor1,85153,10,7,6,0.857142857142857,0.583333333333333,V0.5_c1,bgs,4,12,85153
simes_floor2,39779,10,7,6,0.857142857142857,0.583333333333333,V0.5_c1,bgs,4,12,85153
simes_floor3,22512,9,6,5,0.833333333333333,0.5,V0.5_c1,bgs,4,12,85153
simes_floor5,9868,12,9,7,0.777777777777778,0.75,V0.5_c1,bgs,4,12,85153
simes_floor8,4390,8,8,7,0.875,0.75,V0.5_c1,bgs,4,12,85153
simes_floor12,2101,6,6,6,1,0.666666666666667,V0.5_c1,bgs,4,12,85153
snp,230441,25,21,9,0.428571428571429,0.916666666666667,V0.5_c1,bgs,4,12,85153
simes_floor1,83084,12,12,8,0.666666666666667,0.692307692307692,V0.5_c1,bgs,5,13,83084
simes_floor2,38957,14,14,10,0.714285714285714,0.846153846153846,V0.5_c1,bgs,5,13,83084
simes_floor3,21961,16,16,10,0.625,0.846153846153846,V0.5_c1,bgs,5,13,83084
simes_floor5,9649,16,16,9,0.5625,0.769230769230769,V0.5_c1,bgs,5,13,83084
simes_floor8,4149,13,13,8,0.615384615384615,0.692307692307692,V0.5_c1,bgs,5,13,83084
simes_floor12,1989,12,12,9,0.75,0.769230769230769,V0.5_c1,bgs,5,13,83084
snp,223170,29,28,11,0.392857142857143,0.923076923076923,V0.5_c1,bgs,5,13,83084
simes_floor1,85280,38,24,8,0.333333333333333,0.5625,V0.5_c1,bgs,6,16,85280
simes_floor2,39577,40,26,8,0.307692307692308,0.5625,V0.5_c1,bgs,6,16,85280
simes_floor3,22300,29,21,8,0.380952380952381,0.5625,V0.5_c1,bgs,6,16,85280
simes_floor5,9746,17,13,7,0.538461538461538,0.5,V0.5_c1,bgs,6,16,85280
simes_floor8,4195,8,7,3,0.428571428571429,0.25,V0.5_c1,bgs,6,16,85280
simes_floor12,2047,5,5,3,0.6,0.25,V0.5_c1,bgs,6,16,85280
snp,228467,73,54,9,0.166666666666667,0.625,V0.5_c1,bgs,6,16,85280
simes_floor1,83973,15,13,10,0.769230769230769,0.647058823529412,V0.5_c1,bgs,7,17,83973
simes_floor2,39108,15,14,11,0.785714285714286,0.705882352941177,V0.5_c1,bgs,7,17,83973
simes_floor3,22248,14,12,9,0.75,0.588235294117647,V0.5_c1,bgs,7,17,83973
simes_floor5,9782,15,12,9,0.75,0.647058823529412,V0.5_c1,bgs,7,17,83973
simes_floor8,4340,14,12,8,0.666666666666667,0.588235294117647,V0.5_c1,bgs,7,17,83973
simes_floor12,2087,15,12,7,0.583333333333333,0.529411764705882,V0.5_c1,bgs,7,17,83973
snp,228676,45,38,12,0.315789473684211,0.823529411764706,V0.5_c1,bgs,7,17,83973
simes_floor1,85372,20,19,8,0.421052631578947,0.4,V0.5_c1,bgs,8,20,85372
simes_floor2,39752,27,25,8,0.32,0.4,V0.5_c1,bgs,8,20,85372
simes_floor3,22611,22,20,9,0.45,0.45,V0.5_c1,bgs,8,20,85372
simes_floor5,9909,18,17,9,0.529411764705882,0.45,V0.5_c1,bgs,8,20,85372
simes_floor8,4298,18,17,8,0.470588235294118,0.4,V0.5_c1,bgs,8,20,85372
simes_floor12,2061,20,19,9,0.473684210526316,0.45,V0.5_c1,bgs,8,20,85372
snp,230567,88,83,13,0.156626506024096,0.65,V0.5_c1,bgs,8,20,85372
simes_floor1,85242,0,0,0,0,0,V0.5_c1,bgs,9,19,85242
simes_floor2,39823,2,2,2,1,0.105263157894737,V0.5_c1,bgs,9,19,85242
simes_floor3,22488,4,4,3,0.75,0.157894736842105,V0.5_c1,bgs,9,19,85242
simes_floor5,9984,4,4,3,0.75,0.157894736842105,V0.5_c1,bgs,9,19,85242
simes_floor8,4381,5,5,4,0.8,0.210526315789474,V0.5_c1,bgs,9,19,85242
simes_floor12,2150,6,6,5,0.833333333333333,0.263157894736842,V0.5_c1,bgs,9,19,85242
snp,231231,10,10,6,0.6,0.315789473684211,V0.5_c1,bgs,9,19,85242
simes_floor1,85817,25,18,9,0.5,0.529411764705882,V0.5_c1,bgs,10,17,85817
simes_floor2,40195,26,19,9,0.473684210526316,0.529411764705882,V0.5_c1,bgs,10,17,85817
simes_floor3,22791,22,16,9,0.5625,0.529411764705882,V0.5_c1,bgs,10,17,85817
simes_floor5,10094,22,17,9,0.529411764705882,0.529411764705882,V0.5_c1,bgs,10,17,85817
simes_floor8,4391,17,16,8,0.5,0.470588235294118,V0.5_c1,bgs,10,17,85817
simes_floor12,2078,11,11,6,0.545454545454545,0.352941176470588,V0.5_c1,bgs,10,17,85817
snp,231847,59,47,9,0.191489361702128,0.529411764705882,V0.5_c1,bgs,10,17,85817
simes_floor1,72230,9,9,2,0.222222222222222,0.0666666666666667,V0.5_c2,nobgs,1,30,72230
simes_floor2,36255,11,11,4,0.363636363636364,0.133333333333333,V0.5_c2,nobgs,1,30,72230
simes_floor3,25594,10,10,3,0.3,0.1,V0.5_c2,nobgs,1,30,72230
simes_floor5,16130,12,12,3,0.25,0.1,V0.5_c2,nobgs,1,30,72230
simes_floor8,10148,15,15,2,0.133333333333333,0.0666666666666667,V0.5_c2,nobgs,1,30,72230
simes_floor12,6580,19,19,2,0.105263157894737,0.0666666666666667,V0.5_c2,nobgs,1,30,72230
snp,371421,47,47,5,0.106382978723404,0.166666666666667,V0.5_c2,nobgs,1,30,72230
simes_floor1,73046,104,102,4,0.0392156862745098,0.111111111111111,V0.5_c2,nobgs,2,36,73046
simes_floor2,36651,128,126,6,0.0476190476190476,0.194444444444444,V0.5_c2,nobgs,2,36,73046
simes_floor3,25819,132,130,6,0.0461538461538462,0.194444444444444,V0.5_c2,nobgs,2,36,73046
simes_floor5,16430,136,134,5,0.0373134328358209,0.138888888888889,V0.5_c2,nobgs,2,36,73046
simes_floor8,10258,141,139,7,0.0503597122302158,0.194444444444444,V0.5_c2,nobgs,2,36,73046
simes_floor12,6512,131,129,7,0.0542635658914729,0.194444444444444,V0.5_c2,nobgs,2,36,73046
snp,370792,274,271,10,0.03690036900369,0.305555555555556,V0.5_c2,nobgs,2,36,73046
simes_floor1,72600,62,61,9,0.147540983606557,0.303030303030303,V0.5_c2,nobgs,3,33,72600
simes_floor2,36633,65,64,9,0.140625,0.303030303030303,V0.5_c2,nobgs,3,33,72600
simes_floor3,25938,64,63,9,0.142857142857143,0.303030303030303,V0.5_c2,nobgs,3,33,72600
simes_floor5,16486,69,68,10,0.147058823529412,0.333333333333333,V0.5_c2,nobgs,3,33,72600
simes_floor8,10431,73,72,10,0.138888888888889,0.333333333333333,V0.5_c2,nobgs,3,33,72600
simes_floor12,6654,77,76,10,0.131578947368421,0.333333333333333,V0.5_c2,nobgs,3,33,72600
snp,373584,105,101,12,0.118811881188119,0.393939393939394,V0.5_c2,nobgs,3,33,72600
simes_floor1,73546,11,11,2,0.181818181818182,0.0571428571428571,V0.5_c2,nobgs,4,35,73546
simes_floor2,36608,7,7,1,0.142857142857143,0.0285714285714286,V0.5_c2,nobgs,4,35,73546
simes_floor3,25799,17,16,2,0.125,0.0571428571428571,V0.5_c2,nobgs,4,35,73546
simes_floor5,16147,28,27,5,0.185185185185185,0.171428571428571,V0.5_c2,nobgs,4,35,73546
simes_floor8,10037,38,37,6,0.162162162162162,0.2,V0.5_c2,nobgs,4,35,73546
simes_floor12,6408,47,46,8,0.173913043478261,0.257142857142857,V0.5_c2,nobgs,4,35,73546
snp,370248,139,137,11,0.0802919708029197,0.342857142857143,V0.5_c2,nobgs,4,35,73546
simes_floor1,71812,0,0,0,0,0,V0.5_c2,nobgs,5,31,71812
simes_floor2,36119,0,0,0,0,0,V0.5_c2,nobgs,5,31,71812
simes_floor3,25465,0,0,0,0,0,V0.5_c2,nobgs,5,31,71812
