l_min,PR_AUC,n_disc,tp_disc,method,env,gif
1,0.110207514072018,86,4,chain,1,1.04956975859462
2,0.167221304885374,32,4,chain,1,1.04956975859462
4,0.175210437710438,12,3,chain,1,1.04956975859462
8,0.191477272727273,6,2,chain,1,1.04956975859462
1,0.23543643420455,312,11,chain,2,1.09276526700009
2,0.317990703253861,136,11,chain,2,1.09276526700009
4,0.37035002035002,65,10,chain,2,1.09276526700009
8,0.39273088023088,32,10,chain,2,1.09276526700009
1,0.556127463867402,104,12,chain,3,1.02442120055515
2,0.466088315660663,42,10,chain,3,1.02442120055515
4,0.494814494425221,23,10,chain,3,1.02442120055515
8,0.483128168878676,15,10,chain,3,1.02442120055515
1,0.403198025026383,98,9,chain,4,1.0741143874217
2,0.40719944543474,35,9,chain,4,1.0741143874217
4,0.545173902894491,16,8,chain,4,1.0741143874217
8,0.483665458937198,11,7,chain,4,1.0741143874217
1,0.226606726606727,0,0,chain,5,1.09395636658666
2,0.285353535353535,0,0,chain,5,1.09395636658666
4,0.295454545454545,0,0,chain,5,1.09395636658666
8,0.0909090909090909,0,0,chain,5,1.09395636658666
1,0.00142450142450142,32,1,chain,6,1.04632569698831
2,0.00384615384615385,12,1,chain,6,1.04632569698831
4,0.00961538461538462,6,1,chain,6,1.04632569698831
8,0.0192307692307692,4,1,chain,6,1.04632569698831
1,0.205094422485727,68,7,chain,7,1.01905876312082
2,0.135185185185185,27,5,chain,7,1.01905876312082
4,0.13037037037037,12,5,chain,7,1.01905876312082
8,0.118293650793651,9,5,chain,7,1.01905876312082
1,0.2239154209426,154,7,chain,8,1.01885473703741
2,0.325399119488001,63,7,chain,8,1.01885473703741
4,0.322914555893279,28,5,chain,8,1.01885473703741
8,0.332602339181287,17,5,chain,8,1.01885473703741
1,,0,0,chain,9,0.952557127931637
2,,0,0,chain,9,0.952557127931637
4,,0,0,chain,9,0.952557127931637
8,,0,0,chain,9,0.952557127931637
1,0.067973074708826,80,3,chain,10,1.03379195522507
2,0.0792054099746408,29,3,chain,10,1.03379195522507
4,0.0980311355311355,12,3,chain,10,1.03379195522507
8,0.108974358974359,7,3,chain,10,1.03379195522507
1,0.0987248671991319,70,4,chain_centred,1,1.05135567892029
2,0.139756944444444,32,4,chain_centred,1,1.05135567892029
4,0.193719073324336,10,3,chain_centred,1,1.05135567892029
8,0.185866013071895,6,2,chain_centred,1,1.05135567892029
1,0.215677655677656,267,11,chain_centred,2,1.08565371138168
2,0.305270483556562,122,10,chain_centred,2,1.08565371138168
4,0.376139601139601,61,10,chain_centred,2,1.08565371138168
8,0.398412698412698,29,10,chain_centred,2,1.08565371138168
1,0.551233364831877,97,12,chain_centred,3,1.00992787289339
2,0.460319582378406,39,10,chain_centred,3,1.00992787289339
4,0.465653103346602,22,10,chain_centred,3,1.00992787289339
8,0.459771600948072,14,9,chain_centred,3,1.00992787289339
1,0.39288507191733,98,9,chain_centred,4,1.0737004654267
2,0.409724697959992,36,9,chain_centred,4,1.0737004654267
4,0.537419892199304,18,9,chain_centred,4,1.0737004654267
8,0.487581168831169,11,7,chain_centred,4,1.0737004654267
1,0.182547399124939,0,0,chain_centred,5,1.10826097547439
2,0.279220779220779,0,0,chain_centred,5,1.10826097547439
4,0.166666666666667,0,0,chain_centred,5,1.10826097547439
8,0.0909090909090909,0,0,chain_centred,5,1.10826097547439
1,0.0013262599469496,18,0,chain_centred,6,1.0539853202117
2,0.00320512820512821,5,0,chain_centred,6,1.0539853202117
4,0.0054945054945055,1,0,chain_centred,6,1.0539853202117
8,0.0128205128205128,1,0,chain_centred,6,1.0539853202117
1,0.271248760622982,67,7,chain_centred,7,1.01628372574391
2,0.169707508471553,30,5,chain_centred,7,1.01628372574391
4,0.150263157894737,14,5,chain_centred,7,1.01628372574391
8,0.122738095238095,9,5,chain_centred,7,1.01628372574391
1,0.261704612879384,83,7,chain_centred,8,1.0438231019126
2,0.28045975629309,31,5,chain_centred,8,1.0438231019126
4,0.32911036036036,15,4,chain_centred,8,1.0438231019126
8,0.29229797979798,10,4,chain_centred,8,1.0438231019126
1,0.0010752688172043,0,0,chain_centred,9,0.968665573087054
2,0.00185185185185185,0,0,chain_centred,9,0.968665573087054
4,0,0,0,chain_centred,9,0.968665573087054
8,0,0,0,chain_centred,9,0.968665573087054
1,0.06232741617357,75,3,chain_centred,10,1.02952515422447
2,0.0746782039268623,27,3,chain_centred,10,1.02952515422447
4,0.0955128205128205,12,3,chain_centred,10,1.02952515422447
8,0.107692307692308,6,3,chain_centred,10,1.02952515422447
1,0.111028116531165,90,4,ldw_008,1,1.16590187915923
2,0.162112602088928,38,4,ldw_008,1,1.16590187915923
4,0.242191500256016,14,3,ldw_008,1,1.16590187915923
8,0.184232026143791,10,3,ldw_008,1,1.16590187915923
1,0.243313940961,384,11,ldw_008,2,1.25119109715502
2,0.320944845774567,169,11,ldw_008,2,1.25119109715502
4,0.366524216524217,87,10,ldw_008,2,1.25119109715502
8,0.38042328042328,42,10,ldw_008,2,1.25119109715502
1,0.564733468837142,145,13,ldw_008,3,1.13660048160205
2,0.493519189571766,61,10,ldw_008,3,1.13660048160205
4,0.526151475230882,35,10,ldw_008,3,1.13660048160205
8,0.55452847805789,22,10,ldw_008,3,1.13660048160205
1,0.244927556605188,125,8,ldw_008,4,1.20680195165931
2,0.274183430948137,54,8,ldw_008,4,1.20680195165931
4,0.361592487373737,23,8,ldw_008,4,1.20680195165931
8,0.399038461538462,14,8,ldw_008,4,1.20680195165931
1,0.321063432150422,15,4,ldw_008,5,1.19026191972946
2,0.362964320625611,8,4,ldw_008,5,1.19026191972946
4,0.381313131313131,3,2,ldw_008,5,1.19026191972946
8,0.21969696969697,1,1,ldw_008,5,1.19026191972946
1,0.00641025641025641,111,1,ldw_008,6,1.19912799660183
2,0.0128205128205128,50,1,ldw_008,6,1.19912799660183
4,0.0128205128205128,23,1,ldw_008,6,1.19912799660183
8,0.0769230769230769,12,1,ldw_008,6,1.19912799660183
1,0.191302832244009,96,7,ldw_008,7,1.08557148022776
2,0.146337772397094,36,5,ldw_008,7,1.08557148022776
4,0.158250360750361,17,5,ldw_008,7,1.08557148022776
8,0.1175,9,5,ldw_008,7,1.08557148022776
1,0.261925616919355,195,8,ldw_008,8,1.13843558442677
2,0.255314437428448,85,7,ldw_008,8,1.13843558442677
4,0.312543515751363,36,6,ldw_008,8,1.13843558442677
8,0.267182817182817,24,6,ldw_008,8,1.13843558442677
1,0.00101010101010101,0,0,ldw_008,9,1.01929648935612
2,0.00175438596491228,0,0,ldw_008,9,1.01929648935612
4,0,0,0,ldw_008,9,1.01929648935612
8,0,0,0,ldw_008,9,1.01929648935612
1,0.0517539405123247,127,4,ldw_008,10,1.11539667613097
2,0.0790116795202806,52,4,ldw_008,10,1.11539667613097
4,0.0948481625900981,22,4,ldw_008,10,1.11539667613097
8,0.123260073260073,9,3,ldw_008,10,1.11539667613097
1,0.0439540632242745,41,4,ldw_b,1,0.931951033623896
2,0.0928551976346094,25,2,ldw_b,1,0.931951033623896
4,0.179166666666667,9,2,ldw_b,1,0.931951033623896
8,0.172916666666667,3,0,ldw_b,1,0.931951033623896
1,0.202938766222172,326,11,ldw_b,2,0.963209165724977
2,0.279555944055944,132,10,ldw_b,2,0.963209165724977
4,0.382184990934991,55,10,ldw_b,2,0.963209165724977
8,0.451617826617827,25,10,ldw_b,2,0.963209165724977
1,0.538947117308462,47,11,ldw_b,3,0.939184625484273
2,0.43304714261071,27,9,ldw_b,3,0.939184625484273
4,0.48902564649048,18,9,ldw_b,3,0.939184625484273
8,0.491968325791855,13,8,ldw_b,3,0.939184625484273
1,0.39926175065769,105,6,ldw_b,4,0.915886894954039
2,0.448533832725009,35,6,ldw_b,4,0.915886894954039
4,0.536786786786787,15,6,ldw_b,4,0.915886894954039
8,0.449074074074074,10,6,ldw_b,4,0.915886894954039
1,0.254301075268817,2,1,ldw_b,5,0.96755026942166
2,0.363636363636364,1,1,ldw_b,5,0.96755026942166
4,0.363636363636364,0,0,ldw_b,5,0.96755026942166
8,0.272727272727273,0,0,ldw_b,5,0.96755026942166
1,0.000874125874125874,16,0,ldw_b,6,0.956646784034158
2,0.00192307692307692,7,0,ldw_b,6,0.956646784034158
4,0.00427350427350427,1,0,ldw_b,6,0.956646784034158
8,0.00769230769230769,1,0,ldw_b,6,0.956646784034158
1,0.158622782446312,66,7,ldw_b,7,0.915352026224929
2,0.111851851851852,27,5,ldw_b,7,0.915352026224929
4,0.123756613756614,14,5,ldw_b,7,0.915352026224929
8,0.117566137566138,8,5,ldw_b,7,0.915352026224929
1,0.251122832645603,114,6,ldw_b,8,0.911368131563321
2,0.299867543171115,46,5,ldw_b,8,0.911368131563321
4,0.374956488443331,18,4,ldw_b,8,0.911368131563321
8,0.233630952380952,15,4,ldw_b,8,0.911368131563321
1,,0,0,ldw_b,9,0.889410714472328
2,,0,0,ldw_b,9,0.889410714472328
4,,0,0,ldw_b,9,0.889410714472328
8,,0,0,ldw_b,9,0.889410714472328
1,0.0477453580901857,101,4,ldw_b,10,0.941871450814718
2,0.0477869780990398,36,3,ldw_b,10,0.941871450814718
4,0.0863076834613837,14,3,ldw_b,10,0.941871450814718
8,0.104945054945055,7,3,ldw_b,10,0.941871450814718
