method,l_min,gif,PR_AUC,SE,n_disc,n_disc_SE,tp_disc
chain,1,1.041,0.226,0.056,93.4,28.61,5.4
chain,2,1.041,0.243,0.052,37.6,12.5,5
chain,4,1.041,0.271,0.061,17.4,5.99,4.5
chain,8,1.041,0.247,0.06,10.1,3.02,4.3
chain_centred,1,1.044,0.204,0.056,77.5,24.14,5.3
chain_centred,2,1.044,0.212,0.051,32.2,11.04,4.6
chain_centred,4,1.044,0.232,0.059,15.3,5.63,4.4
chain_centred,8,1.044,0.216,0.057,8.6,2.73,4
ldw_008,1,1.151,0.2,0.054,128.8,33.7,6
ldw_008,2,1.151,0.211,0.05,55.3,14.85,5.4
ldw_008,4,1.151,0.246,0.055,26,7.72,4.9
ldw_008,8,1.151,0.232,0.054,14.3,3.92,4.7
ldw_b,1,0.933,0.211,0.059,81.8,30.2,5
ldw_b,2,0.933,0.231,0.057,33.6,11.97,4.1
ldw_b,4,0.933,0.282,0.063,14.4,5.05,3.9
ldw_b,8,0.933,0.256,0.058,8.2,2.52,3.6
