l_min,PR_AUC,method,env,gif
1,0.0995700617449565,chain,1,1.04956975859462
2,0.168545532800981,chain,1,1.04956975859462
4,0.195069112174375,chain,1,1.04956975859462
8,0.190719696969697,chain,1,1.04956975859462
1,0.244200029989504,chain,2,1.09276526700009
2,0.303575605680869,chain,2,1.09276526700009
4,0.370919820919821,chain,2,1.09276526700009
8,0.382281144781145,chain,2,1.09276526700009
1,0.555983722160193,chain,3,1.02442120055515
2,0.466888258800024,chain,3,1.02442120055515
4,0.492544275774826,chain,3,1.02442120055515
8,0.491862571730726,chain,3,1.02442120055515
1,0.394089078417437,chain,4,1.0741143874217
2,0.388924963924964,chain,4,1.0741143874217
4,0.537733426704015,chain,4,1.0741143874217
8,0.507864176885916,chain,4,1.0741143874217
1,0.226606726606727,chain,5,1.09395636658666
2,0.285353535353535,chain,5,1.09395636658666
4,0.295454545454545,chain,5,1.09395636658666
8,0.0909090909090909,chain,5,1.09395636658666
1,0.117743077732832,ldw_008,1,1.16590187915923
2,0.150352254428341,ldw_008,1,1.16590187915923
4,0.244618055555556,ldw_008,1,1.16590187915923
8,0.18287037037037,ldw_008,1,1.16590187915923
1,0.245175967823027,ldw_008,2,1.25119109715502
2,0.303299089970917,ldw_008,2,1.25119109715502
4,0.36974358974359,ldw_008,2,1.25119109715502
8,0.359259259259259,ldw_008,2,1.25119109715502
1,0.564733468837142,ldw_008,3,1.13660048160205
2,0.493385222941636,ldw_008,3,1.13660048160205
4,0.525887369588625,ldw_008,3,1.13660048160205
8,0.55452847805789,ldw_008,3,1.13660048160205
1,0.241051083978716,ldw_008,4,1.20680195165931
2,0.273004340465249,ldw_008,4,1.20680195165931
4,0.362824675324675,ldw_008,4,1.20680195165931
8,0.399038461538462,ldw_008,4,1.20680195165931
1,0.321063432150422,ldw_008,5,1.19026191972946
2,0.362964320625611,ldw_008,5,1.19026191972946
4,0.381313131313131,ldw_008,5,1.19026191972946
8,0.21969696969697,ldw_008,5,1.19026191972946
1,0.0446237060814173,ldw_b,1,0.931951033623896
2,0.091765873015873,ldw_b,1,0.931951033623896
4,0.179166666666667,ldw_b,1,0.931951033623896
8,0.172916666666667,ldw_b,1,0.931951033623896
1,0.195600408187599,ldw_b,2,0.963209165724977
2,0.272030691530691,ldw_b,2,0.963209165724977
4,0.379268324268324,ldw_b,2,0.963209165724977
8,0.45479242979243,ldw_b,2,0.963209165724977
1,0.533381542496258,ldw_b,3,0.939184625484273
2,0.435472370766488,ldw_b,3,0.939184625484273
4,0.483723262032085,ldw_b,3,0.939184625484273
8,0.474084249084249,ldw_b,3,0.939184625484273
1,0.396565052263022,ldw_b,4,0.915886894954039
2,0.437722578347578,ldw_b,4,0.915886894954039
4,0.541416416416416,ldw_b,4,0.915886894954039
8,0.449074074074074,ldw_b,4,0.915886894954039
1,0.254301075268817,ldw_b,5,0.96755026942166
2,0.363636363636364,ldw_b,5,0.96755026942166
4,0.363636363636364,ldw_b,5,0.96755026942166
8,0.272727272727273,ldw_b,5,0.96755026942166
