analysis,flagged,contain,tag_not_contain,neither,satellites,raw_prec,raw_rec,dedup_regions,dedup_tp,dedup_qtn,dedup_prec,dedup_rec,cell,tag,env,n_qtn,n_clusters
snp,58,14,9,35,9,0.241379310344828,0.736842105263158,49,14,14,0.285714285714286,0.736842105263158,V0.5_c1,nobgs,1,19,99835
snp_n2,56,15,9,32,9,0.267857142857143,0.789473684210526,47,15,15,0.319148936170213,0.789473684210526,V0.5_c1,nobgs,1,19,99835
snp_n5,52,15,8,29,8,0.288461538461538,0.789473684210526,44,15,15,0.340909090909091,0.789473684210526,V0.5_c1,nobgs,1,19,99835
simes_only_sparse,8,2,1,5,0,0.25,0.105263157894737,8,3,3,0.375,0.157894736842105,V0.5_c1,nobgs,1,19,99835
simes_only_longdense,13,8,1,4,0,0.615384615384615,0.421052631578947,13,9,9,0.692307692307692,0.473684210526316,V0.5_c1,nobgs,1,19,99835
simes_nosparse,17,9,2,6,2,0.529411764705882,0.473684210526316,15,9,9,0.6,0.473684210526316,V0.5_c1,nobgs,1,19,99835
simes_n2_nosparse,16,9,2,5,2,0.5625,0.473684210526316,14,9,9,0.642857142857143,0.473684210526316,V0.5_c1,nobgs,1,19,99835
simes_n2,21,11,3,7,3,0.523809523809524,0.578947368421053,18,11,11,0.611111111111111,0.578947368421053,V0.5_c1,nobgs,1,19,99835
rep,14,5,2,7,2,0.357142857142857,0.263157894736842,12,5,5,0.416666666666667,0.263157894736842,V0.5_c1,nobgs,1,19,99835
simes,21,10,3,8,3,0.476190476190476,0.526315789473684,18,10,10,0.555555555555556,0.526315789473684,V0.5_c1,nobgs,1,19,99835
emlg,0,0,0,0,0,,0,0,0,0,0,0,V0.5_c1,nobgs,1,19,99835
snp,105,13,24,68,23,0.123809523809524,0.68421052631579,82,14,15,0.170731707317073,0.789473684210526,V0.5_c1,nobgs,2,19,101569
snp_n2,97,13,21,63,20,0.134020618556701,0.68421052631579,77,14,15,0.181818181818182,0.789473684210526,V0.5_c1,nobgs,2,19,101569
snp_n5,62,13,12,37,11,0.209677419354839,0.68421052631579,51,14,15,0.274509803921569,0.789473684210526,V0.5_c1,nobgs,2,19,101569
simes_only_sparse,7,1,2,4,1,0.142857142857143,0.0526315789473684,6,2,3,0.333333333333333,0.157894736842105,V0.5_c1,nobgs,2,19,101569
simes_only_longdense,10,5,2,3,1,0.5,0.263157894736842,9,6,7,0.666666666666667,0.368421052631579,V0.5_c1,nobgs,2,19,101569
simes_nosparse,39,10,11,18,9,0.256410256410256,0.526315789473684,30,12,13,0.4,0.68421052631579,V0.5_c1,nobgs,2,19,101569
simes_n2_nosparse,42,10,13,19,11,0.238095238095238,0.526315789473684,31,12,13,0.387096774193548,0.68421052631579,V0.5_c1,nobgs,2,19,101569
simes_n2,46,11,15,20,14,0.239130434782609,0.578947368421053,32,12,13,0.375,0.68421052631579,V0.5_c1,nobgs,2,19,101569
rep,34,10,11,13,10,0.294117647058824,0.526315789473684,24,11,11,0.458333333333333,0.578947368421053,V0.5_c1,nobgs,2,19,101569
simes,42,11,13,18,12,0.261904761904762,0.578947368421053,30,12,13,0.4,0.68421052631579,V0.5_c1,nobgs,2,19,101569
emlg,0,0,0,0,0,,0,0,0,0,0,0,V0.5_c1,nobgs,2,19,101569
snp,87,14,15,58,14,0.160919540229885,0.666666666666667,73,15,15,0.205479452054795,0.714285714285714,V0.5_c1,nobgs,3,21,99787
snp_n2,81,14,13,54,12,0.17283950617284,0.666666666666667,69,15,15,0.217391304347826,0.714285714285714,V0.5_c1,nobgs,3,21,99787
snp_n5,64,13,11,40,9,0.203125,0.619047619047619,55,15,15,0.272727272727273,0.714285714285714,V0.5_c1,nobgs,3,21,99787
simes_only_sparse,3,0,2,1,0,0,0,3,2,2,0.666666666666667,0.0952380952380952,V0.5_c1,nobgs,3,21,99787
simes_only_longdense,16,10,1,5,1,0.625,0.476190476190476,15,10,10,0.666666666666667,0.476190476190476,V0.5_c1,nobgs,3,21,99787
simes_nosparse,24,12,3,9,3,0.5,0.571428571428571,21,12,12,0.571428571428571,0.571428571428571,V0.5_c1,nobgs,3,21,99787
simes_n2_nosparse,21,13,0,8,0,0.619047619047619,0.619047619047619,21,13,13,0.619047619047619,0.619047619047619,V0.5_c1,nobgs,3,21,99787
simes_n2,23,13,2,8,2,0.565217391304348,0.619047619047619,21,13,13,0.619047619047619,0.619047619047619,V0.5_c1,nobgs,3,21,99787
rep,22,9,5,8,5,0.409090909090909,0.428571428571429,17,9,9,0.529411764705882,0.428571428571429,V0.5_c1,nobgs,3,21,99787
simes,27,13,5,9,5,0.481481481481482,0.619047619047619,22,13,13,0.590909090909091,0.619047619047619,V0.5_c1,nobgs,3,21,99787
emlg,0,0,0,0,0,,0,0,0,0,0,0,V0.5_c1,nobgs,3,21,99787
snp,78,14,25,39,24,0.17948717948718,0.736842105263158,54,15,15,0.277777777777778,0.789473684210526,V0.5_c1,nobgs,4,19,101870
snp_n2,76,14,24,38,23,0.184210526315789,0.736842105263158,53,15,15,0.283018867924528,0.789473684210526,V0.5_c1,nobgs,4,19,101870
snp_n5,56,14,16,26,14,0.25,0.736842105263158,42,16,16,0.380952380952381,0.842105263157895,V0.5_c1,nobgs,4,19,101870
simes_only_sparse,6,4,0,2,0,0.666666666666667,0.210526315789474,6,4,5,0.666666666666667,0.263157894736842,V0.5_c1,nobgs,4,19,101870
simes_only_longdense,17,5,6,6,3,0.294117647058824,0.263157894736842,14,8,8,0.571428571428571,0.421052631578947,V0.5_c1,nobgs,4,19,101870
simes_nosparse,17,6,9,2,7,0.352941176470588,0.315789473684211,10,8,8,0.8,0.421052631578947,V0.5_c1,nobgs,4,19,101870
simes_n2_nosparse,16,7,8,1,6,0.4375,0.368421052631579,10,9,9,0.9,0.473684210526316,V0.5_c1,nobgs,4,19,101870
simes_n2,25,12,10,3,9,0.48,0.631578947368421,16,13,13,0.8125,0.68421052631579,V0.5_c1,nobgs,4,19,101870
rep,21,9,8,4,6,0.428571428571429,0.473684210526316,15,11,12,0.733333333333333,0.631578947368421,V0.5_c1,nobgs,4,19,101870
simes,23,11,9,3,8,0.478260869565217,0.578947368421053,15,12,12,0.8,0.631578947368421,V0.5_c1,nobgs,4,19,101870
emlg,0,0,0,0,0,,0,0,0,0,0,0,V0.5_c1,nobgs,4,19,101870
snp,25,8,4,13,3,0.32,0.5,22,9,9,0.409090909090909,0.5625,V0.5_c1,nobgs,5,16,99328
snp_n2,22,8,4,10,4,0.363636363636364,0.5,18,8,8,0.444444444444444,0.5,V0.5_c1,nobgs,5,16,99328
snp_n5,19,7,1,11,1,0.368421052631579,0.4375,18,7,7,0.388888888888889,0.4375,V0.5_c1,nobgs,5,16,99328
simes_only_sparse,2,1,0,1,0,0.5,0.0625,2,1,1,0.5,0.0625,V0.5_c1,nobgs,5,16,99328
simes_only_longdense,6,4,0,2,0,0.666666666666667,0.25,6,4,4,0.666666666666667,0.25,V0.5_c1,nobgs,5,16,99328
simes_nosparse,9,6,2,1,1,0.666666666666667,0.375,8,7,7,0.875,0.4375,V0.5_c1,nobgs,5,16,99328
