tau,l_min,basis,n_obs,n_sig,n,hit,rec,precision
0.05,2,env_orth,35,35,35,4,0.333333333333333,0.114285714285714
0.05,3,env_orth,17,17,17,3,0.25,0.176470588235294
0.05,5,env_orth,8,8,8,3,0.25,0.375
0.05,10,env_orth,4,4,4,2,0.166666666666667,0.5
0.05,20,env_orth,2,2,2,1,0.0833333333333333,0.5
0.1,2,env_orth,31,31,31,4,0.333333333333333,0.129032258064516
0.1,3,env_orth,15,15,15,3,0.25,0.2
0.1,5,env_orth,6,6,6,3,0.25,0.5
0.1,10,env_orth,3,3,3,2,0.166666666666667,0.666666666666667
0.1,20,env_orth,1,1,1,1,0.0833333333333333,1
0.15,2,env_orth,26,26,26,4,0.333333333333333,0.153846153846154
0.15,3,env_orth,10,10,10,3,0.25,0.3
0.15,5,env_orth,6,6,6,3,0.25,0.5
0.15,10,env_orth,3,3,3,2,0.166666666666667,0.666666666666667
0.15,20,env_orth,1,1,1,1,0.0833333333333333,1
0.2,2,env_orth,22,22,22,3,0.25,0.136363636363636
0.2,3,env_orth,10,10,10,2,0.166666666666667,0.2
0.2,5,env_orth,5,5,5,2,0.166666666666667,0.4
0.2,10,env_orth,3,3,3,2,0.166666666666667,0.666666666666667
0.2,20,env_orth,1,1,1,1,0.0833333333333333,1
0.25,2,env_orth,17,17,17,3,0.25,0.176470588235294
0.25,3,env_orth,9,9,9,2,0.166666666666667,0.222222222222222
0.25,5,env_orth,5,5,5,2,0.166666666666667,0.4
0.25,10,env_orth,2,2,2,2,0.166666666666667,1
0.25,20,env_orth,1,1,1,1,0.0833333333333333,1
0.3,2,env_orth,15,15,15,3,0.25,0.2
0.3,3,env_orth,8,8,8,2,0.166666666666667,0.25
0.3,5,env_orth,4,4,4,2,0.166666666666667,0.5
0.3,10,env_orth,2,2,2,2,0.166666666666667,1
0.3,20,env_orth,1,1,1,1,0.0833333333333333,1
0.05,2,genetic,35,35,35,4,0.333333333333333,0.114285714285714
0.05,3,genetic,17,17,17,3,0.25,0.176470588235294
0.05,5,genetic,8,8,8,3,0.25,0.375
0.05,10,genetic,4,4,4,2,0.166666666666667,0.5
0.05,20,genetic,2,2,2,1,0.0833333333333333,0.5
0.1,2,genetic,31,31,31,4,0.333333333333333,0.129032258064516
0.1,3,genetic,15,15,15,3,0.25,0.2
0.1,5,genetic,6,6,6,3,0.25,0.5
0.1,10,genetic,3,3,3,2,0.166666666666667,0.666666666666667
0.1,20,genetic,1,1,1,1,0.0833333333333333,1
0.15,2,genetic,26,26,26,4,0.333333333333333,0.153846153846154
0.15,3,genetic,10,10,10,3,0.25,0.3
0.15,5,genetic,6,6,6,3,0.25,0.5
0.15,10,genetic,3,3,3,2,0.166666666666667,0.666666666666667
0.15,20,genetic,1,1,1,1,0.0833333333333333,1
0.2,2,genetic,22,22,22,3,0.25,0.136363636363636
0.2,3,genetic,10,10,10,2,0.166666666666667,0.2
0.2,5,genetic,5,5,5,2,0.166666666666667,0.4
0.2,10,genetic,3,3,3,2,0.166666666666667,0.666666666666667
0.2,20,genetic,1,1,1,1,0.0833333333333333,1
0.25,2,genetic,17,17,17,3,0.25,0.176470588235294
0.25,3,genetic,9,9,9,2,0.166666666666667,0.222222222222222
0.25,5,genetic,5,5,5,2,0.166666666666667,0.4
0.25,10,genetic,2,2,2,2,0.166666666666667,1
0.25,20,genetic,1,1,1,1,0.0833333333333333,1
0.3,2,genetic,15,15,15,3,0.25,0.2
0.3,3,genetic,8,8,8,2,0.166666666666667,0.25
0.3,5,genetic,4,4,4,2,0.166666666666667,0.5
0.3,10,genetic,2,2,2,2,0.166666666666667,1
0.3,20,genetic,1,1,1,1,0.0833333333333333,1
