env,engine,l_min,n_qtn,alpha_n,alpha_tp,C_n,C_tp
1,emmax,2,12,10,2,35,4
1,emmax,3,12,4,2,17,3
1,emmax,5,12,2,2,8,3
1,emmax,10,12,2,2,4,2
1,emmax,20,12,1,1,2,1
1,lfmm,2,12,1,1,3,2
1,lfmm,3,12,1,1,2,1
1,lfmm,5,12,0,0,1,1
1,lfmm,10,12,0,0,1,1
1,lfmm,20,12,0,0,0,0
2,emmax,2,15,75,10,130,10
2,emmax,3,15,47,10,90,10
2,emmax,5,15,28,10,50,10
2,emmax,10,15,14,9,23,10
2,emmax,20,15,11,9,13,10
2,lfmm,2,15,45,8,61,10
2,lfmm,3,15,34,8,43,9
2,lfmm,5,15,21,8,29,9
2,lfmm,10,15,16,7,17,9
2,lfmm,20,15,11,7,14,9
3,emmax,2,17,11,7,41,10
3,emmax,3,17,9,7,30,10
3,emmax,5,17,8,6,18,10
3,emmax,10,17,6,5,13,9
3,emmax,20,17,2,2,10,8
3,lfmm,2,17,12,8,19,9
3,lfmm,3,17,10,8,12,9
3,lfmm,5,17,9,8,11,9
3,lfmm,10,17,7,6,9,8
3,lfmm,20,17,4,4,6,5
4,emmax,2,12,14,6,37,8
4,emmax,3,12,13,6,25,7
4,emmax,5,12,9,5,13,7
4,emmax,10,12,7,4,10,7
4,emmax,20,12,6,4,8,6
4,lfmm,2,12,8,5,9,6
4,lfmm,3,12,8,5,9,6
4,lfmm,5,12,8,5,8,6
4,lfmm,10,12,5,3,7,5
4,lfmm,20,12,5,3,7,5
5,emmax,2,11,0,0,1,1
5,emmax,3,11,0,0,0,0
5,emmax,5,11,0,0,0,0
5,emmax,10,11,0,0,0,0
5,emmax,20,11,0,0,0,0
5,lfmm,2,11,2,2,2,2
5,lfmm,3,11,0,0,1,1
5,lfmm,5,11,0,0,0,0
5,lfmm,10,11,0,0,0,0
5,lfmm,20,11,0,0,0,0
6,emmax,2,13,7,0,14,2
6,emmax,3,13,2,0,8,2
6,emmax,5,13,1,0,6,2
6,emmax,10,13,0,0,3,2
6,emmax,20,13,0,0,2,2
6,lfmm,2,13,12,1,15,1
6,lfmm,3,13,8,1,10,1
6,lfmm,5,13,5,1,7,1
6,lfmm,10,13,2,1,2,1
6,lfmm,20,13,1,1,1,1
7,emmax,2,15,10,5,21,5
7,emmax,3,15,8,4,15,5
7,emmax,5,15,6,3,10,5
7,emmax,10,15,3,0,7,4
7,emmax,20,15,2,0,3,2
7,lfmm,2,15,5,3,10,4
7,lfmm,3,15,4,3,8,4
7,lfmm,5,15,3,2,6,3
7,lfmm,10,15,1,0,3,0
7,lfmm,20,15,0,0,2,0
8,emmax,2,12,35,4,49,6
8,emmax,3,12,22,4,28,6
8,emmax,5,12,12,4,18,5
8,emmax,10,12,7,3,11,5
8,emmax,20,12,5,1,7,4
8,lfmm,2,12,29,5,29,6
8,lfmm,3,12,21,4,21,6
8,lfmm,5,12,15,3,14,5
8,lfmm,10,12,6,2,10,5
8,lfmm,20,12,2,1,7,4
