tau,l_min,env,basis,n_obs,n_sig,n,hit
0.05,2,10,env_orth,28,28,28,3
0.05,3,10,env_orth,16,16,16,3
0.05,5,10,env_orth,10,10,10,3
0.05,10,10,env_orth,7,7,7,3
0.05,20,10,env_orth,4,4,4,2
0.1,2,10,env_orth,24,24,24,3
0.1,3,10,env_orth,16,16,16,3
0.1,5,10,env_orth,8,8,8,3
0.1,10,10,env_orth,6,6,6,3
0.1,20,10,env_orth,4,4,4,2
0.15,2,10,env_orth,22,22,22,3
0.15,3,10,env_orth,15,15,15,3
0.15,5,10,env_orth,8,8,8,3
0.15,10,10,env_orth,6,6,6,3
0.15,20,10,env_orth,4,4,4,2
0.2,2,10,env_orth,21,21,21,3
0.2,3,10,env_orth,13,13,13,3
0.2,5,10,env_orth,8,8,8,3
0.2,10,10,env_orth,5,5,5,3
0.2,20,10,env_orth,4,4,4,2
0.25,2,10,env_orth,22,22,22,2
0.25,3,10,env_orth,14,14,14,2
0.25,5,10,env_orth,7,7,7,2
0.25,10,10,env_orth,4,4,4,2
0.25,20,10,env_orth,3,3,3,2
0.3,2,10,env_orth,20,20,20,2
0.3,3,10,env_orth,12,12,12,2
0.3,5,10,env_orth,6,6,6,2
0.3,10,10,env_orth,4,4,4,2
0.3,20,10,env_orth,3,3,3,2
0.05,2,10,genetic,28,28,28,3
0.05,3,10,genetic,16,16,16,3
0.05,5,10,genetic,10,10,10,3
0.05,10,10,genetic,7,7,7,3
0.05,20,10,genetic,4,4,4,2
0.1,2,10,genetic,24,24,24,3
0.1,3,10,genetic,16,16,16,3
0.1,5,10,genetic,8,8,8,3
0.1,10,10,genetic,6,6,6,3
0.1,20,10,genetic,4,4,4,2
0.15,2,10,genetic,22,22,22,3
0.15,3,10,genetic,15,15,15,3
0.15,5,10,genetic,8,8,8,3
0.15,10,10,genetic,6,6,6,3
0.15,20,10,genetic,4,4,4,2
0.2,2,10,genetic,21,21,21,3
0.2,3,10,genetic,13,13,13,3
0.2,5,10,genetic,8,8,8,3
0.2,10,10,genetic,5,5,5,3
0.2,20,10,genetic,4,4,4,2
0.25,2,10,genetic,22,22,22,2
0.25,3,10,genetic,14,14,14,2
0.25,5,10,genetic,7,7,7,2
0.25,10,10,genetic,4,4,4,2
0.25,20,10,genetic,3,3,3,2
0.3,2,10,genetic,20,20,20,2
0.3,3,10,genetic,12,12,12,2
0.3,5,10,genetic,6,6,6,2
0.3,10,10,genetic,4,4,4,2
0.3,20,10,genetic,3,3,3,2
0.05,2,1,env_orth,35,35,35,4
0.05,3,1,env_orth,17,17,17,3
