tau,l_min,size,has_qtn,qtn
0.05,2,3,FALSE,no QTN
0.05,2,2,FALSE,no QTN
0.05,2,2,FALSE,no QTN
0.05,2,3,FALSE,no QTN
0.05,2,2,FALSE,no QTN
0.05,2,2,TRUE,contains a QTN
0.05,2,2,FALSE,no QTN
0.05,2,16,FALSE,no QTN
0.05,2,3,FALSE,no QTN
0.05,2,3,FALSE,no QTN
0.05,2,7,FALSE,no QTN
0.05,2,3,FALSE,no QTN
0.05,2,2,FALSE,no QTN
0.05,2,2,FALSE,no QTN
0.05,2,2,FALSE,no QTN
0.05,2,2,FALSE,no QTN
0.05,2,2,FALSE,no QTN
0.05,2,2,FALSE,no QTN
0.05,2,4,FALSE,no QTN
0.05,2,8,FALSE,no QTN
0.05,2,6,TRUE,contains a QTN
0.05,2,29,FALSE,no QTN
0.05,2,2,FALSE,no QTN
0.05,2,3,FALSE,no QTN
0.05,2,950,TRUE,contains a QTN
0.05,2,2,FALSE,no QTN
0.05,2,2,FALSE,no QTN
0.05,2,2,FALSE,no QTN
0.05,2,2,FALSE,no QTN
0.05,2,4,FALSE,no QTN
0.05,2,2,FALSE,no QTN
0.05,2,18,TRUE,contains a QTN
0.05,2,3,FALSE,no QTN
0.05,2,9,FALSE,no QTN
0.05,2,2,FALSE,no QTN
0.05,3,3,FALSE,no QTN
0.05,3,3,FALSE,no QTN
0.05,3,16,FALSE,no QTN
0.05,3,3,FALSE,no QTN
0.05,3,3,FALSE,no QTN
0.05,3,7,FALSE,no QTN
0.05,3,3,FALSE,no QTN
0.05,3,4,FALSE,no QTN
0.05,3,8,FALSE,no QTN
0.05,3,6,TRUE,contains a QTN
0.05,3,29,FALSE,no QTN
0.05,3,3,FALSE,no QTN
0.05,3,950,TRUE,contains a QTN
0.05,3,4,FALSE,no QTN
0.05,3,18,TRUE,contains a QTN
0.05,3,3,FALSE,no QTN
0.05,3,9,FALSE,no QTN
0.05,5,16,FALSE,no QTN
0.05,5,7,FALSE,no QTN
0.05,5,8,FALSE,no QTN
0.05,5,6,TRUE,contains a QTN
0.05,5,29,FALSE,no QTN
0.05,5,950,TRUE,contains a QTN
0.05,5,18,TRUE,contains a QTN
0.05,5,9,FALSE,no QTN
0.05,10,16,FALSE,no QTN
0.05,10,29,FALSE,no QTN
0.05,10,950,TRUE,contains a QTN
0.05,10,18,TRUE,contains a QTN
0.05,20,29,FALSE,no QTN
0.05,20,950,TRUE,contains a QTN
0.1,2,2,FALSE,no QTN
0.1,2,2,FALSE,no QTN
0.1,2,3,FALSE,no QTN
0.1,2,2,FALSE,no QTN
0.1,2,2,TRUE,contains a QTN
0.1,2,2,FALSE,no QTN
0.1,2,3,FALSE,no QTN
0.1,2,3,FALSE,no QTN
0.1,2,3,FALSE,no QTN
0.1,2,5,FALSE,no QTN
0.1,2,3,FALSE,no QTN
0.1,2,2,FALSE,no QTN
0.1,2,2,FALSE,no QTN
0.1,2,2,FALSE,no QTN
0.1,2,2,FALSE,no QTN
0.1,2,2,FALSE,no QTN
0.1,2,2,FALSE,no QTN
0.1,2,4,FALSE,no QTN
0.1,2,6,TRUE,contains a QTN
0.1,2,3,FALSE,no QTN
0.1,2,2,FALSE,no QTN
0.1,2,3,FALSE,no QTN
0.1,2,2,FALSE,no QTN
0.1,2,906,TRUE,contains a QTN
0.1,2,13,FALSE,no QTN
0.1,2,2,FALSE,no QTN
0.1,2,2,FALSE,no QTN
0.1,2,2,FALSE,no QTN
0.1,2,18,TRUE,contains a QTN
0.1,2,3,FALSE,no QTN
0.1,2,9,FALSE,no QTN
0.1,3,3,FALSE,no QTN
0.1,3,3,FALSE,no QTN
0.1,3,3,FALSE,no QTN
0.1,3,3,FALSE,no QTN
0.1,3,5,FALSE,no QTN
0.1,3,3,FALSE,no QTN
0.1,3,4,FALSE,no QTN
0.1,3,6,TRUE,contains a QTN
0.1,3,3,FALSE,no QTN
0.1,3,3,FALSE,no QTN
0.1,3,906,TRUE,contains a QTN
0.1,3,13,FALSE,no QTN
0.1,3,18,TRUE,contains a QTN
0.1,3,3,FALSE,no QTN
0.1,3,9,FALSE,no QTN
0.1,5,5,FALSE,no QTN
0.1,5,6,TRUE,contains a QTN
0.1,5,906,TRUE,contains a QTN
0.1,5,13,FALSE,no QTN
0.1,5,18,TRUE,contains a QTN
0.1,5,9,FALSE,no QTN
0.1,10,906,TRUE,contains a QTN
0.1,10,13,FALSE,no QTN
0.1,10,18,TRUE,contains a QTN
0.1,20,906,TRUE,contains a QTN
0.15,2,2,FALSE,no QTN
0.15,2,2,FALSE,no QTN
0.15,2,3,FALSE,no QTN
0.15,2,2,TRUE,contains a QTN
0.15,2,2,FALSE,no QTN
0.15,2,2,FALSE,no QTN
0.15,2,2,FALSE,no QTN
0.15,2,5,FALSE,no QTN
0.15,2,3,FALSE,no QTN
0.15,2,2,FALSE,no QTN
0.15,2,2,FALSE,no QTN
0.15,2,2,FALSE,no QTN
0.15,2,2,FALSE,no QTN
0.15,2,2,FALSE,no QTN
0.15,2,2,FALSE,no QTN
0.15,2,2,FALSE,no QTN
0.15,2,6,TRUE,contains a QTN
0.15,2,3,FALSE,no QTN
0.15,2,2,FALSE,no QTN
0.15,2,903,TRUE,contains a QTN
0.15,2,13,FALSE,no QTN
0.15,2,2,FALSE,no QTN
0.15,2,2,FALSE,no QTN
0.15,2,16,TRUE,contains a QTN
0.15,2,3,FALSE,no QTN
0.15,2,8,FALSE,no QTN
0.15,3,3,FALSE,no QTN
0.15,3,5,FALSE,no QTN
0.15,3,3,FALSE,no QTN
0.15,3,6,TRUE,contains a QTN
0.15,3,3,FALSE,no QTN
0.15,3,903,TRUE,contains a QTN
0.15,3,13,FALSE,no QTN
0.15,3,16,TRUE,contains a QTN
0.15,3,3,FALSE,no QTN
0.15,3,8,FALSE,no QTN
0.15,5,5,FALSE,no QTN
0.15,5,6,TRUE,contains a QTN
0.15,5,903,TRUE,contains a QTN
0.15,5,13,FALSE,no QTN
0.15,5,16,TRUE,contains a QTN
0.15,5,8,FALSE,no QTN
0.15,10,903,TRUE,contains a QTN
0.15,10,13,FALSE,no QTN
0.15,10,16,TRUE,contains a QTN
0.15,20,903,TRUE,contains a QTN
0.2,2,2,FALSE,no QTN
0.2,2,2,FALSE,no QTN
0.2,2,3,FALSE,no QTN
0.2,2,2,TRUE,contains a QTN
0.2,2,2,FALSE,no QTN
0.2,2,5,FALSE,no QTN
0.2,2,3,FALSE,no QTN
0.2,2,2,FALSE,no QTN
0.2,2,2,FALSE,no QTN
0.2,2,2,FALSE,no QTN
0.2,2,2,FALSE,no QTN
0.2,2,2,FALSE,no QTN
0.2,2,3,FALSE,no QTN
0.2,2,3,FALSE,no QTN
0.2,2,2,FALSE,no QTN
0.2,2,900,TRUE,contains a QTN
0.2,2,12,FALSE,no QTN
0.2,2,2,FALSE,no QTN
0.2,2,2,FALSE,no QTN
0.2,2,15,TRUE,contains a QTN
0.2,2,3,FALSE,no QTN
0.2,2,8,FALSE,no QTN
0.2,3,3,FALSE,no QTN
0.2,3,5,FALSE,no QTN
0.2,3,3,FALSE,no QTN
0.2,3,3,FALSE,no QTN
0.2,3,3,FALSE,no QTN
0.2,3,900,TRUE,contains a QTN
0.2,3,12,FALSE,no QTN
0.2,3,15,TRUE,contains a QTN
0.2,3,3,FALSE,no QTN
0.2,3,8,FALSE,no QTN
0.2,5,5,FALSE,no QTN
0.2,5,900,TRUE,contains a QTN
0.2,5,12,FALSE,no QTN
0.2,5,15,TRUE,contains a QTN
0.2,5,8,FALSE,no QTN
0.2,10,900,TRUE,contains a QTN
0.2,10,12,FALSE,no QTN
0.2,10,15,TRUE,contains a QTN
