engine,rho,qstar,markers,regions,tp
emmax,0.05,0,716,7,2
emmax,0.05,0.05,720,7,2
emmax,0.05,0.1,720,7,2
emmax,0.05,0.15,719,7,2
emmax,0.05,0.2,721,7,2
emmax,0.05,0.25,715,6,2
emmax,0.05,0.3,716,6,2
emmax,0.05,0.35,717,6,2
emmax,0.05,0.4,722,6,2
emmax,0.05,0.45,726,5,2
emmax,0.05,0.5,736,6,2
emmax,0.05,0.55,738,6,2
emmax,0.05,0.6,732,6,2
emmax,0.05,0.65,740,6,2
emmax,0.05,0.7,742,8,2
emmax,0.05,0.75,751,8,2
emmax,0.05,0.8,749,10,3
emmax,0.05,0.85,724,5,1
emmax,0.05,0.9,598,3,1
emmax,0.05,0.95,249,13,0
emmax,0.1,0,864,5,2
emmax,0.1,0.05,862,5,2
emmax,0.1,0.1,864,5,2
emmax,0.1,0.15,865,5,2
emmax,0.1,0.2,866,4,2
emmax,0.1,0.25,871,4,2
emmax,0.1,0.3,871,4,2
emmax,0.1,0.35,882,4,2
emmax,0.1,0.4,902,5,2
emmax,0.1,0.45,899,4,2
emmax,0.1,0.5,899,4,2
emmax,0.1,0.55,898,4,2
emmax,0.1,0.6,905,5,2
emmax,0.1,0.65,908,6,2
emmax,0.1,0.7,913,6,2
emmax,0.1,0.75,916,6,3
emmax,0.1,0.8,920,6,2
emmax,0.1,0.85,914,9,2
emmax,0.1,0.9,915,4,1
emmax,0.1,0.95,782,7,1
emmax,0.15,0,903,4,2
emmax,0.15,0.05,902,4,2
emmax,0.15,0.1,902,4,2
emmax,0.15,0.15,905,5,2
emmax,0.15,0.2,906,4,2
emmax,0.15,0.25,908,4,2
emmax,0.15,0.3,916,4,2
emmax,0.15,0.35,920,4,2
emmax,0.15,0.4,941,5,2
emmax,0.15,0.45,941,5,2
emmax,0.15,0.5,943,3,2
emmax,0.15,0.55,944,4,2
emmax,0.15,0.6,946,5,2
emmax,0.15,0.65,950,6,2
emmax,0.15,0.7,953,6,2
