ldw,dcap,n_chr,pct_admissible,pct_under,pct_over,pct_dropped,merge_opp,med_runs
0.00625,10000,160,100,0,0,0,0.979690985465295,233.5
0.00625,25000,160,100,0,0,0,0.995132982320335,64
0.00625,50000,160,100,0,0,0,0.998549987975691,22
0.00625,1e+05,160,95,5,0,0,0.999607859557942,7
0.00625,250000,160,63.75,36.25,0,0,0.999956116280292,2
0.00625,5e+05,160,25.625,74.375,0,0,0.999996700277389,1
0.00625,1e+06,160,3.125,96.875,0,0,1,1
0.00625,2500000,160,0,100,0,0,1,1
0.00625,5e+06,160,0,100,0,0,1,1
0.0125,10000,160,100,0,0,0,0.933619415122579,149.5
0.0125,25000,160,100,0,0,0,0.965666401417319,57
0.0125,50000,160,100,0,0,0,0.980865350104137,28
0.0125,1e+05,160,96.875,3.125,0,0,0.989687280713047,13
0.0125,250000,160,76.25,23.75,0,0,0.996603187228512,5
0.0125,5e+05,160,57.5,42.5,0,0,0.998699029741358,3
0.0125,1e+06,160,51.25,48.75,0,0,0.999475003777441,2
0.0125,2500000,160,35.625,64.375,0,0,0.999927098035173,1
0.0125,5e+06,160,4.375,95.625,0,0,1,1
0.025,10000,160,100,0,0,0,0.888260551748594,102.5
0.025,25000,160,100,0,0,0,0.940803931122306,41
0.025,50000,160,100,0,0,0,0.96517600326094,18
0.025,1e+05,160,100,0,0,0,0.980842618873952,8
0.025,250000,160,89.375,10.625,0,0,0.991571261555436,4
0.025,5e+05,160,64.375,35.625,0,0,0.995642857418127,2
0.025,1e+06,160,46.875,53.125,0,0,0.996919364180087,1
0.025,2500000,160,41.25,58.75,0,0,0.997804607374391,1
0.025,5e+06,160,29.375,70.625,0,0,0.998392618430954,1
0.05,10000,160,95.625,1.875,1.25,1.25,0.712844377325633,22
0.05,25000,160,96.25,1.875,0.625,1.25,0.794355653003144,19.5
0.05,50000,160,95.625,2.5,0.625,1.25,0.848261175932681,12
0.05,1e+05,160,95,3.75,0,1.25,0.906059279208535,8
0.05,250000,160,92.5,6.25,0,1.25,0.9501845986969,4.5
0.05,5e+05,160,81.25,17.5,0,1.25,0.970037507543646,3
0.05,1e+06,160,66.875,31.875,0,1.25,0.98051358874695,2
0.05,2500000,160,45,53.75,0,1.25,0.985599406676777,1
0.05,5e+06,160,26.25,72.5,0,1.25,0.993650239890002,1
0.1,10000,160,53.125,11.25,8.125,27.5,0.69546684195885,5
0.1,25000,160,53.125,11.875,7.5,27.5,0.732437499172484,4.5
0.1,50000,160,53.75,12.5,6.25,27.5,0.765924143718942,4
0.1,1e+05,160,53.125,13.125,6.25,27.5,0.80498705010587,3
0.1,250000,160,47.5,18.75,6.25,27.5,0.845233441766541,2.5
0.1,5e+05,160,45,21.875,5.625,27.5,0.881206084311726,2
0.1,1e+06,160,41.875,25,5.625,27.5,0.891038060019372,2
0.1,2500000,160,36.875,31.25,4.375,27.5,0.919636087779329,2
0.1,5e+06,160,20.625,48.125,3.75,27.5,0.926931191295449,1
