cell,tag,gap,alpha,C,n_qtn,qtn_rec,qtn_ldw,qtn_above_b,gen_rec
V0.5_c1_env1,bgs,-0.0399767201703883,0.32844765643351,0.288470936263122,22,0.515818161694757,0.0301260231011846,0.5,0.832261255768216
V0.5_c1_env1,nobgs,-0.0580902026370292,0.693903912303875,0.635813709666845,19,0,0.0453868502648991,0.631578947368421,0.629387068106072
V0.5_c1_env2,bgs,0.0692234691361265,0.505564622283818,0.574788091419944,20,0.573641629155085,0.0340765699986791,0.55,0.833973592209109
V0.5_c1_env2,nobgs,0.0453379395144427,0.518716941979802,0.564054881494245,20,0.629158563145361,0.0230284935923252,0.3,0.590381202523866
V0.5_c1_env3,bgs,0.0158808315543808,0.71438557801188,0.730266409566261,19,1.17432802855528,0.0356729486774789,0.631578947368421,0.843744785129658
V0.5_c1_env3,nobgs,-0.0443229381151663,0.59672162218618,0.552398684071013,21,0.767679149035448,0.0346875639124661,0.523809523809524,0.613353019071139
V0.5_c1_env4,bgs,-0.0528475392784605,0.648628096440597,0.595780557162136,15,0.735664071282781,0.0375359620991444,0.533333333333333,0.835345484929602
V0.5_c1_env4,nobgs,-0.200611667831223,0.711692214323269,0.511080546492046,19,0.880051474376402,0.0249814424256208,0.421052631578947,0.592119169105115
V0.5_c1_env5,bgs,-0.279923047339045,0.755415365478422,0.475492318139377,14,0.336499337823149,0.0307904430673789,0.428571428571429,0.855476805891317
V0.5_c1_env5,nobgs,-0.130822234120243,0.528499678672688,0.397677444552445,17,0.372293007225428,0.0426498216905379,0.647058823529412,0.596216641315478
V0.5_c1_env6,bgs,-0.101785498144965,0.513525462390352,0.411739964245387,17,1.53638726027704,0.0186628481551372,0.176470588235294,0.842921392905803
V0.5_c1_env6,nobgs,0.164214913427662,0.368188754650061,0.532403668077723,16,0,0.0349109081035024,0.5,0.629387067906899
V0.5_c1_env7,bgs,0.0481684383149367,0.634870462016858,0.683038900331795,19,0.377572498281289,0.044367247049823,0.526315789473684,0.842921392847477
V0.5_c1_env7,nobgs,-0.0162091344829187,0.44869896456513,0.432489830082212,17,0,0.0485853887723768,0.647058823529412,0.602756851032156
V0.5_c1_env8,bgs,-0.0241653602988357,0.516918673631837,0.492753313333002,20,0.701513543565913,0.0480352689570133,0.65,0.849113292064919
V0.5_c1_env8,nobgs,-0.0574210018264475,0.489333830253729,0.431912828427281,23,0.367860304707893,0.0370631762583403,0.521739130434783,0.602756851259003
V0.5_c1_env9,bgs,0.065774834622916,0.361733602609786,0.427508437232702,20,0.674623567651634,0.0412645254595669,0.55,0.830975238020116
V0.5_c1_env9,nobgs,0.017119260495899,0.489930418626149,0.507049679122048,19,0.413000096635064,0.044895393732603,0.578947368421053,0.627765646124744
V0.5_c1_env10,bgs,-0.0611162993490632,0.515935326605362,0.454819027256299,17,0.664708836586186,0.024461440615776,0.411764705882353,0.836397153575061
V0.5_c1_env10,nobgs,-0.14285425638544,0.430669836677562,0.287815580292122,21,0.999900269469387,0.0221000345313039,0.333333333333333,0.587879722653232
