ldw,rho,floor,engine,n_test,flagged,regions,tp_reg,tp_qtn,n_qtn,n_qtn_legacy,prec,rec,cell,tag,env
0.0125,0.35,1,emx,84607,13,10,4,5,22,21,0.4,0.227272727272727,V0.5_c1,bgs,1
0.0125,0.35,1,lfm,84607,11,8,4,5,22,21,0.5,0.227272727272727,V0.5_c1,bgs,1
0.0125,0.35,2,emx,39379,12,9,4,5,22,21,0.444444444444444,0.227272727272727,V0.5_c1,bgs,1
0.0125,0.35,2,lfm,39379,17,14,4,5,22,21,0.285714285714286,0.227272727272727,V0.5_c1,bgs,1
0.0125,0.35,5,emx,9888,20,16,5,6,22,21,0.3125,0.272727272727273,V0.5_c1,bgs,1
0.0125,0.35,5,lfm,9888,17,15,5,6,22,21,0.333333333333333,0.272727272727273,V0.5_c1,bgs,1
0.0125,0.5,1,emx,83299,10,9,4,5,22,21,0.444444444444444,0.227272727272727,V0.5_c1,bgs,1
0.0125,0.5,1,lfm,83299,9,8,4,5,22,21,0.5,0.227272727272727,V0.5_c1,bgs,1
0.0125,0.5,2,emx,38424,8,7,4,5,22,21,0.571428571428571,0.227272727272727,V0.5_c1,bgs,1
0.0125,0.5,2,lfm,38424,10,9,4,5,22,21,0.444444444444444,0.227272727272727,V0.5_c1,bgs,1
0.0125,0.5,5,emx,9617,11,9,5,6,22,21,0.555555555555556,0.272727272727273,V0.5_c1,bgs,1
0.0125,0.5,5,lfm,9617,13,12,5,6,22,21,0.416666666666667,0.272727272727273,V0.5_c1,bgs,1
0.0125,0.65,1,emx,81730,7,6,4,5,22,21,0.666666666666667,0.227272727272727,V0.5_c1,bgs,1
0.0125,0.65,1,lfm,81730,8,7,4,5,22,21,0.571428571428571,0.227272727272727,V0.5_c1,bgs,1
0.0125,0.65,2,emx,37472,6,5,4,5,22,21,0.8,0.227272727272727,V0.5_c1,bgs,1
0.0125,0.65,2,lfm,37472,9,8,4,5,22,21,0.5,0.227272727272727,V0.5_c1,bgs,1
0.0125,0.65,5,emx,9293,6,5,4,5,22,21,0.8,0.227272727272727,V0.5_c1,bgs,1
0.0125,0.65,5,lfm,9293,12,11,5,6,22,21,0.454545454545455,0.272727272727273,V0.5_c1,bgs,1
0.025,0.35,1,emx,85013,15,12,4,5,22,21,0.333333333333333,0.227272727272727,V0.5_c1,bgs,1
0.025,0.35,1,lfm,85013,10,8,4,5,22,21,0.5,0.227272727272727,V0.5_c1,bgs,1
0.025,0.35,2,emx,39756,15,12,4,5,22,21,0.333333333333333,0.227272727272727,V0.5_c1,bgs,1
0.025,0.35,2,lfm,39756,16,14,4,5,22,21,0.285714285714286,0.227272727272727,V0.5_c1,bgs,1
0.025,0.35,5,emx,10042,21,18,5,6,22,21,0.277777777777778,0.272727272727273,V0.5_c1,bgs,1
0.025,0.35,5,lfm,10042,17,16,5,6,22,21,0.3125,0.272727272727273,V0.5_c1,bgs,1
0.025,0.5,1,emx,84732,8,7,4,5,22,21,0.571428571428571,0.227272727272727,V0.5_c1,bgs,1
