cell,tag,env,arm,CL2,span,n,tp
V0.5_c1,nobgs,1,stage 2,1_U339,34830,7,TRUE
V0.5_c1,nobgs,1,stage 2,1_F31,203212,19,TRUE
V0.5_c1,nobgs,1,stage 2,3_F8,111583,11,TRUE
V0.5_c1,nobgs,1,stage 2,4_F63,307721,60,TRUE
V0.5_c1,nobgs,1,stage 2,4_F5,12902,3,FALSE
V0.5_c1,nobgs,1,stage 2,4_F4,1016640,82,TRUE
V0.5_c1,nobgs,1,stage 2,5_F62,53152,13,TRUE
V0.5_c1,nobgs,1,stage 2,7_U1768,99139,24,TRUE
V0.5_c1,nobgs,1,stage 2,7_F25,165377,21,TRUE
V0.5_c1,nobgs,1,stage 2,8_F103,1279285,190,TRUE
V0.5_c1,nobgs,1,stage 2,8_F10,163840,3,TRUE
V0.5_c1,nobgs,1,stage 2,8_F98,212989,42,TRUE
V0.5_c1,nobgs,1,stage 2,9_F48,4132794,266,FALSE
V0.5_c1,nobgs,1,stage 2,9_F3,4616341,122,TRUE
V0.5_c1,nobgs,1,stage 2,9_F130,849572,28,TRUE
V0.5_c1,nobgs,1,stage 2,9_F101,599840,36,TRUE
V0.5_c1,nobgs,1,stage 2,9_F116,365017,17,FALSE
V0.5_c1,nobgs,1,stage 2,9_F82,1749093,55,FALSE
V0.5_c1,nobgs,1,stage 1,1_U339,34830,7,TRUE
V0.5_c1,nobgs,1,stage 1,1_F31,203212,19,TRUE
V0.5_c1,nobgs,1,stage 1,3_F8,111583,11,TRUE
V0.5_c1,nobgs,1,stage 1,4_F63,307721,60,TRUE
V0.5_c1,nobgs,1,stage 1,4_F3,3477,2,FALSE
V0.5_c1,nobgs,1,stage 1,4_F5,12902,3,FALSE
V0.5_c1,nobgs,1,stage 1,4_F4,1016640,82,TRUE
V0.5_c1,nobgs,1,stage 1,5_F62,53152,13,TRUE
V0.5_c1,nobgs,1,stage 1,7_U1768,99139,24,TRUE
V0.5_c1,nobgs,1,stage 1,7_F25,165377,21,TRUE
V0.5_c1,nobgs,1,stage 1,8_F103,1279285,190,TRUE
V0.5_c1,nobgs,1,stage 1,8_F10,163840,3,TRUE
V0.5_c1,nobgs,1,stage 1,8_F32,572658,21,FALSE
V0.5_c1,nobgs,1,stage 1,8_F98,212989,42,TRUE
V0.5_c1,nobgs,1,stage 1,9_F48,4132794,266,FALSE
V0.5_c1,nobgs,1,stage 1,9_F3,4616341,122,TRUE
V0.5_c1,nobgs,1,stage 1,9_F130,849572,28,TRUE
V0.5_c1,nobgs,1,stage 1,9_F101,599840,36,TRUE
V0.5_c1,nobgs,1,stage 1,9_F100,54283,9,FALSE
V0.5_c1,nobgs,1,stage 1,9_F116,365017,17,FALSE
V0.5_c1,nobgs,1,stage 1,9_F82,1749093,55,FALSE
V0.5_c1,nobgs,2,stage 2,1_U12664,0,1,FALSE
V0.5_c1,nobgs,2,stage 2,2_U2690,124428,27,FALSE
