analysis,flagged,contain,tag_not_contain,neither,satellites,raw_prec,raw_rec,dedup_regions,dedup_tp,dedup_qtn,dedup_prec,dedup_rec,cell,tag,env,n_qtn,n_clusters
snp,59,12,7,40,7,0.203389830508475,0.631578947368421,52,12,12,0.230769230769231,0.631578947368421,V0.5_c1,nobgs,1,19,99835
snp_n2,53,12,7,34,7,0.226415094339623,0.631578947368421,46,12,12,0.260869565217391,0.631578947368421,V0.5_c1,nobgs,1,19,99835
snp_n5,42,12,7,23,7,0.285714285714286,0.631578947368421,35,12,12,0.342857142857143,0.631578947368421,V0.5_c1,nobgs,1,19,99835
simes_nosparse,11,9,1,1,0,0.818181818181818,0.473684210526316,11,10,10,0.909090909090909,0.526315789473684,V0.5_c1,nobgs,1,19,99835
simes_n2_nosparse,15,10,1,4,0,0.666666666666667,0.526315789473684,15,11,11,0.733333333333333,0.578947368421053,V0.5_c1,nobgs,1,19,99835
simes_n2,22,11,3,8,2,0.5,0.578947368421053,20,12,12,0.6,0.631578947368421,V0.5_c1,nobgs,1,19,99835
rep,8,5,1,2,0,0.625,0.263157894736842,8,6,6,0.75,0.315789473684211,V0.5_c1,nobgs,1,19,99835
simes,18,11,3,4,2,0.611111111111111,0.578947368421053,16,12,12,0.75,0.631578947368421,V0.5_c1,nobgs,1,19,99835
emlg,21,10,4,7,3,0.476190476190476,0.526315789473684,18,11,11,0.611111111111111,0.578947368421053,V0.5_c1,nobgs,1,19,99835
snp,86,12,18,56,17,0.13953488372093,0.631578947368421,69,13,14,0.188405797101449,0.736842105263158,V0.5_c1,nobgs,2,19,101569
snp_n2,77,12,17,48,16,0.155844155844156,0.631578947368421,61,13,14,0.213114754098361,0.736842105263158,V0.5_c1,nobgs,2,19,101569
snp_n5,53,12,11,30,10,0.226415094339623,0.631578947368421,43,13,14,0.302325581395349,0.736842105263158,V0.5_c1,nobgs,2,19,101569
simes_nosparse,16,7,3,6,3,0.4375,0.368421052631579,13,7,8,0.538461538461538,0.421052631578947,V0.5_c1,nobgs,2,19,101569
simes_n2_nosparse,19,7,5,7,5,0.368421052631579,0.368421052631579,14,7,8,0.5,0.421052631578947,V0.5_c1,nobgs,2,19,101569
simes_n2,22,8,7,7,7,0.363636363636364,0.421052631578947,15,8,9,0.533333333333333,0.473684210526316,V0.5_c1,nobgs,2,19,101569
rep,14,6,3,5,1,0.428571428571429,0.315789473684211,13,8,8,0.615384615384615,0.421052631578947,V0.5_c1,nobgs,2,19,101569
simes,20,8,5,7,5,0.4,0.421052631578947,15,8,9,0.533333333333333,0.473684210526316,V0.5_c1,nobgs,2,19,101569
emlg,25,9,7,9,7,0.36,0.473684210526316,18,9,10,0.5,0.526315789473684,V0.5_c1,nobgs,2,19,101569
snp,132,14,26,92,26,0.106060606060606,0.666666666666667,106,14,14,0.132075471698113,0.666666666666667,V0.5_c1,nobgs,3,21,99787
snp_n2,111,14,22,75,22,0.126126126126126,0.666666666666667,89,14,14,0.157303370786517,0.666666666666667,V0.5_c1,nobgs,3,21,99787
snp_n5,74,13,19,42,19,0.175675675675676,0.619047619047619,55,13,13,0.236363636363636,0.619047619047619,V0.5_c1,nobgs,3,21,99787
simes_nosparse,25,12,4,9,4,0.48,0.571428571428571,21,12,12,0.571428571428571,0.571428571428571,V0.5_c1,nobgs,3,21,99787
simes_n2_nosparse,23,12,2,9,2,0.521739130434783,0.571428571428571,21,12,12,0.571428571428571,0.571428571428571,V0.5_c1,nobgs,3,21,99787
simes_n2,26,12,4,10,4,0.461538461538462,0.571428571428571,22,12,12,0.545454545454545,0.571428571428571,V0.5_c1,nobgs,3,21,99787
rep,27,10,7,10,7,0.37037037037037,0.476190476190476,20,10,10,0.5,0.476190476190476,V0.5_c1,nobgs,3,21,99787
simes,28,12,6,10,6,0.428571428571429,0.571428571428571,22,12,12,0.545454545454545,0.571428571428571,V0.5_c1,nobgs,3,21,99787
emlg,36,13,7,16,7,0.361111111111111,0.619047619047619,29,13,13,0.448275862068966,0.619047619047619,V0.5_c1,nobgs,3,21,99787
snp,71,12,15,44,14,0.169014084507042,0.631578947368421,57,13,13,0.228070175438597,0.68421052631579,V0.5_c1,nobgs,4,19,101870
snp_n2,64,12,14,38,13,0.1875,0.631578947368421,51,13,13,0.254901960784314,0.68421052631579,V0.5_c1,nobgs,4,19,101870
snp_n5,52,12,12,28,10,0.230769230769231,0.631578947368421,42,14,14,0.333333333333333,0.736842105263158,V0.5_c1,nobgs,4,19,101870
simes_nosparse,11,6,4,1,3,0.545454545454545,0.315789473684211,8,7,7,0.875,0.368421052631579,V0.5_c1,nobgs,4,19,101870
simes_n2_nosparse,15,6,7,2,5,0.4,0.315789473684211,10,8,8,0.8,0.421052631578947,V0.5_c1,nobgs,4,19,101870
simes_n2,23,10,8,5,7,0.434782608695652,0.526315789473684,16,11,11,0.6875,0.578947368421053,V0.5_c1,nobgs,4,19,101870
rep,16,6,6,4,4,0.375,0.315789473684211,12,8,8,0.666666666666667,0.421052631578947,V0.5_c1,nobgs,4,19,101870
simes,19,9,6,4,6,0.473684210526316,0.473684210526316,13,9,9,0.692307692307692,0.473684210526316,V0.5_c1,nobgs,4,19,101870
emlg,18,8,6,4,6,0.444444444444444,0.421052631578947,12,8,8,0.666666666666667,0.421052631578947,V0.5_c1,nobgs,4,19,101870
snp,74,10,4,60,3,0.135135135135135,0.625,71,11,12,0.154929577464789,0.75,V0.5_c1,nobgs,5,16,99328
snp_n2,60,10,4,46,4,0.166666666666667,0.625,56,10,11,0.178571428571429,0.6875,V0.5_c1,nobgs,5,16,99328
snp_n5,43,10,2,31,1,0.232558139534884,0.625,42,11,12,0.261904761904762,0.75,V0.5_c1,nobgs,5,16,99328
simes_nosparse,6,5,1,0,1,0.833333333333333,0.3125,5,5,6,1,0.375,V0.5_c1,nobgs,5,16,99328
simes_n2_nosparse,7,5,1,1,1,0.714285714285714,0.3125,6,5,6,0.833333333333333,0.375,V0.5_c1,nobgs,5,16,99328
simes_n2,9,6,1,2,1,0.666666666666667,0.375,8,6,7,0.75,0.4375,V0.5_c1,nobgs,5,16,99328
rep,5,4,1,0,1,0.8,0.25,4,4,5,1,0.3125,V0.5_c1,nobgs,5,16,99328
simes,9,6,1,2,1,0.666666666666667,0.375,8,6,7,0.75,0.4375,V0.5_c1,nobgs,5,16,99328
emlg,10,6,1,3,1,0.6,0.375,9,6,7,0.666666666666667,0.4375,V0.5_c1,nobgs,5,16,99328
snp,185,8,6,171,5,0.0432432432432432,0.533333333333333,180,9,10,0.05,0.666666666666667,V0.5_c1,nobgs,6,15,102214
snp_n2,160,8,6,146,5,0.05,0.533333333333333,155,9,10,0.0580645161290323,0.666666666666667,V0.5_c1,nobgs,6,15,102214
snp_n5,98,8,3,87,3,0.0816326530612245,0.533333333333333,95,8,9,0.0842105263157895,0.6,V0.5_c1,nobgs,6,15,102214
simes_nosparse,19,6,1,12,1,0.315789473684211,0.4,18,6,7,0.333333333333333,0.466666666666667,V0.5_c1,nobgs,6,15,102214
simes_n2_nosparse,23,6,1,16,1,0.260869565217391,0.4,22,6,7,0.272727272727273,0.466666666666667,V0.5_c1,nobgs,6,15,102214
simes_n2,28,6,1,21,1,0.214285714285714,0.4,27,6,7,0.222222222222222,0.466666666666667,V0.5_c1,nobgs,6,15,102214
