route,floor,R,R_ntrl,f_ntrl,cell,tag,env
cons,1,13,0,0.524512580843129,V0.5_c1,bgs,1
cons,2,16,0,0.522499051473378,V0.5_c1,bgs,1
cons,5,25,0,0.512802419354839,V0.5_c1,bgs,1
cons,8,32,0,0.510152863335615,V0.5_c1,bgs,1
best,1,27,2,0.524512580843129,V0.5_c1,bgs,1
best,2,30,3,0.522499051473378,V0.5_c1,bgs,1
best,5,48,3,0.512802419354839,V0.5_c1,bgs,1
best,8,55,4,0.510152863335615,V0.5_c1,bgs,1
simes,1,10,0,0.524512580843129,V0.5_c1,bgs,1
simes,2,14,1,0.522499051473378,V0.5_c1,bgs,1
simes,5,24,0,0.512802419354839,V0.5_c1,bgs,1
simes,8,26,0,0.510152863335615,V0.5_c1,bgs,1
cons,1,19,6,0.52879966739918,V0.5_c1,bgs,2
cons,2,21,6,0.524530587522714,V0.5_c1,bgs,2
cons,5,26,8,0.520199959192002,V0.5_c1,bgs,2
cons,8,17,4,0.516438356164384,V0.5_c1,bgs,2
best,1,38,8,0.52879966739918,V0.5_c1,bgs,2
best,2,56,16,0.524530587522714,V0.5_c1,bgs,2
best,5,48,10,0.520199959192002,V0.5_c1,bgs,2
best,8,45,7,0.516438356164384,V0.5_c1,bgs,2
simes,1,23,6,0.52879966739918,V0.5_c1,bgs,2
simes,2,26,7,0.524530587522714,V0.5_c1,bgs,2
simes,5,24,7,0.520199959192002,V0.5_c1,bgs,2
simes,8,18,4,0.516438356164384,V0.5_c1,bgs,2
cons,1,14,0,0.529798021777076,V0.5_c1,bgs,3
cons,2,14,0,0.526897773279352,V0.5_c1,bgs,3
cons,5,21,1,0.515716893125127,V0.5_c1,bgs,3
cons,8,23,1,0.504690002287806,V0.5_c1,bgs,3
best,1,19,0,0.529798021777076,V0.5_c1,bgs,3
best,2,21,0,0.526897773279352,V0.5_c1,bgs,3
best,5,53,2,0.515716893125127,V0.5_c1,bgs,3
best,8,48,3,0.504690002287806,V0.5_c1,bgs,3
simes,1,13,0,0.529798021777076,V0.5_c1,bgs,3
