cell,tag,env,basis,nsim,route,floor,n_test,obs_R,EV,V_med,V_max,pct_any,est_FDP,lock_overlap,lock_chance,lock_distinct,lock_hits,realised_FDP,n_qtn,resid
V0.5_c1,bgs,1,pop,500,consensus,1,84732,13,0.082,0,2,7.2,0.00630769230769231,0.0487804878048781,0.000153424916206392,41,41,0.5,22,FALSE
V0.5_c1,bgs,1,pop,500,consensus,2,39535,16,0.07,0,2,5.8,0.004375,0.0487804878048781,0.000153424916206392,41,41,0.615384615384615,22,FALSE
V0.5_c1,bgs,1,pop,500,consensus,5,9920,25,0.082,0,3,7,0.00328,0.0487804878048781,0.000153424916206392,41,41,0.761904761904762,22,FALSE
V0.5_c1,bgs,1,pop,500,consensus,8,4383,32,0.072,0,3,5.8,0.00225,0.0487804878048781,0.000153424916206392,41,41,0.821428571428571,22,FALSE
V0.5_c1,bgs,1,pop,500,best,1,84732,27,0.152,0,4,12,0.00562962962962963,0.0526315789473684,0.000318651749044045,76,76,0.791666666666667,22,FALSE
V0.5_c1,bgs,1,pop,500,best,2,39535,30,0.174,0,4,12.8,0.0058,0.0526315789473684,0.000318651749044045,76,76,0.814814814814815,22,FALSE
V0.5_c1,bgs,1,pop,500,best,5,9920,48,0.272,0,8,16.2,0.00566666666666667,0.0526315789473684,0.000318651749044045,76,76,0.863636363636364,22,FALSE
V0.5_c1,bgs,1,pop,500,best,8,4383,55,0.338,0,10,15.2,0.00614545454545455,0.0526315789473684,0.000318651749044045,76,76,0.82,22,FALSE
V0.5_c1,bgs,1,pop,500,simes,1,84732,10,0.078,0,2,6.8,0.0078,0.0512820512820513,0.000118019166312609,39,39,0.555555555555556,22,FALSE
V0.5_c1,bgs,1,pop,500,simes,2,39535,14,0.07,0,2,6.2,0.005,0.0512820512820513,0.000118019166312609,39,39,0.583333333333333,22,FALSE
V0.5_c1,bgs,1,pop,500,simes,5,9920,24,0.064,0,3,5,0.00266666666666667,0.0512820512820513,0.000118019166312609,39,39,0.761904761904762,22,FALSE
V0.5_c1,bgs,1,pop,500,simes,8,4383,26,0.064,0,3,5.6,0.00246153846153846,0.0512820512820513,0.000118019166312609,39,39,0.772727272727273,22,FALSE
V0.5_c1,bgs,1,pop,500,consensus,1,84732,13,0.07,0,2,6.4,0.00538461538461539,0,0.000153424916206392,35,35,0.5,22,TRUE
V0.5_c1,bgs,1,pop,500,consensus,2,39535,16,0.072,0,4,5.8,0.0045,0,0.000153424916206392,35,35,0.615384615384615,22,TRUE
V0.5_c1,bgs,1,pop,500,consensus,5,9920,25,0.084,0,3,7.4,0.00336,0,0.000153424916206392,35,35,0.761904761904762,22,TRUE
V0.5_c1,bgs,1,pop,500,consensus,8,4383,32,0.042,0,1,4.2,0.0013125,0,0.000153424916206392,35,35,0.821428571428571,22,TRUE
V0.5_c1,bgs,1,pop,500,best,1,84732,27,0.122,0,2,10.8,0.00451851851851852,0,0.000318651749044045,61,61,0.791666666666667,22,TRUE
V0.5_c1,bgs,1,pop,500,best,2,39535,30,0.182,0,4,12.6,0.00606666666666667,0,0.000318651749044045,61,61,0.814814814814815,22,TRUE
V0.5_c1,bgs,1,pop,500,best,5,9920,48,0.186,0,4,13.8,0.003875,0,0.000318651749044045,61,61,0.863636363636364,22,TRUE
V0.5_c1,bgs,1,pop,500,best,8,4383,55,0.184,0,5,11.4,0.00334545454545455,0,0.000318651749044045,61,61,0.82,22,TRUE
V0.5_c1,bgs,1,pop,500,simes,1,84732,10,0.068,0,2,6,0.0068,0,0.000118019166312609,34,34,0.555555555555556,22,TRUE
V0.5_c1,bgs,1,pop,500,simes,2,39535,14,0.076,0,2,6.8,0.00542857142857143,0,0.000118019166312609,34,34,0.583333333333333,22,TRUE
V0.5_c1,bgs,1,pop,500,simes,5,9920,24,0.062,0,3,5.2,0.00258333333333333,0,0.000118019166312609,34,34,0.761904761904762,22,TRUE
V0.5_c1,bgs,1,pop,500,simes,8,4383,26,0.046,0,1,4.6,0.00176923076923077,0,0.000118019166312609,34,34,0.772727272727273,22,TRUE
V0.5_c1,bgs,1,spatial,500,consensus,1,84732,13,16.536,12,94,91.4,1.272,0.187227866473149,0.000153424916206392,481,8268,0.5,22,FALSE
V0.5_c1,bgs,1,spatial,500,consensus,2,39535,16,17.976,13,103,90.2,1.1235,0.187227866473149,0.000153424916206392,481,8268,0.615384615384615,22,FALSE
