cell,tag,env,h2,vg_share,obs,surr,ratio
V0.5_c1,nobgs,1,1,0.999954602131298,0.0130643325059256,0.00886508277187809,0.678571428571429
V0.5_c1,nobgs,1,0.9,0.999954602131297,0.0130643325059256,0.00951829939717437,0.728571428571429
V0.5_c1,nobgs,1,0.7,0.999954602131297,0.00559899964539669,0.00905171609339131,1.61666666666667
V0.5_c1,nobgs,1,0.5,0.844000289983904,0.00559899964539669,0.0111046826300368,1.98333333333333
V0.5_c1,nobgs,1,0.3,0.578803798751969,0.00933166607566115,0.00816520781620351,0.875
V0.5_c1,nobgs,2,1,0.999954602131297,0.0240193633021082,0.0088686879884707,0.369230769230769
V0.5_c1,nobgs,2,0.9,0.999954602131298,0.0129335033165198,0.00863773257210428,0.667857142857143
V0.5_c1,nobgs,2,0.7,0.999954602131298,0.00739057332372559,0.00923821665465699,1.25
V0.5_c1,nobgs,2,0.5,0.901543633148694,0.00923821665465699,0.00909964340483713,0.985
V0.5_c1,nobgs,2,0.3,0.661365273041474,0.00923821665465699,0.00794486632300501,0.86
V0.5_c1,nobgs,3,1,0.999954602131298,0.00739398868719731,0.00878036156604681,1.1875
V0.5_c1,nobgs,3,0.9,0.999954602131298,0.00924248585899664,0.00910384857111169,0.985
V0.5_c1,nobgs,3,0.7,0.999954602131298,0.00369699434359865,0.00956597286406152,2.5875
V0.5_c1,nobgs,3,0.5,0.999954602131298,0.00739398868719731,0.00896521128322674,1.2125
V0.5_c1,nobgs,3,0.3,0.903680250836448,0.00739398868719731,0.00924248585899664,1.25
V0.5_c2,nobgs,1,1,0.999954602131297,0.0575976542046288,0.0132212797151534,0.229545454545455
V0.5_c2,nobgs,1,0.9,0.878232171160046,0,0.0136139909938213,13613990.9938213
V0.5_c2,nobgs,1,0.7,0.619241333747715,0.00261807519111949,0.00955597444758613,3.65
V0.5_c2,nobgs,1,0.5,0.432760658894906,0.00261807519111949,0.00877055189025029,3.35
V0.5_c2,nobgs,1,0.3,0.2662139155915,0.00261807519111949,0.00726515865535658,2.775
V0.5_c2,nobgs,2,1,0.999954602131298,0.187876731988623,0.00861101688281189,0.0458333333333333
V0.5_c2,nobgs,2,0.9,0.823048694150507,0.0469691829971558,0.00887195678835164,0.188888888888889
V0.5_c2,nobgs,2,0.7,0.593550833550965,0.0104375962215902,0.00750202228426793,0.71875
V0.5_c2,nobgs,2,0.5,0.432713839188233,0.00521879811079508,0.00652349763849386,1.25
V0.5_c2,nobgs,2,0.3,0.285046393914254,0.00521879811079508,0.00678443754403361,1.3
V0.5_c2,nobgs,3,1,0.999954602131297,0.135734795092665,0.0146175933176716,0.107692307692308
V0.5_c2,nobgs,3,0.9,0.870887586363572,0.0208822761681023,0.0122683372487601,0.5875
V0.5_c2,nobgs,3,0.7,0.659029464583596,0.00783085356303837,0.00978856695379796,1.25
V0.5_c2,nobgs,3,0.5,0.517171445031857,0.00522056904202558,0.00763508222396241,1.4625
V0.5_c2,nobgs,3,0.3,0.391624758385859,0.00522056904202558,0.00580788305925346,1.1125
V2_c1,nobgs,1,1,0.999954602131298,0.0130450987700335,0.0092713380544167,0.710714285714286
V2_c1,nobgs,1,0.9,0.999954602131298,0.00559075661572866,0.0084327245620574,1.50833333333333
V2_c1,nobgs,1,0.7,0.965067537333343,0.00745434215430488,0.00806000745434216,1.08125
V2_c1,nobgs,1,0.5,0.734718395445763,0.0111815132314573,0.00964405516213194,0.8625
V2_c1,nobgs,1,0.3,0.477884556186146,0.0111815132314573,0.00838613492359299,0.75
V2_c1,nobgs,2,1,0.999954602131297,0.0356045273967469,0.00894797991155086,0.251315789473684
V2_c1,nobgs,2,0.9,0.999954602131297,0.0243609924293531,0.00819841091372461,0.336538461538462
V2_c1,nobgs,2,0.7,0.95447733337459,0.0074956899782625,0.00843265122554531,1.125
V2_c1,nobgs,2,0.5,0.724929769639288,0.00562176748369687,0.00866689153736601,1.54166666666667
V2_c1,nobgs,2,0.3,0.484534559952759,0.00562176748369687,0.00796417060190391,1.41666666666667
V2_c1,nobgs,3,1,0.999954602131297,0.0168804861580014,0.00895603571160627,0.530555555555555
V2_c1,nobgs,3,0.9,0.999954602131297,0.0168804861580014,0.00942493810488409,0.558333333333333
V2_c1,nobgs,3,0.7,0.999954602131297,0.0150048765848901,0.00994073073748968,0.6625
V2_c1,nobgs,3,0.5,0.999954602131298,0.00750243829244504,0.0106440843274064,1.41875
V2_c1,nobgs,3,0.3,0.999954602131297,0.00937804786555631,0.0102220721734564,1.09
