arm,cell,tag,env,n_test,regions,tp,precision,recall,on_ntrl,FDP_ntrl,n_qtn
cluster-then-test,V0.5_c1,bgs,1,84732,7,4,0.571428571428571,0.227272727272727,0,0,22
test-then-cluster,V0.5_c1,bgs,1,85192,9,4,0.444444444444444,0.227272727272727,0,0,22
single SNP,V0.5_c1,bgs,1,230475,74,7,0.0945945945945946,0.363636363636364,14,0.333643093400536,22
consensus (no n penalty),V0.5_c1,bgs,1,84732,10,5,0.5,0.272727272727273,0,0,22
cluster-then-test,V0.5_c1,bgs,2,84185,20,8,0.4,0.4,4,0.37821506390817,20
test-then-cluster,V0.5_c1,bgs,2,84745,22,8,0.363636363636364,0.4,4,0.343831876280155,20
single SNP,V0.5_c1,bgs,2,229687,60,11,0.183333333333333,0.55,17,0.487095158063552,20
consensus (no n penalty),V0.5_c1,bgs,2,84185,18,8,0.444444444444444,0.4,6,0.597181679855005,20
cluster-then-test,V0.5_c1,bgs,3,84217,12,10,0.833333333333333,0.578947368421053,0,0,19
test-then-cluster,V0.5_c1,bgs,3,84650,15,12,0.8,0.68421052631579,0,0,19
single SNP,V0.5_c1,bgs,3,228643,28,14,0.5,0.789473684210526,1,0.058984742704738,19
consensus (no n penalty),V0.5_c1,bgs,3,84217,14,11,0.785714285714286,0.631578947368421,0,0,19
cluster-then-test,V0.5_c1,bgs,4,85153,7,6,0.857142857142857,0.466666666666667,0,0,15
test-then-cluster,V0.5_c1,bgs,4,85617,9,7,0.777777777777778,0.6,0,0,15
single SNP,V0.5_c1,bgs,4,230441,21,9,0.428571428571429,0.733333333333333,0,0,15
consensus (no n penalty),V0.5_c1,bgs,4,85153,8,6,0.75,0.466666666666667,0,0,15
cluster-then-test,V0.5_c1,bgs,5,83084,12,8,0.666666666666667,0.642857142857143,0,0,14
test-then-cluster,V0.5_c1,bgs,5,83437,13,8,0.615384615384615,0.642857142857143,1,0.144225778509172,14
single SNP,V0.5_c1,bgs,5,223170,31,11,0.354838709677419,0.857142857142857,4,0.234366890077404,14
consensus (no n penalty),V0.5_c1,bgs,5,83084,10,8,0.8,0.642857142857143,0,0,14
cluster-then-test,V0.5_c1,bgs,6,85280,24,8,0.333333333333333,0.529411764705882,7,0.351497408636935,17
test-then-cluster,V0.5_c1,bgs,6,85743,29,8,0.275862068965517,0.529411764705882,10,0.443750881335665,17
single SNP,V0.5_c1,bgs,6,228467,56,9,0.160714285714286,0.588235294117647,26,0.661484647111032,17
consensus (no n penalty),V0.5_c1,bgs,6,85280,29,9,0.310344827586207,0.588235294117647,11,0.51193699237017,17
cluster-then-test,V0.5_c1,bgs,7,83973,13,10,0.769230769230769,0.578947368421053,0,0,19
test-then-cluster,V0.5_c1,bgs,7,84478,14,10,0.714285714285714,0.578947368421053,0,0,19
single SNP,V0.5_c1,bgs,7,228676,39,12,0.307692307692308,0.736842105263158,7,0.287992157039508,19
consensus (no n penalty),V0.5_c1,bgs,7,83973,10,6,0.6,0.368421052631579,0,0,19
cluster-then-test,V0.5_c1,bgs,8,85372,19,8,0.421052631578947,0.4,3,0.287874291880227,20
test-then-cluster,V0.5_c1,bgs,8,85891,20,8,0.4,0.4,3,0.250325471200197,20
single SNP,V0.5_c1,bgs,8,230567,86,13,0.151162790697674,0.65,27,0.569421676246602,20
consensus (no n penalty),V0.5_c1,bgs,8,85372,20,7,0.35,0.35,4,0.365554656355843,20
cluster-then-test,V0.5_c1,bgs,9,85242,0,0,0,0,0,0,20
test-then-cluster,V0.5_c1,bgs,9,85705,3,3,1,0.15,0,0,20
single SNP,V0.5_c1,bgs,9,231231,11,6,0.545454545454545,0.3,0,0,20
consensus (no n penalty),V0.5_c1,bgs,9,85242,3,1,0.333333333333333,0.05,0,0,20
cluster-then-test,V0.5_c1,bgs,10,85817,18,9,0.5,0.529411764705882,1,0.0775116289572325,17
test-then-cluster,V0.5_c1,bgs,10,86267,18,9,0.5,0.529411764705882,1,0.0775116289572325,17
single SNP,V0.5_c1,bgs,10,231847,47,9,0.191489361702128,0.529411764705882,12,0.394126926901182,17
consensus (no n penalty),V0.5_c1,bgs,10,85817,17,9,0.529411764705882,0.529411764705882,1,0.0807412801637839,17
cluster-then-test,V0.5_c2,bgs,1,60984,1,0,0,0,1,1.92816491716201,33
test-then-cluster,V0.5_c2,bgs,1,67898,2,0,0,0,2,1.92816491716201,33
single SNP,V0.5_c2,bgs,1,309524,70,10,0.142857142857143,0.333333333333333,30,0.803402048817504,33
consensus (no n penalty),V0.5_c2,bgs,1,60984,21,5,0.238095238095238,0.181818181818182,9,0.788794738839004,33
cluster-then-test,V0.5_c2,bgs,2,60739,63,8,0.126984126984127,0.285714285714286,32,0.97300133161125,35
test-then-cluster,V0.5_c2,bgs,2,67449,88,9,0.102272727272727,0.314285714285714,44,0.966244377919505,35
single SNP,V0.5_c2,bgs,2,316016,210,12,0.0571428571428571,0.4,106,0.978968921553959,35
consensus (no n penalty),V0.5_c2,bgs,2,60739,91,6,0.0659340659340659,0.2,45,0.946153223059476,35
cluster-then-test,V0.5_c2,bgs,3,59940,66,6,0.0909090909090909,0.157894736842105,31,0.90337353966425,38
test-then-cluster,V0.5_c2,bgs,3,66912,103,7,0.0679611650485437,0.210526315789474,52,0.970992166654465,38
single SNP,V0.5_c2,bgs,3,312201,187,8,0.0427807486631016,0.236842105263158,97,0.992346842987394,38
consensus (no n penalty),V0.5_c2,bgs,3,59940,95,4,0.0421052631578947,0.105263157894737,50,1.01226916159322,38
cluster-then-test,V0.5_c2,bgs,4,61123,3,0,0,0,1,0.644533021205699,37
test-then-cluster,V0.5_c2,bgs,4,68085,3,0,0,0,1,0.644533021205699,37
single SNP,V0.5_c2,bgs,4,314074,120,11,0.0916666666666667,0.378378378378378,46,0.735087247325507,37
consensus (no n penalty),V0.5_c2,bgs,4,61123,10,1,0.1,0.0810810810810811,4,0.773439625446838,37
cluster-then-test,V0.5_c2,bgs,5,61060,1,0,0,0,0,0,30
test-then-cluster,V0.5_c2,bgs,5,68096,7,0,0,0,4,1.11774181738303,30
single SNP,V0.5_c2,bgs,5,310534,200,10,0.05,0.333333333333333,98,0.948973869708857,30
consensus (no n penalty),V0.5_c2,bgs,5,61060,6,0,0,0,1,0.32600803007005,30
cluster-then-test,V0.5_c2,bgs,6,61924,101,5,0.0495049504950495,0.166666666666667,54,1.03120541917769,36
test-then-cluster,V0.5_c2,bgs,6,68687,153,7,0.0457516339869281,0.222222222222222,81,1.02109556212693,36
single SNP,V0.5_c2,bgs,6,314840,342,10,0.0292397660818713,0.305555555555556,189,1.05968347581195,36
consensus (no n penalty),V0.5_c2,bgs,6,61924,62,5,0.0806451612903226,0.166666666666667,28,0.871042092423685,36
cluster-then-test,V0.5_c2,bgs,7,61042,33,4,0.121212121212121,0.135135135135135,11,0.641386121968646,37
test-then-cluster,V0.5_c2,bgs,7,68057,85,6,0.0705882352941176,0.189189189189189,46,1.0413092333138,37
single SNP,V0.5_c2,bgs,7,314813,170,9,0.0529411764705882,0.27027027027027,83,0.939442025707017,37
consensus (no n penalty),V0.5_c2,bgs,7,61042,37,3,0.0810810810810811,0.0810810810810811,20,1.0400856031924,37
cluster-then-test,V0.5_c2,bgs,8,61571,102,9,0.0882352941176471,0.257142857142857,51,0.94628531030031,35
test-then-cluster,V0.5_c2,bgs,8,68347,122,9,0.0737704918032787,0.257142857142857,61,0.946285310300311,35
single SNP,V0.5_c2,bgs,8,312485,318,14,0.0440251572327044,0.4,160,0.946285310300311,35
consensus (no n penalty),V0.5_c2,bgs,8,61571,78,6,0.0769230769230769,0.171428571428571,41,0.994812762110583,35
cluster-then-test,V0.5_c2,bgs,9,61604,6,0,0,0,1,0.321084946471943,41
test-then-cluster,V0.5_c2,bgs,9,68464,6,0,0,0,1,0.321084946471943,41
single SNP,V0.5_c2,bgs,9,312443,4,0,0,0,1,0.481627419707915,41
consensus (no n penalty),V0.5_c2,bgs,9,61604,8,0,0,0,2,0.481627419707915,41
cluster-then-test,V0.5_c2,bgs,10,60085,68,10,0.147058823529412,0.323529411764706,30,0.84872052749637,34
test-then-cluster,V0.5_c2,bgs,10,67073,83,10,0.120481927710843,0.323529411764706,38,0.860036801196321,34
single SNP,V0.5_c2,bgs,10,311707,151,12,0.0794701986754967,0.382352941176471,71,0.875560407425742,34
