arm,cell,tag,env,n_test,regions,tp,precision,recall,on_ntrl,FDP_ntrl,n_qtn
cluster-then-test,V0.5_c1,nobgs,1,99835,16,12,0.75,0.631578947368421,0,0,19
test-then-cluster,V0.5_c1,nobgs,1,100330,19,12,0.631578947368421,0.631578947368421,0,0,19
single SNP,V0.5_c1,nobgs,1,291388,56,13,0.232142857142857,0.68421052631579,8,0.23660365273997,19
consensus (no n penalty),V0.5_c1,nobgs,1,99835,18,11,0.611111111111111,0.578947368421053,0,0,19
cluster-then-test,V0.5_c1,nobgs,2,101569,15,8,0.533333333333333,0.45,4,0.375326570958742,20
test-then-cluster,V0.5_c1,nobgs,2,101983,15,8,0.533333333333333,0.45,4,0.375326570958742,20
single SNP,V0.5_c1,nobgs,2,298741,72,13,0.180555555555556,0.7,23,0.484972535508487,20
consensus (no n penalty),V0.5_c1,nobgs,2,101569,18,9,0.5,0.5,3,0.225195942575245,20
cluster-then-test,V0.5_c1,nobgs,3,99787,22,12,0.545454545454545,0.571428571428571,1,0.0658771383151212,21
test-then-cluster,V0.5_c1,nobgs,3,100302,25,12,0.48,0.571428571428571,1,0.0576424960257311,21
single SNP,V0.5_c1,nobgs,3,294609,117,14,0.11965811965812,0.666666666666667,25,0.322475502241852,21
consensus (no n penalty),V0.5_c1,nobgs,3,99787,29,13,0.448275862068966,0.619047619047619,1,0.0512377742450943,21
cluster-then-test,V0.5_c1,nobgs,4,101870,13,9,0.692307692307692,0.473684210526316,1,0.099341849277731,19
test-then-cluster,V0.5_c1,nobgs,4,102330,17,11,0.647058823529412,0.578947368421053,1,0.0820650059250822,19
single SNP,V0.5_c1,nobgs,4,298132,63,13,0.206349206349206,0.68421052631579,12,0.294155086173022,19
consensus (no n penalty),V0.5_c1,nobgs,4,101870,12,8,0.666666666666667,0.421052631578947,1,0.104860840904272,19
cluster-then-test,V0.5_c1,nobgs,5,99328,8,6,0.75,0.411764705882353,0,0,17
test-then-cluster,V0.5_c1,nobgs,5,99778,9,6,0.666666666666667,0.411764705882353,0,0,17
single SNP,V0.5_c1,nobgs,5,294251,79,11,0.139240506329114,0.705882352941177,17,0.382943248482583,17
