tau,lmin,obs,nullreg,fdr
0.02,1,31,0.64,0.0206451612903226
0.04,1,20,0.53,0.0265
0.06,1,18,0.459999999999999,0.0255555555555555
0.08,1,15,0.4,0.0266666666666667
0.1,1,12,0.34,0.0283333333333333
0.12,1,10,0.28,0.028
0.14,1,9,0.24,0.0266666666666666
0.16,1,9,0.23,0.0255555555555555
0.18,1,6,0.21,0.035
0.2,1,6,0.16,0.0266666666666667
0.22,1,6,0.15,0.025
0.24,1,4,0.14,0.035
0.26,1,4,0.13,0.0325
0.28,1,4,0.11,0.0275
0.3,1,4,0.1,0.025
0.32,1,4,0.09,0.0225
0.34,1,4,0.07,0.0175
0.36,1,4,0.06,0.015
0.38,1,4,0.06,0.015
0.4,1,4,0.04,0.01
0.42,1,4,0.04,0.01
0.44,1,3,0.04,0.0133333333333333
0.46,1,3,0.04,0.0133333333333333
0.48,1,3,0.03,0.01
0.5,1,3,0.03,0.01
0.02,2,9,0.11,0.0122222222222222
0.04,2,6,0.08,0.0133333333333333
0.06,2,6,0.06,0.01
0.08,2,5,0.05,0.01
0.1,2,5,0.04,0.008
0.12,2,5,0.03,0.006
0.14,2,5,0.03,0.006
0.16,2,4,0.03,0.0075
0.18,2,4,0.03,0.0075
0.2,2,4,0.03,0.0075
0.22,2,4,0.02,0.005
0.24,2,4,0.02,0.005
0.26,2,4,0.02,0.005
0.28,2,4,0.02,0.005
0.3,2,3,0.02,0.00666666666666666
0.32,2,3,0.02,0.00666666666666666
0.34,2,3,0.02,0.00666666666666666
0.36,2,3,0.01,0.00333333333333333
0.38,2,2,0.01,0.005
0.4,2,1,0.01,0.01
0.42,2,1,0.01,0.01
0.44,2,1,0.01,0.01
0.46,2,1,0.01,0.01
0.48,2,1,0.01,0.01
0.5,2,1,0.01,0.01
0.02,3,5,0.01,0.002
0.04,3,4,0.01,0.0025
0.06,3,4,0.01,0.0025
0.08,3,4,0.01,0.0025
0.1,3,4,0.01,0.0025
0.12,3,4,0.01,0.0025
0.14,3,4,0.01,0.0025
0.16,3,4,0.01,0.0025
0.18,3,4,0.01,0.0025
0.2,3,4,0.01,0.0025
0.22,3,4,0.01,0.0025
0.24,3,3,0.01,0.00333333333333333
0.26,3,3,0.01,0.00333333333333333
0.28,3,3,0.01,0.00333333333333333
0.3,3,2,0.01,0.005
0.32,3,1,0.01,0.01
0.34,3,1,0.01,0.01
0.36,3,1,0.01,0.01
0.38,3,1,0.01,0.01
0.4,3,1,0.01,0.01
0.42,3,0,0.01,0.01
0.44,3,0,0.01,0.01
0.46,3,0,0.01,0.01
0.48,3,0,0.01,0.01
0.5,3,0,0.01,0.01
0.02,5,4,0.01,0.0025
0.04,5,4,0.01,0.0025
0.06,5,4,0.01,0.0025
0.08,5,4,0.01,0.0025
0.1,5,4,0.01,0.0025
0.12,5,4,0.01,0.0025
0.14,5,4,0.01,0.0025
0.16,5,3,0.01,0.00333333333333333
0.18,5,2,0.01,0.005
0.2,5,2,0.01,0.005
0.22,5,1,0.01,0.01
0.24,5,1,0.01,0.01
0.26,5,0,0.01,0.01
0.28,5,0,0.01,0.01
0.3,5,0,0.01,0.01
0.32,5,0,0.01,0.01
0.34,5,0,0.01,0.01
0.36,5,0,0.01,0.01
0.38,5,0,0.01,0.01
0.4,5,0,0.01,0.01
0.42,5,0,0.01,0.01
0.44,5,0,0.01,0.01
0.46,5,0,0.01,0.01
0.48,5,0,0.01,0.01
0.5,5,0,0.01,0.01
0.02,10,3,0.01,0.00333333333333333
0.04,10,3,0.01,0.00333333333333333
0.06,10,1,0.01,0.01
0.08,10,1,0.01,0.01
0.1,10,1,0.01,0.01
0.12,10,1,0.01,0.01
0.14,10,1,0.01,0.01
0.16,10,1,0.01,0.01
0.18,10,0,0.01,0.01
0.2,10,0,0.01,0.01
0.22,10,0,0.01,0.01
0.24,10,0,0.01,0.01
0.26,10,0,0.01,0.01
0.28,10,0,0.01,0.01
0.3,10,0,0.01,0.01
0.32,10,0,0.01,0.01
0.34,10,0,0.01,0.01
0.36,10,0,0.01,0.01
0.38,10,0,0.01,0.01
0.4,10,0,0.01,0.01
0.42,10,0,0.01,0.01
0.44,10,0,0.01,0.01
0.46,10,0,0.01,0.01
0.48,10,0,0.01,0.01
0.5,10,0,0.01,0.01
0.02,15,2,0.01,0.005
0.04,15,1,0.01,0.01
0.06,15,1,0.01,0.01
0.08,15,1,0.01,0.01
0.1,15,1,0.01,0.01
0.12,15,0,0.01,0.01
0.14,15,0,0.01,0.01
0.16,15,0,0.01,0.01
0.18,15,0,0.01,0.01
0.2,15,0,0.01,0.01
0.22,15,0,0.01,0.01
0.24,15,0,0.01,0.01
0.26,15,0,0.01,0.01
0.28,15,0,0.01,0.01
0.3,15,0,0.01,0.01
0.32,15,0,0.01,0.01
0.34,15,0,0.01,0.01
0.36,15,0,0.01,0.01
0.38,15,0,0.01,0.01
0.4,15,0,0.01,0.01
0.42,15,0,0.01,0.01
0.44,15,0,0.01,0.01
0.46,15,0,0.01,0.01
0.48,15,0,0.01,0.01
0.5,15,0,0.01,0.01
0.02,20,1,0.01,0.01
0.04,20,1,0.01,0.01
0.06,20,1,0.01,0.01
0.08,20,1,0.01,0.01
0.1,20,0,0.01,0.01
0.12,20,0,0.01,0.01
0.14,20,0,0.01,0.01
0.16,20,0,0.01,0.01
0.18,20,0,0.01,0.01
0.2,20,0,0.01,0.01
0.22,20,0,0.01,0.01
0.24,20,0,0.01,0.01
0.26,20,0,0.01,0.01
0.28,20,0,0.01,0.01
0.3,20,0,0.01,0.01
0.32,20,0,0.01,0.01
0.34,20,0,0.01,0.01
0.36,20,0,0.01,0.01
0.38,20,0,0.01,0.01
0.4,20,0,0.01,0.01
0.42,20,0,0.01,0.01
0.44,20,0,0.01,0.01
0.46,20,0,0.01,0.01
0.48,20,0,0.01,0.01
0.5,20,0,0.01,0.01
